match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_errorLeadToAGoal,stat_fouls,stat_aerialLost,stat_dispossessed,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_outfielderBlock,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,stat_wonTackle,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_bigChanceCreated
10913420,home,Al-Khaleej,Marwan Al-Haidari,marwan-al-haidari,M. Al-Haidari,G,96,191,32,M,832497,EUR,829267200,G,96,96,False,15.0,10.0,8.0,3.0,8.0,8.0,2.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,23.0,5.9,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913420,home,Al-Khaleej,Omar Al-Oudah,omar-al-oudah,O. Al-Oudah,D,22,174,4,,2266015,EUR,914889600,D,2,2,False,37.0,33.0,1.0,,21.0,22.0,12.0,15.0,3.0,3.0,1.0,,,,89.0,53.0,6.1,6.0,0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10913420,home,Al-Khaleej,Mohammed Al-Khabrani,mohammed-al-khabrani,M. Al-Khabrani,D,3,178,21,M,818696,EUR,750556800,D,3,3,False,64.0,59.0,10.0,7.0,42.0,44.0,17.0,20.0,3.0,10.0,,,,,90.0,77.0,6.2,8.0,0,1.0,5.0,2.0,2.0,4.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10913420,home,Al-Khaleej,Izuchukwu Jude Anthony,izuchukwu-jude-anthony,I. J. Anthony,D,16,187,51,M,834130,EUR,878515200,D,25,25,False,47.0,44.0,2.0,1.0,38.0,40.0,6.0,7.0,2.0,5.0,,,,,90.0,56.0,6.7,3.0,0,1.0,1.0,,,2.0,1.0,,,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,
10913420,home,Al-Khaleej,Pedro Amaral,amaral-pedro,P. Amaral,D,24,178,86,M,834247,EUR,872467200,D,5,5,False,42.0,36.0,6.0,3.0,17.0,17.0,21.0,31.0,3.0,5.0,1.0,,,,90.0,64.0,6.9,13.0,2,,3.0,,2.0,,1.0,,2.0,,,1.0,2.0,1.0,,,,1.0,6.0,2.0,1.0,1.0,3.0,,,,,,,,,
10913420,home,Al-Khaleej,André Poko,andre-poko,A. B. Poko,M,53,173,385,M,177103,EUR,725846400,M,15,15,False,34.0,29.0,3.0,3.0,14.0,14.0,15.0,22.0,5.0,5.0,1.0,,,,90.0,57.0,7.1,13.0,1,,5.0,,5.0,,2.0,,,1.0,1.0,2.0,2.0,,,,,1.0,2.0,,1.0,,2.0,1.0,,,,,,,,
10913420,home,Al-Khaleej,Lucas Souza,lucas-souza,L. Souza,M,,186,38,M,311608,EUR,647049600,M,8,8,False,49.0,44.0,10.0,7.0,21.0,22.0,23.0,27.0,7.0,7.0,4.0,,,,90.0,63.0,6.8,7.0,2,,5.0,2.0,3.0,1.0,1.0,,1.0,1.0,,2.0,,1.0,,,,,,,,1.0,,1.0,True,1.0,1.0,,,,,
10913420,home,Al-Khaleej,Ahmad Zain,ahmad-zain,A. Zain,M,49,177,14,M,818809,EUR,678412800,M,49,49,False,25.0,19.0,1.0,1.0,9.0,10.0,10.0,18.0,4.0,2.0,1.0,,,,69.0,45.0,6.3,17.0,0,,6.0,,4.0,,2.0,,,,3.0,1.0,1.0,2.0,,,,,3.0,,,,2.0,1.0,,,,,,,,
10913420,home,Al-Khaleej,Hamad Al Abdan,hamad-al-abdan,H. A. Abdan,M,,165,13,M,1019294,EUR,959299200,M,99,99,False,20.0,17.0,,,5.0,5.0,12.0,15.0,2.0,4.0,2.0,,,,79.0,26.0,6.3,5.0,1,,4.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,
10913420,home,Al-Khaleej,Fábio Martins,fabio-martins,F. Martins,M,10,178,359,M,193064,EUR,743472000,M,93,93,False,31.0,20.0,2.0,1.0,7.0,12.0,13.0,21.0,4.0,3.0,1.0,,,,90.0,50.0,7.1,16.0,3,2.0,8.0,1.0,1.0,,1.0,,5.0,1.0,,,1.0,1.0,,,,,2.0,,1.0,,1.0,1.0,,,2.0,1.0,,,,
