match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_keyPass,stat_shotValueNormalized,stat_dispossessed,stat_fouls,captain,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_blockedScoringAttempt,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceMissed
15361022,home,Liverpool,Alisson,alisson,Alisson,G,1,193.0,64485,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,40.0,28.0,15.0,4.0,0.0,25.0,30.0,3.0,10.0,1.0,1.0,1.0,1.0,11.0,2.0,3.0,90.0,50.0,7.7,12.0,45.665560037548,9.0,21.360055461232,0.0,0.4503,0,0.04,0.02,0.28,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15361022,home,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185.0,17589,M,curtisjones,927353,EUR,980812800,D,17,17,False,47.0,42.0,3.0,1.0,0.0,26.0,28.0,16.0,19.0,4.0,1.0,1.0,3.0,1.0,,,89.0,71.0,8.1,8.0,130.37183598358,21.0,23.461967968838,1.0,,2,0.11,0.11,0.24,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.6965571949285,9.773190318417,1.0,0.5,,,,,,,,,,,,,
15361022,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195.0,27486,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,35.0,32.0,2.0,2.0,0.0,25.0,26.0,7.0,9.0,5.0,,,6.0,3.0,,,90.0,48.0,7.9,4.0,54.204164777097,9.0,25.961453051373,0.0,,0,0.09,0.05,0.95,,,,1.0,2.0,4.0,,,,,1.0,,,,,3.0,,,,,1.0,2.0,,,,,,,,,,,
15361022,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195.0,97860,M,VvD,151545,EUR,678931200,D,4,4,False,58.0,50.0,7.0,4.0,0.0,37.0,39.0,13.0,19.0,5.0,,,5.0,3.0,,,90.0,68.0,7.7,9.0,111.79840119102,16.0,28.662916307668,0.0,,0,0.14,0.06,0.53,,,,,5.0,,,,,,2.0,1.0,,,,,,,,,,,True,,,,,,,,,,
15361022,home,Liverpool,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180.0,25969,M,miloskerkez,1097425,EUR,1068163200,D,6,6,False,19.0,15.0,2.0,1.0,1.0,9.0,10.0,6.0,9.0,5.0,2.0,,2.0,2.0,,,90.0,48.0,7.2,13.0,41.718488868548,6.0,11.712283696075,0.0,,1,0.29,0.0,0.19,,Milos,Kerkez,3.0,,8.0,,,1.0,,,2.0,3.0,2.0,1.0,2.0,,,1.0,0.0,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,,
15361022,home,Liverpool,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187.0,77108,M,DomSzobo,869856,EUR,972432000,M,8,8,False,48.0,47.0,4.0,4.0,0.0,23.0,23.0,24.0,25.0,4.0,4.0,1.0,2.0,4.0,,,90.0,66.0,8.4,9.0,137.93025398464,14.0,80.300972292486,3.0,,1,0.26,0.26,0.29,,,,,2.0,4.0,,,1.0,1.0,1.0,,,,1.0,1.0,32.206749915826,61.82674461724,2.0,0.51,,1.0,,3.0,,,,,,,,,
15361022,home,Liverpool,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176.0,71143,M,Macca10,895324,EUR,914457600,M,10,10,False,44.0,39.0,1.0,1.0,0.0,23.0,27.0,16.0,17.0,11.0,3.0,1.0,2.0,10.0,,,90.0,70.0,7.5,10.0,87.26479686361,11.0,6.8712874619119,1.0,,1,0.08,0.01,0.43,,,,1.0,,9.0,2.0,,,,2.0,2.0,8.0,3.0,,2.0,20.911796227992,26.813042796371,1.0,-0.11,3.0,1.0,,,,,,1.0,,,,,
15361022,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175.0,564007,M,MoSalah,159665,EUR,708566400,M,11,11,False,32.0,27.0,1.0,,1.0,7.0,8.0,20.0,24.0,6.0,4.0,3.0,,4.0,,,77.0,53.0,8.6,14.0,138.92377426702,14.0,97.874025959468,6.0,,5,0.14,0.44,-0.01,,,,,,3.0,,1.0,2.0,1.0,,,,,1.0,3.0,19.171869982317,93.781917074701,4.0,0.34,1.0,1.0,,6.0,,,,2.0,1.0,,,,
15361022,home,Liverpool,Florian Wirtz,florian-wirtz,F. Wirtz,F,7,175.0,148828,M,FWirtz,1019322,EUR,1051920000,M,7,7,False,25.0,17.0,,,0.0,3.0,7.0,14.0,18.0,3.0,1.0,,1.0,2.0,,,71.0,33.0,7.1,11.0,53.758214958391,8.0,26.526126306635,2.0,,1,0.15,0.35,0.16,,,,,,3.0,,,,,,,1.0,1.0,1.0,2.0,7.6505353056659,15.708969215048,,-0.31,1.0,1.0,,,,,,1.0,,,,,
15361022,home,Liverpool,Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193.0,51063,M,CodyGakpo,862967,EUR,926035200,M,18,18,False,15.0,12.0,1.0,1.0,0.0,4.0,7.0,8.0,8.0,7.0,2.0,1.0,2.0,4.0,,,89.0,33.0,7.2,9.0,197.63769473779,13.0,148.3632320129,7.0,,1,-0.1,0.43,0.17,,,,1.0,1.0,5.0,2.0,,,,,,,,3.0,5.0,48.041217694057,158.19054326293,,-0.12,,2.0,,1.0,,,1.0,1.0,,,,,
