match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalContest,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,captain,stat_punches,stat_totalOffside
11453024,home,Al-Ittihad,Marcelo Grohe,marcelo-grohe,M. Grohe,G,43,188.0,626,M,39427,EUR,537494400,G,34,34,False,12.0,11.0,3.0,2.0,11.0,12.0,5.0,2.0,3.0,90.0,19.0,6.7,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453024,home,Al-Ittihad,Omar Hawsawi,omar-hawsawi,O. Hawsawi,D,,184.0,54,M,350072,EUR,496627200,D,4,4,False,18.0,18.0,,,15.0,15.0,1.0,,,45.0,21.0,6.7,,0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11453024,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,15,15,False,46.0,44.0,1.0,1.0,33.0,35.0,3.0,,,90.0,58.0,7.3,3.0,1,11.0,11.0,2.0,4.0,3.0,,1.0,,,,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
11453024,home,Al-Ittihad,Luiz Felipe,luiz-felipe,L. Felipe,D,5,187.0,1042,M,850035,EUR,858988800,D,5,5,False,48.0,46.0,4.0,3.0,29.0,30.0,7.0,,,90.0,59.0,7.2,2.0,0,17.0,18.0,,,3.0,,1.0,,,,2.0,9.0,,,,,5.0,3.0,2.0,,,,,,,,,,,,,,,
11453024,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173.0,417,M,894437,EUR,921196800,M,13,13,False,48.0,35.0,1.0,,17.0,22.0,5.0,,,90.0,67.0,6.6,16.0,0,18.0,26.0,,5.0,1.0,1.0,,,,,2.0,5.0,3.0,,,,3.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,
11453024,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169.0,44806,M,234148,EUR,670204800,M,7,7,False,69.0,62.0,1.0,,26.0,27.0,11.0,,,90.0,91.0,8.6,10.0,0,36.0,42.0,1.0,2.0,,,3.0,,,,1.0,11.0,,,,,5.0,4.0,1.0,5.0,2.0,3.0,nglkante,1.0,4.0,1.0,,,,,,,,
11453024,home,Al-Ittihad,Igor Coronado,igor-coronado,I. Coronado,M,77,170.0,5336,M,152098,EUR,714096000,M,10,10,False,80.0,65.0,5.0,2.0,15.0,16.0,6.0,,,90.0,119.0,7.2,36.0,4,52.0,79.0,,5.0,,,1.0,,,,,3.0,,3.0,2.0,,1.0,1.0,2.0,2.0,3.0,1.0,igor_coronado,,,,15.0,2.0,1.0,1.0,1.0,,,
11453024,home,Al-Ittihad,Sultan Farhan,sultan-farhan,S. Farhan,M,5,180.0,54,M,908619,EUR,843609600,M,6,6,False,55.0,52.0,1.0,1.0,24.0,24.0,7.0,,,67.0,64.0,6.9,4.0,1,28.0,31.0,,4.0,,,2.0,2.0,,,1.0,4.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,1.0,,,,,1.0,,,,
11453024,home,Al-Ittihad,Ahmed Bamasud,ahmed-bamasud,A. Bamasud,D,18,175.0,114,M,893197,EUR,816998400,M,28,28,False,45.0,37.0,4.0,2.0,18.0,18.0,4.0,,,89.0,65.0,6.7,13.0,1,19.0,29.0,1.0,6.0,1.0,,1.0,2.0,,,,4.0,2.0,,,,,,3.0,2.0,,1.0,,,1.0,,2.0,,,1.0,,,,
11453024,home,Al-Ittihad,Haroune Camara,haroune-camara,H. Camara,F,70,187.0,2967,M,926730,EUR,883612800,F,70,70,False,16.0,14.0,,,3.0,3.0,4.0,,,67.0,27.0,6.7,9.0,1,11.0,13.0,,4.0,,,,,,,,2.0,,2.0,1.0,,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,
