match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_fouls,captain,stat_aerialLost,stat_blockedScoringAttempt,stat_lastManTackle,stat_expectedGoals,stat_aerialWon,stat_outfielderBlock,stat_totalCross,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_penaltyConceded,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_goalAssist,stat_goals,stat_penaltyWon,stat_bigChanceCreated
11451038,home,Adana Demirspor,Shahrudin Mahammadaliyev,,,sahrudin-mahammadaliyev,Ş. Mahammadaliev,G,1,185,5783,M,shahrudin1,813105,EUR,771379200,G,71,71,False,35.0,27.0,11.0,3.0,26.0,30.0,1.0,5.0,2.0,2.0,18.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,90.0,56.0,6.8,8.0,0.00015591,0,-0.3804,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451038,home,Adana Demirspor,Jonas Svensson,,,jonas-svensson,J. Svensson,D,71,170,1475,M,,98199,EUR,731376000,D,22,22,False,19.0,15.0,1.0,,8.0,10.0,7.0,9.0,2.0,2.0,2.0,,,2.0,,,,,,45.0,24.0,6.3,4.0,0.013934,0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11451038,home,Adana Demirspor,Semih Güler,,,semih-guler,S. Güler,D,6,184,112,M,,325155,EUR,786153600,D,4,4,False,70.0,60.0,15.0,7.0,45.0,48.0,15.0,22.0,3.0,1.0,12.0,2.0,2.0,1.0,,,,,,90.0,82.0,6.6,10.0,0.00558552,1,,2.0,,2.0,,True,2.0,1.0,1.0,0.0434,,,,,,,,,,,,,,,,,,
11451038,home,Adana Demirspor,Abdulsamet Burak,,,abdulsamet-burak,A. Burak,D,3,182,40,M,,900798,EUR,831945600,D,21,21,False,72.0,62.0,7.0,5.0,48.0,53.0,14.0,19.0,3.0,2.0,4.0,2.0,1.0,,,,,,,90.0,82.0,6.5,10.0,0.0102496,0,,8.0,2.0,2.0,4.0,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,
11451038,home,Adana Demirspor,Abdurrahim Dursun,,,abdurrahim-dursun,A. Dursun,D,77,176,46,M,,883275,EUR,912470400,D,3,3,False,23.0,15.0,2.0,,8.0,11.0,7.0,16.0,3.0,2.0,2.0,3.0,2.0,,,,,,,52.0,46.0,6.5,17.0,0.00521925,0,,1.0,,1.0,1.0,,,,,,,,4.0,3.0,,,,,,,,,,,,,,
11451038,home,Adana Demirspor,Emre Akbaba,,,emre-akbaba,E. Akbaba,M,8,180,414,M,,343527,EUR,718156800,M,8,8,False,55.0,40.0,7.0,4.0,16.0,19.0,24.0,37.0,7.0,,12.0,2.0,1.0,2.0,,,,,,90.0,75.0,6.8,20.0,0.0165552,3,,4.0,,1.0,1.0,,3.0,1.0,,0.0757,,,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,
11451038,home,Adana Demirspor,Badou Ndiaye,,,badou-ndiaye,B. Ndiaye,M,,180,427,M,,228342,EUR,656985600,M,17,17,False,26.0,22.0,4.0,2.0,15.0,18.0,7.0,9.0,2.0,,6.0,,,,,,,,,78.0,39.0,6.6,10.0,0.00671418,0,,2.0,,2.0,1.0,,,,,,,,1.0,4.0,3.0,2.0,,,,1.0,,,,,,,,
11451038,home,Adana Demirspor,Yusuf Sarı,,,yusuf-sari,Y. Sarı,M,7,168,562,M,,896364,EUR,911520000,M,7,7,False,22.0,13.0,4.0,2.0,,1.0,14.0,32.0,1.0,,2.0,,,,,,,,,90.0,47.0,6.4,26.0,0.0823436,3,,6.0,1.0,1.0,1.0,,,1.0,,0.0794,,,11.0,1.0,5.0,1.0,,,,1.0,1.0,2.0,0.3312,,,,,
11451038,home,Adana Demirspor,Younès Belhanda,Younès,Belhanda,younes-belhanda,Y. Belhanda,M,10,177,1189,M,,72999,EUR,635904000,M,10,10,False,44.0,37.0,4.0,2.0,14.0,16.0,24.0,30.0,6.0,1.0,7.0,2.0,,1.0,,,,,,90.0,66.0,7.0,13.0,0.0878386,1,,1.0,,,,,,1.0,,0.0603,1.0,,2.0,3.0,3.0,2.0,,,,3.0,1.0,,,,,,,
11451038,home,Adana Demirspor,Yusuf Erdoğan,,,yusuf-erdogan,Y. Erdoğan,M,10,172,204,M,,256663,EUR,713145600,M,32,32,False,42.0,27.0,8.0,3.0,11.0,18.0,16.0,30.0,7.0,1.0,4.0,5.0,,1.0,,,,,,90.0,79.0,6.5,27.0,0.0201404,1,,5.0,2.0,,,,,,,0.025,1.0,,6.0,1.0,2.0,,1.0,,1.0,,,,,1.0,,,,
