match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,player_firstName,player_lastName,player_sofascoreId,stat_goalAssist,captain,stat_wonContest,stat_bigChanceCreated,stat_goals,stat_dispossessed,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,stat_goodHighClaim,stat_hitWoodwork
11406824,home,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189,4489,M,793986,EUR,935712000,G,99,99,False,39.0,37.0,6.0,4.0,34.0,34.0,3.0,5.0,8.0,1.0,3.0,90.0,47.0,7.4,2.0,0.00156475,0,0.9801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406824,home,Roma,Rick Karsdorp,rick-karsdorp,R. Karsdorp,D,,182,705,M,363792,EUR,792460800,D,2,2,False,30.0,26.0,,,12.0,14.0,14.0,20.0,4.0,,,70.0,45.0,6.8,12.0,0.0275785,0,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11406824,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,23,190,4038,M,611210,EUR,829699200,D,23,23,False,82.0,78.0,5.0,3.0,53.0,54.0,25.0,29.0,5.0,,,90.0,88.0,7.2,5.0,0.0221441,0,,1.0,3.0,1.0,,,,,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11406824,home,Roma,Diego Llorente,diego-llorente,D. Llorente,D,3,185,1146,M,305278,EUR,745459200,D,14,14,False,71.0,65.0,2.0,,50.0,52.0,15.0,19.0,3.0,,,90.0,87.0,7.3,7.0,0.00625167,2,,,6.0,4.0,,,,,3.0,,3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0301,0.0552,,,,,,,,,,,,,,,
11406824,home,Roma,Leonardo Spinazzola,leonardo-spinazzola,L. Spinazzola,D,37,185,3729,M,148899,EUR,733017600,D,37,37,False,23.0,20.0,2.0,1.0,12.0,14.0,10.0,13.0,1.0,,,37.0,33.0,7.0,5.0,0.170849,0,,4.0,,2.0,,2.0,2.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
11406824,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,4,186,2731,M,186855,EUR,794188800,M,4,4,False,64.0,54.0,2.0,1.0,24.0,25.0,30.0,40.0,3.0,,,90.0,74.0,7.1,12.0,0.18114,2,,1.0,4.0,4.0,1.0,2.0,2.0,,2.0,1.0,,2.0,,,1.0,,2.0,,,0.0765,,,,,,,,,,,,,,,,
11406824,home,Roma,Leandro Paredes,leandro-paredes,L. Paredes,M,5,180,25603,M,255389,EUR,772848000,M,16,16,False,105.0,97.0,12.0,7.0,48.0,50.0,49.0,55.0,5.0,,,90.0,110.0,7.4,8.0,0.033681,0,,,2.0,2.0,1.0,1.0,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,LeoParedes,1.0,,,,,,,,,,
11406824,home,Roma,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,7,186,5687,M,555540,EUR,835142400,M,7,7,False,57.0,53.0,2.0,,21.0,22.0,37.0,42.0,7.0,,,90.0,88.0,8.8,11.0,0.461903,1,,7.0,5.0,8.0,,2.0,1.0,2.0,1.0,3.0,1.0,,2.0,1.0,7.0,1.0,,1.0,2.0,0.0255,0.315,5.0,,,lorepelle7,,True,4.0,1.0,1.0,,,,,,
11406824,home,Roma,Houssem Aouar,aouar-houssem,H. Aouar,M,10,175,14575,M,846081,EUR,899164800,F,22,22,False,26.0,22.0,,,7.0,8.0,15.0,18.0,2.0,,,70.0,34.0,6.8,8.0,0.0471336,0,,,5.0,4.0,2.0,3.0,2.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,houssem_aouar,,,,,,2.0,2.0,,,,
11406824,home,Roma,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,9,191,56823,M,78893,EUR,737251200,F,90,90,False,10.0,7.0,,,4.0,4.0,3.0,6.0,1.0,,,86.0,23.0,6.6,9.0,0.00146382,3,,,3.0,7.0,,,,3.0,,,1.0,5.0,2.0,,1.0,,,,2.0,0.3749,,,,,RLukaku,,,,,,1.0,,1.0,3.0,,
11406824,home,Roma,Stephan El Shaarawy,stephan-el-shaarawy,S. El Shaarawy,F,22,178,5712,M,45925,EUR,720144000,F,92,92,False,29.0,25.0,1.0,1.0,13.0,13.0,13.0,17.0,3.0,,,86.0,41.0,6.6,8.0,0.0362408,0,,1.0,4.0,4.0,1.0,2.0,1.0,2.0,,,1.0,,1.0,,3.0,,,,1.0,,,1.0,,,stewel92,,,1.0,,,,1.0,,,,
11406824,home,Roma,Angeliño,angelino,Angeliño,M,3,171,3336,M,848355,EUR,852336000,D,69,69,True,33.0,28.0,2.0,,12.0,14.0,16.0,21.0,4.0,,,53.0,49.0,6.8,11.0,0.0296756,0,,2.0,2.0,2.0,1.0,1.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,
11406824,home,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,19,180,2880,M,893008,EUR,856137600,D,19,19,True,16.0,16.0,1.0,1.0,6.0,6.0,10.0,11.0,2.0,,,20.0,22.0,7.2,2.0,0.0230265,0,,1.0,,2.0,,2.0,1.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11406824,home,Roma,Tommaso Baldanzi,tommaso-baldanzi,T. Baldanzi,M,8,170,2264,M,1012172,EUR,1048377600,M,35,35,True,15.0,15.0,,,7.0,7.0,8.0,8.0,,,,20.0,25.0,7.0,2.0,0.0057587,2,,,3.0,4.0,,2.0,,,,,1.0,,1.0,,4.0,2.0,,,,0.1963,0.2622,,,,,,,2.0,,,,,,,,
11406824,home,Roma,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195,160912,M,1176744,EUR,1113436800,D,3,3,True,7.0,5.0,2.0,,4.0,4.0,1.0,3.0,,,,8.0,8.0,6.5,2.0,0.0003492,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,deanhuijsen,,,,,,,,,,,
11406824,home,Roma,Sardar Azmoun,sardar-azmoun,S. Azmoun,F,20,186,7717,M,150998,EUR,788918400,F,17,17,True,4.0,4.0,,,1.0,1.0,3.0,3.0,2.0,,,8.0,8.0,6.6,1.0,0.00336352,0,,,2.0,2.0,,,,,1.0,,,,,,1.0,,,1.0,2.0,,,,,,sardarazmoun,,,,,,,,,,,
11406824,home,Roma,Rui Patrício,rui-patricio,R. Patrício,G,,190,3199,M,17737,EUR,571881600,G,1,1,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,rpatricio1,,,,,,,,,,,
11406824,home,Roma,Pietro Boer,pietro-boer,P. Boer,G,23,195,243,M,1008563,EUR,1021161600,G,63,63,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406824,home,Roma,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190,9220,M,848287,EUR,935107200,D,5,5,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,evanndicka,,,,,,,,,,,
11406824,home,Roma,Edoardo Bove,edoardo-bove,E. Bove,M,15,181,2073,M,986352,EUR,1021507200,M,52,52,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
