match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_accurateCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_aerialWon,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_challengeLost,stat_dispossessed,captain,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_penaltyWon
13981558,home,Sassuolo,Arijanet Murić,arijanet-muric,A. Murić,G,49,198,1886,M,888971,EUR,910396800,G,49,49,False,33.0,20.0,21.0,8.0,0.0,15.0,15.0,5.0,18.0,1.0,1.0,1.0,21.0,1.0,1.0,6.0,1.0,1.0,90.0,49.0,6.1,14.0,0.00261477,30.29865045714,5.0,17.535,8.085,0,-0.2308,0.14,0.01,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981558,home,Sassuolo,Sebastian Walukiewicz,sebastian-walukiewicz,S. Walukiewicz,D,6,188,2252,M,886243,EUR,954892800,D,6,6,False,32.0,29.0,,,0.0,16.0,18.0,13.0,14.0,1.0,2.0,2.0,3.0,,1.0,,,,78.0,49.0,7.2,4.0,0.0875352,102.25197124961,8.0,69.93,45.78,0,,0.34,0.26,-0.07,2.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13981558,home,Sassuolo,Jay Idzes,jay-idzes,J. Idzes,D,21,190,19111,M,933641,EUR,959904000,D,21,21,False,21.0,18.0,3.0,1.0,0.0,15.0,16.0,3.0,5.0,,,6.0,2.0,,,,,,90.0,31.0,6.8,4.0,0.124191,31.819756194955,5.0,15.12,8.505,0,,0.11,0.01,-0.12,,,4.0,,,,,,,2.0,,,,jayidzes,2.0,1.0,,,,,,,,,,,,,,,,,,,
13981558,home,Sassuolo,Tarik Muharemović,tarik-muharemovic,T. Muharemović,D,80,193,3504,M,1118177,EUR,1046390400,D,80,80,False,37.0,30.0,8.0,2.0,1.0,22.0,26.0,8.0,11.0,1.0,2.0,7.0,3.0,,1.0,,,,90.0,55.0,8.2,8.0,0.00481952,192.32047525805,18.0,104.16,29.19,3,,0.13,0.19,0.22,,,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,Tarik Muharemovic,,,1.0,1.0,2.0,1.0,1.0,0.318,0.7831,0.5,,,,,,,,,,,,,
13981558,home,Sassuolo,Josh Doig,josh-doig,J. Doig,D,3,189,836,M,989276,EUR,1021680000,D,3,3,False,32.0,23.0,5.0,1.0,0.0,15.0,19.0,8.0,13.0,2.0,6.0,2.0,3.0,,1.0,,,,90.0,61.0,6.4,18.0,0.00950145,113.57357359749,12.0,76.23,19.74,0,,-0.04,0.18,-0.19,2.0,,5.0,2.0,1.0,,,2.0,2.0,1.0,,,,,1.0,3.0,,,,,,,1.0,1.0,,,,,,,,,,,
13981558,home,Sassuolo,Kristian Thorstvedt,kristian-thorstvedt,K. Thorstvedt,M,42,187,1387,M,924973,EUR,921283200,M,42,42,False,28.0,20.0,3.0,1.0,0.0,7.0,8.0,13.0,20.0,1.0,5.0,,4.0,,3.0,,,,90.0,41.0,6.5,11.0,0.0717544,48.350789571409,6.0,19.53,13.02,0,,0.16,0.2,-0.05,,,6.0,2.0,1.0,1.0,,2.0,,1.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
13981558,home,Sassuolo,Nemanja Matić,nemanja-matic,N. Matić,M,18,194,3565,M,44241,EUR,586396800,M,18,18,False,50.0,41.0,11.0,6.0,0.0,25.0,29.0,16.0,21.0,,4.0,3.0,1.0,,,,,,90.0,60.0,6.8,11.0,0.0317178,88.812279875184,12.0,33.285,21.21,0,,0.15,0.03,-0.12,,,4.0,,,,1.0,1.0,1.0,1.0,2.0,,,Mati,2.0,,,,,,,,3.0,1.0,True,,,,,,,,,,
13981558,home,Sassuolo,Ismael Koné,ismael-kone,I. Koné,M,90,188,2687,M,1134351,EUR,1023321600,M,90,90,False,26.0,25.0,3.0,2.0,0.0,14.0,15.0,11.0,11.0,,1.0,1.0,2.0,,1.0,,,,90.0,34.0,7.9,1.0,0.00993331,104.11928580577,14.0,52.395,20.055,1,,-0.02,0.35,-0.04,,,2.0,,,,,,,2.0,,Ismael Koné,,,1.0,,1.0,,1.0,0.1774,0.1115,0.51,,,,,,,,,,,,,
13981558,home,Sassuolo,Cristian Volpato,volpato-cristian,C. Volpato,M,7,187,875,M,1155625,EUR,1068854400,F,7,7,False,18.0,16.0,1.0,,1.0,11.0,12.0,5.0,6.0,,5.0,1.0,1.0,,3.0,,,,78.0,35.0,8.0,14.0,0.126736,151.27345007198,13.0,39.165,28.98,1,,0.16,0.29,-0.01,10.0,3.0,1.0,,,,,,,,2.0,,,,1.0,3.0,1.0,,1.0,0.0121,0.0359,0.54,,2.0,,1.0,,,,,,,,,
13981558,home,Sassuolo,Andrea Pinamonti,andrea-pinamonti,A. Pinamonti,F,99,185,2688,M,826198,EUR,927072000,F,99,99,False,5.0,5.0,,,0.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,54.0,11.0,6.5,,0.0019063,8.6372203513077,2.0,7.77,4.515,3,,0.03,0.1,-0.01,,,3.0,,,,,,,1.0,1.0,,,,2.0,,,,,0.3189,,-0.58,,,,,3.0,,,,,,,,
13981558,home,Sassuolo,Armand Laurienté,armand-lauriente,A. Laurienté,M,45,177,2531,M,932643,EUR,912729600,F,45,45,False,10.0,9.0,,,1.0,,,9.0,10.0,2.0,4.0,,,,1.0,,,,54.0,25.0,7.0,7.0,0.336514,73.194991607214,7.0,62.37,20.79,4,,0.36,0.24,-0.02,3.0,2.0,2.0,,,,,1.0,,1.0,2.0,,,,,4.0,1.0,2.0,,0.131,0.0306,-0.35,,1.0,,1.0,1.0,1.0,,,,,,,
13981558,home,Sassuolo,Alieu Fadera,fadera-alieu,A. Fadera,M,20,181,1183,M,1031548,EUR,1004745600,F,20,20,True,9.0,8.0,1.0,1.0,0.0,4.0,4.0,4.0,5.0,,4.0,,2.0,,2.0,,,,36.0,19.0,7.0,5.0,0.022076,84.04098001824,5.0,66.99,36.54,0,,0.18,0.26,0.0,1.0,,4.0,1.0,,,,2.0,1.0,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
13981558,home,Sassuolo,Walid Cheddira,walid-cheddira,W. Cheddira,F,99,187,3794,M,917485,EUR,885427200,F,9,9,True,9.0,5.0,,,0.0,1.0,2.0,4.0,7.0,1.0,4.0,,,,,,,,36.0,23.0,6.5,13.0,0.0263192,70.29879262005,6.0,50.82,34.965,1,,0.06,0.31,0.0,1.0,,4.0,1.0,1.0,,,,,2.0,,,,walo_98,1.0,5.0,,1.0,,0.0446,,-0.46,,3.0,,,,,1.0,,,,,,
13981558,home,Sassuolo,Woyo Coulibaly,woyo-coulibaly,W. Coulibaly,D,25,188,2728,M,989894,EUR,927158400,D,25,25,True,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,,2.0,,1.0,,,,,,12.0,9.0,6.7,3.0,0.00383983,16.072050304799,1.0,16.065,16.065,0,,0.02,0.03,-0.05,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
13981558,home,Sassuolo,Nicholas Pierini,pierini-nicholas,N. Pierini,F,77,176,186,M,829581,EUR,902361600,F,77,77,True,10.0,7.0,,,0.0,1.0,3.0,6.0,7.0,,4.0,,1.0,,,,,,12.0,19.0,6.2,8.0,0.0121115,3.8232667968636,1.0,3.045,3.045,0,,0.04,-0.09,-0.01,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,
