match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_wonContest,player_firstName,player_lastName,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_goalAssist,stat_accurateCross,stat_goodHighClaim,stat_totalOffside
11407495,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187,4421,M,lukaszskorupski28,44906,EUR,673401600,G,28,28,False,38.0,21.0,20.0,4.0,18.0,21.0,3.0,17.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,90.0,43.0,7.1,17.0,0.00252098,0,0.5493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407495,home,Bologna,Stefan Posch,stefan-posch,S. Posch,D,4,188,1364,M,,355486,EUR,863568000,D,3,3,False,87.0,72.0,13.0,3.0,38.0,42.0,34.0,47.0,3.0,5.0,,,,,,90.0,115.0,6.9,22.0,0.0221683,0,,2.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11407495,home,Bologna,Sam Beukema,sam-beukema,S. Beukema,D,31,188,2235,M,,898815,EUR,911260800,D,31,31,False,74.0,64.0,9.0,6.0,56.0,60.0,8.0,14.0,2.0,2.0,,,,,,90.0,82.0,7.0,11.0,0.00313146,0,,,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,
11407495,home,Bologna,Riccardo Calafiori,riccardo-calafiori,R. Calafiori,D,33,188,24414,M,richycala,957602,EUR,1021766400,D,33,33,False,72.0,63.0,3.0,2.0,45.0,49.0,18.0,23.0,7.0,7.0,2.0,,,,,90.0,90.0,7.3,12.0,0.00899245,0,,,2.0,5.0,,2.0,,5.0,,1.0,3.0,3.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,
11407495,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185,4571,M,,818481,EUR,898819200,D,26,26,False,61.0,54.0,6.0,2.0,33.0,35.0,21.0,26.0,3.0,7.0,,,,,,90.0,79.0,6.9,12.0,0.0228322,0,,,2.0,4.0,1.0,,2.0,2.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
11407495,home,Bologna,Remo Freuler,remo-freuler,R. Freuler,M,8,181,1928,M,,115516,EUR,703296000,M,8,8,False,75.0,59.0,6.0,,30.0,38.0,29.0,37.0,6.0,6.0,,,,,,90.0,85.0,6.7,17.0,0.0438806,0,,,,5.0,2.0,,,3.0,,1.0,4.0,1.0,1.0,4.0,,2.0,,,,,,,,,,,,,,,,
11407495,home,Bologna,Nikola Moro,nikola-moro,N. Moro,M,6,182,2495,M,,814882,EUR,889660800,M,6,6,False,26.0,17.0,2.0,1.0,10.0,13.0,7.0,13.0,2.0,2.0,1.0,,,,,45.0,30.0,6.5,9.0,0.00210103,0,,,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11407495,home,Bologna,Dan Ndoye,dan-ndoye,D. Ndoye,M,14,184,4721,M,,944327,EUR,972432000,M,11,11,False,14.0,14.0,,,4.0,4.0,10.0,10.0,2.0,2.0,2.0,,,,,45.0,22.0,6.4,5.0,0.0113073,0,,,1.0,4.0,,1.0,1.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,
11407495,home,Bologna,Lewis Ferguson,lewis-ferguson,L. Ferguson,M,19,181,1972,M,,907152,EUR,935452800,M,19,19,False,58.0,51.0,4.0,1.0,23.0,25.0,28.0,34.0,6.0,6.0,3.0,,,,,90.0,73.0,7.8,9.0,0.0341591,3,,1.0,5.0,7.0,,,2.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,True,1.0,1.0,1.0,1.0,0.2673,0.5892,,,,,,
11407495,home,Bologna,Alexis Saelemaekers,alexis-saelemaekers,A. Saelemaekers,M,56,180,7592,M,AS56,901891,EUR,930441600,M,56,56,False,48.0,39.0,2.0,1.0,11.0,11.0,28.0,41.0,4.0,7.0,1.0,,,,,75.0,64.0,7.2,15.0,0.0539653,2,,4.0,1.0,3.0,,,3.0,,,1.0,2.0,2.0,,,,,1.0,,,,2.0,,,,0.0362,,,,,,,
