match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,player_lastName,stat_blockedScoringAttempt,stat_shotOffTarget,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goals,stat_totalOffside
12709452,home,Middlesbrough,Solomon Brynn,solomon-brynn,S. Brynn,G,31,184.0,58,M,1007050,EUR,972864000,G,31,31,False,44.0,39.0,8.0,3.0,0.0,37.0,38.0,2.0,6.0,1.0,1.0,3.0,6.0,2.0,2.0,90.0,52.0,5.6,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12709452,home,Middlesbrough,Luke Ayling,luke-ayling,L. Ayling,D,12,183.0,340,M,102624,EUR,683078400,D,12,12,False,45.0,43.0,5.0,4.0,0.0,19.0,19.0,25.0,27.0,,1.0,,3.0,,,45.0,54.0,6.6,4.0,0,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12709452,home,Middlesbrough,Harley Hunt,harley-hunt,H. Hunt,D,41,193.0,22,M,1524371,EUR,1186099200,D,41,41,False,67.0,63.0,1.0,1.0,0.0,48.0,50.0,15.0,17.0,1.0,4.0,1.0,2.0,,,90.0,78.0,6.3,5.0,0,,,,1.0,1.0,,,1.0,1.0,,Harley Hunt,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12709452,home,Middlesbrough,Matthew Clarke,matthew-clarke,M. Clarke,D,5,185.0,92,M,376394,EUR,843350400,D,5,5,False,90.0,86.0,10.0,9.0,0.0,64.0,66.0,22.0,24.0,3.0,5.0,1.0,3.0,,,90.0,101.0,6.7,5.0,1,,,,1.0,2.0,1.0,,1.0,1.0,,,,,,2.0,2.0,2.0,,1.0,,,,,,,,,,
12709452,home,Middlesbrough,George McCormick,george-mccormick,G. McCormick,D,3,,19,M,1637690,EUR,1106784000,D,37,37,False,21.0,19.0,1.0,,0.0,10.0,11.0,9.0,10.0,,4.0,,2.0,,,45.0,30.0,6.8,3.0,0,,,,,1.0,,1.0,,1.0,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,
12709452,home,Middlesbrough,Daniel Barlaser,daniel-barlaser,D. Barlaser,M,22,184.0,128,M,817564,EUR,853545600,M,4,4,False,113.0,100.0,10.0,5.0,0.0,47.0,48.0,55.0,68.0,,2.0,,4.0,,,90.0,122.0,7.3,15.0,1,,3.0,2.0,,,,,1.0,,3.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,
12709452,home,Middlesbrough,Law McCabe,mccabe-law,L. McCabe,M,49,173.0,38,M,1469341,EUR,1137369600,M,49,49,False,64.0,55.0,5.0,4.0,0.0,25.0,28.0,30.0,36.0,,1.0,,3.0,,,78.0,71.0,6.4,10.0,1,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,
12709452,home,Middlesbrough,Sonny Finch,sonny-finch,S. Finch,F,39,180.0,61,M,1146633,EUR,1123200000,M,39,39,False,13.0,11.0,,,0.0,2.0,2.0,9.0,12.0,,3.0,,1.0,,,63.0,33.0,6.6,9.0,3,,1.0,,,4.0,2.0,2.0,3.0,,2.0,,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,
12709452,home,Middlesbrough,Alexander Gilbert,gilbert-alexander,A. Gilbert,F,14,183.0,135,M,1005765,EUR,1009497600,M,14,14,False,53.0,42.0,6.0,4.0,0.0,7.0,8.0,36.0,48.0,,2.0,,2.0,,,90.0,69.0,7.8,16.0,5,,3.0,1.0,,5.0,2.0,1.0,1.0,1.0,4.0,,1.0,,,,1.0,1.0,,2.0,2.0,1.0,,1.0,2.0,,,,,
12709452,home,Middlesbrough,Micah Hamilton,micah-hamilton,M. Hamilton,M,10,177.0,839,M,1082714,EUR,1068681600,M,17,17,False,31.0,29.0,1.0,1.0,0.0,14.0,15.0,15.0,16.0,,6.0,,2.0,,,63.0,46.0,6.7,8.0,1,,,,,4.0,1.0,1.0,2.0,,1.0,,3.0,1.0,1.0,,5.0,5.0,,,,,1.0,1.0,,,,,,
12709452,home,Middlesbrough,Josh Coburn,josh-coburn,J. Coburn,F,19,193.0,135,M,1010009,EUR,1039132800,F,19,19,False,23.0,21.0,1.0,1.0,0.0,10.0,10.0,11.0,13.0,2.0,3.0,1.0,1.0,,,90.0,31.0,6.7,2.0,3,,,,1.0,1.0,,,,,2.0,,1.0,1.0,,,,,,2.0,1.0,,1.0,,,,,,,
12709452,home,Middlesbrough,Lukas Engel,engel-lukas,L. Engel,D,4,178.0,137,M,945477,EUR,913593600,D,27,27,True,18.0,15.0,2.0,1.0,0.0,7.0,8.0,8.0,12.0,1.0,2.0,,,,,45.0,27.0,6.1,6.0,0,,2.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,
12709452,home,Middlesbrough,Anfernee Dijksteel,anfernee-dijksteel,A. Dijksteel,D,2,183.0,244,M,869199,EUR,846374400,D,15,15,True,38.0,35.0,,,0.0,20.0,20.0,15.0,20.0,,5.0,1.0,2.0,,,45.0,52.0,6.0,9.0,0,,2.0,,,5.0,,1.0,,1.0,,,4.0,3.0,,,1.0,1.0,,,,3.0,,,,,,,,
12709452,home,Middlesbrough,Isaiah Jones,isaiah-jones,I. Jones,M,25,181.0,158,M,1007056,EUR,930355200,M,11,11,True,10.0,8.0,1.0,1.0,0.0,1.0,1.0,7.0,9.0,,3.0,,1.0,,,27.0,16.0,6.6,4.0,1,,,,,1.0,,,,1.0,1.0,,1.0,,,,2.0,1.0,,1.0,,,,,,,,,,
12709452,home,Middlesbrough,Tommy Conway,tommy-conway,T. Conway,F,9,185.0,633,M,1104987,EUR,1028592000,F,22,22,True,8.0,6.0,,,0.0,4.0,4.0,2.0,4.0,,,,1.0,,,27.0,14.0,6.4,5.0,0,,,,,1.0,,1.0,2.0,,,Tommy Conway,,,,,,,,,,,,,,,,,,
12709452,home,Middlesbrough,Aidan Morris,aidan-morris,A. Morris,M,18,173.0,554,M,1014841,EUR,1005868800,M,18,18,True,12.0,11.0,2.0,2.0,0.0,6.0,6.0,5.0,6.0,,2.0,,1.0,,,12.0,16.0,6.7,3.0,0,,,,,3.0,2.0,1.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,
12709452,home,Middlesbrough,Tom Glover,tom-glover,T. Glover,G,23,196.0,123,M,801462,EUR,882921600,G,23,23,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12709452,home,Middlesbrough,James Wilson,james-wilson,J. Wilson,D,12,,10,M,1858216,EUR,1170288000,D,42,42,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,James Wilson,,,,,,,,,,,,,,,,,,
