match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialWon,captain,stat_goalAssist,stat_blockedScoringAttempt,stat_dispossessed,stat_aerialLost,stat_outfielderBlock,stat_totalOffside,stat_goals,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_ownGoals,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10437926,home,Benfica,Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2909,M,138149,EUR,767318400,G,99,99,False,18.0,15.0,4.0,1.0,15.0,15.0,3.0,4.0,1.0,1.0,90.0,23.0,6.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437926,home,Benfica,Gilberto,,,gilberto,Gilberto,D,2,181,1500,M,261687,EUR,731462400,D,2,2,False,86.0,80.0,2.0,1.0,40.0,41.0,49.0,7.0,,,90.0,113.0,7.4,12.0,2,41.0,4.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,
10437926,home,Benfica,António Silva,,,antonio-silva,A. Silva,D,4,187,8155,M,1006069,EUR,1067472000,D,66,66,False,70.0,63.0,4.0,2.0,46.0,50.0,21.0,5.0,,,90.0,87.0,7.3,10.0,2,17.0,1.0,,,6.0,,,,,,2.0,,3.0,3.0,5.0,4.0,2.0,,,,antoniosilva.66,1.0,,,,,,,,,,,,,,,
10437926,home,Benfica,Nicolás Otamendi,,,nicolas-otamendi,N. Otamendi,D,30,183,17844,M,74915,EUR,571622400,D,30,30,False,96.0,94.0,6.0,5.0,61.0,63.0,33.0,2.0,,,90.0,110.0,7.1,2.0,2,33.0,,,,3.0,,,,,1.0,2.0,,7.0,4.0,1.0,1.0,,,,,Notamendi30,2.0,True,,,,,,,,,,,,,,
10437926,home,Benfica,Mihailo Ristić,,,mihailo-ristic,M. Ristić,D,21,180,595,M,363774,EUR,815097600,D,23,23,False,72.0,66.0,4.0,1.0,37.0,38.0,43.0,6.0,,,90.0,104.0,7.4,14.0,2,33.0,9.0,4.0,2.0,3.0,,3.0,2.0,2.0,1.0,2.0,,1.0,2.0,,,2.0,,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,,
10437926,home,Benfica,Fredrik Aursnes,,,fredrik-aursnes,F. Aursnes,M,8,179,3950,M,228364,EUR,818553600,M,8,8,False,100.0,94.0,8.0,8.0,37.0,39.0,61.0,9.0,,,90.0,108.0,7.3,6.0,1,57.0,,,1.0,2.0,,,,,,,,1.0,2.0,2.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,
10437926,home,Benfica,Enzo Fernández,,,enzo-fernandez,E. Fernández,M,8,177,121227,M,974505,EUR,979689600,M,13,13,False,72.0,72.0,7.0,7.0,25.0,25.0,48.0,3.0,,,45.0,77.0,9.0,2.0,2,47.0,1.0,,1.0,1.0,,,,4.0,1.0,2.0,,,,1.0,1.0,,,,7.0,Enzo8,,,1.0,,1.0,,,,,,,,,,,
10437926,home,Benfica,João Mário,,,joao-mario,J. Mário,M,10,179,3804,M,97001,EUR,727401600,M,20,20,False,56.0,51.0,2.0,1.0,12.0,13.0,51.0,6.0,,,71.0,85.0,8.3,12.0,1,44.0,8.0,5.0,5.0,9.0,1.0,4.0,3.0,2.0,,,1.0,,2.0,4.0,3.0,2.0,2.0,,6.0,JoaoMario,,,1.0,,1.0,2.0,,,,,,,,,,
10437926,home,Benfica,Julian Draxler,,,julian-draxler,J. Draxler,M,7,187,2782,M,142680,EUR,748483200,M,93,93,False,42.0,40.0,2.0,2.0,17.0,17.0,25.0,3.0,,,90.0,51.0,6.7,6.0,1,23.0,,,5.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,3.0,,,,,,3.0,1.0,1.0,1.0,,,,,,,,
10437926,home,Benfica,Diogo Gonçalves,,,diogo-goncalves,D. Gonçalves,M,17,178,728,M,357746,EUR,855187200,M,17,17,False,36.0,33.0,,,9.0,9.0,30.0,5.0,,,90.0,59.0,7.5,9.0,7,25.0,3.0,1.0,2.0,5.0,,2.0,1.0,,1.0,2.0,3.0,,,2.0,2.0,1.0,2.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,
