match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_fouls,player_sofascoreId,stat_aerialWon,stat_dispossessed,stat_accurateCross,captain,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,stat_shotOffTarget,stat_errorLeadToAGoal,stat_totalOffside
12764231,home,Olympique Lyonnais,Lucas Perri,,,lucas-perri,L. Perri,G,1,196.0,3423,M,871290,EUR,881712000,G,23,23,False,15.0,10.0,7.0,2.0,0.0,8.0,9.0,2.0,6.0,3.0,3.0,5.0,90.0,23.0,7.4,5.0,0.00047601,0,1.1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764231,home,Olympique Lyonnais,Ainsley Maitland-Niles,,,ainsley-maitland-niles,A. Maitland-Niles,D,98,178.0,1581,M,352768,EUR,872812800,D,98,98,False,53.0,47.0,3.0,,0.0,19.0,20.0,28.0,36.0,6.0,,,90.0,75.0,7.4,11.0,0.0907489,1,,3.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,0.303,0.241,1.0,,,,,,,,,,,,,,
12764231,home,Olympique Lyonnais,Duje Ćaleta-Car,,,duje-caleta-car,D. Ćaleta-Car,D,16,192.0,2901,M,257091,EUR,842918400,D,55,55,False,45.0,44.0,4.0,3.0,0.0,31.0,31.0,13.0,14.0,3.0,,,90.0,59.0,7.1,2.0,0.008673,0,,,5.0,4.0,,,,,,4.0,,3.0,2.0,1.0,1.0,,,,2.0,2.0,3.0,,,,,,,,,,,
12764231,home,Olympique Lyonnais,Moussa Niakhaté,,,moussa-niakhate,M. Niakhaté,D,19,190.0,8276,M,758168,EUR,826243200,D,19,19,False,60.0,56.0,2.0,,0.0,39.0,40.0,17.0,20.0,3.0,,,90.0,70.0,6.8,4.0,0.0182355,0,,,1.0,6.0,,,,,,6.0,,2.0,,,,,,,,,1.0,niakhate,4.0,,,,,,,,,
12764231,home,Olympique Lyonnais,Abner Vinícius,,,abner-vinicius,Abner Vinícius,D,16,181.0,3941,M,973838,EUR,959385600,D,16,16,False,49.0,38.0,3.0,2.0,0.0,16.0,23.0,22.0,26.0,4.0,,,78.0,69.0,6.8,14.0,0.0497974,0,,,5.0,5.0,4.0,,,,,3.0,1.0,4.0,2.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,
12764231,home,Olympique Lyonnais,Jordan Veretout,,,jordan-veretout,J. Veretout,M,21,177.0,1258,M,151124,EUR,730944000,M,7,7,False,45.0,42.0,2.0,2.0,0.0,13.0,14.0,30.0,32.0,4.0,,,65.0,52.0,6.9,4.0,0.189104,0,,1.0,2.0,2.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,
12764231,home,Olympique Lyonnais,Tanner Tessmann,,,tanner-tessmann,T. Tessmann,M,6,187.0,1239,M,1022084,EUR,1001289600,M,15,15,False,42.0,34.0,2.0,2.0,0.0,15.0,16.0,19.0,26.0,5.0,,,64.0,47.0,7.1,8.0,0.0254364,1,,,3.0,4.0,,1.0,1.0,,1.0,,,3.0,1.0,,,0.0215,0.1807,,2.0,,1.0,,,,,,,,,,,
12764231,home,Olympique Lyonnais,Corentin Tolisso,,,corentin-tolisso,C. Tolisso,M,8,181.0,3276,M,343067,EUR,775872000,M,8,8,False,68.0,60.0,8.0,5.0,0.0,23.0,24.0,37.0,46.0,5.0,,,90.0,88.0,8.2,10.0,0.362411,3,,2.0,7.0,10.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,0.3421,1.1393,,3.0,,3.0,,5.0,,,True,1.0,1.0,,,,
12764231,home,Olympique Lyonnais,Rayan Cherki,,,cherki-rayan,R. Cherki,M,10,176.0,77290,M,979128,EUR,1061078400,F,18,18,False,59.0,46.0,5.0,5.0,0.0,7.0,8.0,44.0,63.0,1.0,,,90.0,96.0,8.2,31.0,0.800573,2,,12.0,8.0,7.0,,7.0,4.0,1.0,1.0,1.0,,,,4.0,3.0,0.1132,0.156,3.0,,,2.0,rayan_cherki,,4.0,5.0,,,,3.0,1.0,,
12764231,home,Olympique Lyonnais,Georges Mikautadze,,,mikautadze-georges,G. Mikautadze,F,9,176.0,13228,M,1009372,EUR,972950400,F,69,69,False,26.0,20.0,,,1.0,2.0,4.0,18.0,22.0,3.0,,,90.0,38.0,6.9,14.0,0.213471,2,,,10.0,3.0,,3.0,1.0,1.0,1.0,,,,,3.0,1.0,0.2018,0.2241,2.0,4.0,,2.0,georgesmkd,1.0,3.0,,,1.0,,2.0,,,
12764231,home,Olympique Lyonnais,Ernest Nuamah,Ernest Nuamah,,ernest-nuamah,E. Nuamah,F,37,178.0,6855,M,1202024,EUR,1067644800,F,37,37,False,24.0,22.0,,,0.0,6.0,6.0,16.0,20.0,4.0,,,84.0,44.0,7.3,9.0,0.0369974,3,,2.0,5.0,9.0,1.0,5.0,4.0,1.0,2.0,,,4.0,3.0,3.0,1.0,0.2615,0.5484,1.0,1.0,,1.0,nana_nuamah10,,1.0,,,,,,1.0,,
