match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_challengeLost,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_unsuccessfulTouch,player_sofascoreId,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_ownGoals,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot
12499318,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,253391,EUR,820454400,G,1,1,False,23.0,15.0,18.0,10.0,0.0,6.0,8.0,9.0,15.0,2.0,3.0,2.0,2.0,90.0,29.0,7.0,8.0,0.00356691,0,-0.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499318,home,Hellas Verona,Jackson Tchatchoua,jackson-tchatchoua,J. Tchatchoua,M,38,180,2199,M,1096210,EUR,1000425600,D,38,38,False,29.0,23.0,4.0,,0.0,5.0,8.0,19.0,27.0,2.0,7.0,,,90.0,51.0,6.8,13.0,0.0293989,0,,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12499318,home,Hellas Verona,Giangiacomo Magnani,giangiacomo-magnani,G. Magnani,D,96,190,252,M,812829,EUR,812764800,D,23,23,False,34.0,25.0,4.0,1.0,0.0,16.0,21.0,9.0,13.0,3.0,2.0,,,90.0,50.0,7.5,10.0,0.0132419,3,,,,2.0,5.0,9.0,,1.0,2.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,2.0,0.43,,,,,,,,,,,,,,,,,
12499318,home,Hellas Verona,Daniele Ghilardi,daniele-ghilardi,D. Ghilardi,D,87,189,1128,M,1384847,EUR,1041811200,D,87,87,False,38.0,33.0,5.0,2.0,0.0,22.0,23.0,11.0,15.0,7.0,2.0,,,89.0,51.0,6.9,5.0,0.00388162,0,,,,,1.0,5.0,,,,1.0,2.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
12499318,home,Hellas Verona,Domagoj Bradarić,domagoj-bradaric,D. Bradarić,M,12,178,1470,M,897594,EUR,944784000,D,12,12,False,42.0,36.0,4.0,2.0,0.0,15.0,19.0,24.0,28.0,1.0,3.0,,,90.0,67.0,7.1,10.0,0.415444,1,,5.0,3.0,2.0,5.0,2.0,,1.0,,,,,3.0,1.0,,,3.0,0.0404,,,1.0,1.0,1.0,1.0,0.0387,,,,,,,,,,
12499318,home,Hellas Verona,Ondrej Duda,ondrej-duda,O. Duda,M,11,181,1121,M,246319,EUR,786585600,M,33,33,False,56.0,45.0,12.0,6.0,0.0,18.0,19.0,31.0,44.0,2.0,7.0,,,79.0,76.0,7.8,16.0,0.771447,2,,7.0,4.0,1.0,3.0,4.0,,3.0,,1.0,,,5.0,1.0,1.0,1.0,,0.1342,,,1.0,2.0,,1.0,0.4542,1.0,,,,,,,,,
12499318,home,Hellas Verona,Reda Belahyane,reda-belahyane,R. Belahyane,M,21,173,4290,M,1389689,EUR,1086048000,M,6,6,False,50.0,42.0,5.0,2.0,0.0,15.0,16.0,27.0,35.0,2.0,7.0,,,90.0,63.0,6.8,14.0,0.105005,0,,1.0,,2.0,4.0,4.0,1.0,1.0,,,3.0,1.0,1.0,,,1.0,,,Reda Belahyane,,,,,,,2.0,reda.belahyane,,,,,,,,
12499318,home,Hellas Verona,Darko Lazović,darko-lazovic,D. Lazović,M,88,181,680,M,41157,EUR,653356800,M,8,8,False,22.0,19.0,3.0,2.0,0.0,4.0,4.0,17.0,29.0,4.0,4.0,,,90.0,46.0,6.7,14.0,0.136398,1,,11.0,2.0,1.0,2.0,1.0,,,,2.0,1.0,,,,1.0,,1.0,0.1146,,,,,,,,2.0,,True,1.0,,,,,,
12499318,home,Hellas Verona,Casper Tengstedt,tengstedt-casper,C. Tengstedt,F,17,184,1578,M,957937,EUR,959817600,M,11,11,False,20.0,14.0,2.0,2.0,0.0,4.0,5.0,10.0,15.0,3.0,2.0,,,89.0,43.0,7.7,13.0,0.0373471,6,,,,1.0,4.0,4.0,2.0,2.0,,1.0,,,1.0,2.0,1.0,,,0.9402,,,1.0,2.0,,1.0,0.8125,4.0,,,,4.0,1.0,,,,
12499318,home,Hellas Verona,Dailon Rocha Livramento,dailon-rocha-livramento,D. R. Livramento,F,10,185,1923,M,1155358,EUR,988934400,M,14,14,False,6.0,3.0,,,0.0,,1.0,4.0,7.0,,,,,79.0,24.0,7.0,10.0,0.21048,3,,2.0,1.0,2.0,7.0,6.0,2.0,1.0,,,4.0,4.0,2.0,2.0,2.0,,2.0,0.2789,,,,,,,,3.0,,,,1.0,,1.0,,,
