match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_fouls,captain,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_dispossessed,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_goodHighClaim
13981465,home,Juventus,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,29.0,26.0,8.0,5.0,0.0,22.0,22.0,4.0,7.0,4.0,1.0,1.0,90.0,32.0,6.6,3.0,0.00117322,-0.0003,0,-0.2233,0.07,0.02,-0.07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981465,home,Juventus,Federico Gatti,Federico Gatti,,federico-gatti,F. Gatti,D,4,190,4940,M,FedericoGatti,1128063,EUR,898646400,D,4,4,False,49.0,46.0,3.0,2.0,0.0,35.0,35.0,11.0,14.0,6.0,,,64.0,58.0,6.4,4.0,0.0113764,,0,,0.11,0.03,-0.16,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13981465,home,Juventus,Bremer,,,bremer,Bremer,D,3,188,9433,M,Bremer,885197,EUR,858643200,D,3,3,False,56.0,53.0,11.0,8.0,0.0,36.0,37.0,17.0,19.0,4.0,,,76.0,72.0,7.1,8.0,0.00622638,,2,,0.11,0.05,0.19,,1.0,2.0,4.0,,1.0,,2.0,,True,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.1446,0.317,-0.14,,,,,,,,,,,,
13981465,home,Juventus,Lloyd Kelly,,,lloyd-kelly,L. Kelly,D,6,191,3053,M,,865167,EUR,907632000,D,6,6,False,70.0,64.0,13.0,8.0,0.0,34.0,36.0,30.0,34.0,12.0,,,90.0,84.0,7.0,10.0,0.0155178,,3,,0.16,0.11,-0.13,,2.0,,4.0,,,,2.0,,,,3.0,1.0,1.0,,,1.0,1.0,2.0,,0.1994,0.1096,-0.42,1.0,1.0,,,,,,,,,,
13981465,home,Juventus,Pierre Kalulu,,,pierre-kalulu,P. Kalulu,D,15,183,6630,M,Kalulujr_,965330,EUR,960163200,M,15,15,False,83.0,76.0,8.0,6.0,0.0,33.0,34.0,43.0,49.0,3.0,,,90.0,97.0,7.1,11.0,0.069662,,2,,0.27,0.25,-0.12,,5.0,2.0,3.0,2.0,,,1.0,,,,2.0,,,,1.0,1.0,,1.0,,0.0954,,-0.15,2.0,2.0,2.0,1.0,1.0,,,,,,,
13981465,home,Juventus,Teun Koopmeiners,,,teun-koopmeiners,T. Koopmeiners,M,8,183,6981,M,teunkoopmeiners,803033,EUR,888624000,M,8,8,False,51.0,51.0,3.0,3.0,0.0,21.0,21.0,30.0,30.0,8.0,,,90.0,73.0,7.3,6.0,0.257569,,3,,0.39,0.35,-0.05,,7.0,5.0,4.0,2.0,1.0,,,1.0,,1.0,1.0,2.0,,,1.0,3.0,,1.0,,0.086,0.235,-0.22,1.0,4.0,5.0,,,,,,,,,
13981465,home,Juventus,Khéphren Thuram,,,khephren-thuram,K. Thuram,M,19,191,11655,M,k_thuram,904832,EUR,985564800,M,19,19,False,45.0,41.0,3.0,2.0,0.0,25.0,25.0,16.0,20.0,2.0,,,58.0,51.0,6.8,4.0,0.0116784,,1,,-0.07,0.17,-0.03,,,1.0,3.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,1.0,0.0164,,-0.06,,,,,,,,,,,,
13981465,home,Juventus,Andrea Cambiaso,,,cambiaso-andrea,A. Cambiaso,D,27,181,7318,M,andrea_cambiaso,917048,EUR,951004800,M,27,27,False,58.0,56.0,,,0.0,23.0,23.0,33.0,35.0,7.0,,,90.0,82.0,7.3,14.0,0.116476,,0,,0.26,0.4,0.27,,9.0,2.0,2.0,,2.0,1.0,,1.0,,,,,,1.0,1.0,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,
13981465,home,Juventus,Vasilije Adžić,Vasilije,Adžić,vasilije-adzic,V. Adžić,M,17,187,5124,M,,1149288,EUR,1147392000,F,17,17,False,31.0,21.0,3.0,2.0,0.0,9.0,14.0,12.0,17.0,3.0,,,58.0,39.0,5.7,13.0,0.0183186,,3,,-0.25,0.04,-0.49,,1.0,2.0,1.0,,,,,,,1.0,,2.0,,,,1.0,,,,0.1753,1.0193,-0.18,1.0,2.0,,,,1.0,1.0,1.0,,,,
13981465,home,Juventus,Kenan Yıldız,Kenan Yıldız,,yildiz-kenan,K. Yıldız,M,10,187,82614,M,KenanYıldız,1149011,EUR,1115164800,F,10,10,False,45.0,37.0,3.0,1.0,0.0,14.0,14.0,23.0,31.0,2.0,,,90.0,78.0,7.0,22.0,0.156626,,4,,0.2,0.35,-0.07,,6.0,5.0,7.0,1.0,6.0,3.0,,,,,1.0,1.0,3.0,,,3.0,,4.0,,0.116,0.0153,-0.52,,3.0,1.0,,,1.0,,,,,,
