match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_challengeLost,stat_wonContest,player_sofascoreId,stat_totalCross,stat_aerialWon,stat_dispossessed,stat_accurateCross,stat_shotOffTarget,stat_keyPass,stat_goalAssist,stat_onTargetScoringAttempt,captain,stat_goals,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside
10411408,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,29.0,19.0,11.0,2.0,17.0,22.0,2.0,7.0,1.0,10.0,1.0,5.0,5.0,90.0,44.0,7.3,11.0,0.0,0.0,0.00123864,0,-0.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411408,home,Lazio,Manuel Lazzari,manuel-lazzari,M. Lazzari,D,29,173,753,M,273405,EUR,754531200,D,29,29,False,27.0,26.0,,,15.0,16.0,11.0,11.0,1.0,3.0,,,,84.0,51.0,6.6,6.0,0.0,0.0,0.00654318,0,,3.0,2.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10411408,home,Lazio,Patric,patric,Patric,D,4,184,495,M,217784,EUR,735004800,D,4,4,False,58.0,50.0,9.0,1.0,42.0,45.0,8.0,13.0,4.0,3.0,,,,90.0,69.0,6.7,8.0,0.0,0.0,0.0615311,0,,2.0,1.0,,2.0,2.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
10411408,home,Lazio,Alessio Romagnoli,alessio-romagnoli,A. Romagnoli,D,13,185,1922,M,227864,EUR,789868800,D,13,13,False,53.0,45.0,4.0,2.0,35.0,39.0,10.0,14.0,2.0,2.0,,,,90.0,66.0,6.5,9.0,0.0,0.0,0.00306542,0,,5.0,3.0,,2.0,1.0,3.0,2.0,1.0,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,
10411408,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185,1131,M,267619,EUR,719280000,D,77,77,False,37.0,31.0,3.0,1.0,24.0,30.0,7.0,7.0,1.0,8.0,,,,90.0,46.0,6.1,7.0,0.0232,0.0,0.00272028,0,,5.0,3.0,1.0,,,1.0,1.0,,1.0,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,
10411408,home,Lazio,Sergej Milinković-Savić,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13428,M,331447,EUR,793843200,M,21,21,False,39.0,29.0,2.0,,13.0,15.0,16.0,25.0,2.0,4.0,,,,90.0,62.0,6.8,19.0,0.0,0.0,0.12479,0,,6.0,8.0,1.0,1.0,,3.0,3.0,4.0,2.0,,,,2.0,1.0,,sms,1.0,3.0,2.0,,,,,,,,,,,,
10411408,home,Lazio,Danilo Cataldi,danilo-cataldi,D. Cataldi,M,32,180,952,M,317301,EUR,776131200,M,32,32,False,43.0,35.0,,,26.0,32.0,10.0,14.0,3.0,5.0,,,,75.0,56.0,6.5,10.0,0.0082,0.0,0.0401875,2,,5.0,2.0,,,,2.0,1.0,,,2.0,,,,3.0,,,3.0,,,1.0,2.0,1.0,,,,,,,,,
10411408,home,Lazio,Luis Alberto,luis-alberto,L. Alberto,M,32,182,1864,M,111416,EUR,717638400,M,10,10,False,18.0,17.0,1.0,1.0,9.0,10.0,8.0,9.0,,,,,,53.0,25.0,6.3,6.0,0.0,0.0,0.012037,0,,3.0,,1.0,,,,,3.0,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,
10411408,home,Lazio,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175,6043,M,152276,EUR,734832000,F,7,7,False,19.0,15.0,1.0,1.0,4.0,4.0,11.0,15.0,,6.0,,,,84.0,34.0,7.1,7.0,0.0159,0.3518,0.123285,1,,4.0,3.0,2.0,,,3.0,3.0,1.0,,2.0,,,,,,F_Andersoon,,,,,,2.0,1.0,1.0,,,,,,,
10411408,home,Lazio,Ciro Immobile,ciro-immobile,C. Immobile,F,36,185,15127,M,45923,EUR,635472000,F,17,17,False,12.0,9.0,,,4.0,5.0,5.0,7.0,,1.0,,,,90.0,21.0,6.1,10.0,0.0025,0.0,0.00522857,1,,9.0,1.0,2.0,,,,,2.0,1.0,2.0,,,2.0,,,ciroimmobile17,,,3.0,,1.0,,,,True,,,,,,
