match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_interceptionWon,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_ownGoals,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_challengeLost,stat_dispossessed,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_lastManTackle,stat_clearanceOffLine,stat_errorLeadToAShot
12436502,home,Crystal Palace,Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5010,M,deanhenderson,788134,EUR,858124800,G,1,1,False,28.0,17.0,16.0,5.0,0.0,14.0,14.0,3.0,14.0,2.0,7.0,2.0,2.0,90.0,32.0,6.3,11.0,0.00071815,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436502,home,Crystal Palace,Trevoh Chalobah,,,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,27,27,False,48.0,40.0,8.0,4.0,0.0,24.0,28.0,16.0,21.0,4.0,7.0,,,84.0,62.0,7.2,10.0,0.250102,1,1.0,3.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0149,1.0,,,,,,,,,,,,,,,,,,,,,,,
12436502,home,Crystal Palace,Maxence Lacroix,,,maxence-lacroix,M. Lacroix,D,5,192,6873,M,,879674,EUR,954979200,D,5,5,False,46.0,38.0,4.0,1.0,0.0,25.0,29.0,13.0,17.0,5.0,6.0,,,90.0,63.0,7.4,9.0,0.00805075,3,,,2.0,,5.0,,,,3.0,3.0,2.0,0.1964,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
12436502,home,Crystal Palace,Marc Guéhi,,,marc-guehi,M. Guéhi,D,15,182,22326,M,MarcGuehi13,877994,EUR,963446400,D,6,6,False,52.0,43.0,6.0,2.0,1.0,22.0,25.0,22.0,28.0,1.0,4.0,,,90.0,64.0,7.5,11.0,0.109902,2,1.0,,1.0,1.0,5.0,1.0,,2.0,1.0,2.0,1.0,0.095,3.0,1.0,,True,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
12436502,home,Crystal Palace,Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183,12060,M,daniel.chitiva,870360,EUR,833068800,M,12,12,False,33.0,26.0,,,0.0,12.0,15.0,14.0,21.0,3.0,6.0,,,90.0,70.0,7.7,12.0,0.0203333,3,3.0,4.0,,5.0,12.0,,,,1.0,11.0,6.0,0.8764,1.0,1.0,1.0,,,,,1.0,2.0,2.0,1.0,1.0,0.232,,,,,,,,,,,
12436502,home,Crystal Palace,Will Hughes,,,will-hughes,W. Hughes,M,19,185,1026,M,,193554,EUR,798076800,M,19,19,False,40.0,38.0,3.0,3.0,0.0,21.0,21.0,19.0,22.0,,2.0,,,77.0,53.0,7.0,5.0,0.0977785,2,3.0,1.0,,2.0,6.0,1.0,1.0,,,4.0,,0.0633,1.0,,2.0,,2.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,
12436502,home,Crystal Palace,Jefferson Lerma,,,jefferson-lerma,J. Lerma,M,8,179,5444,M,jeffersonlerma,355796,EUR,783043200,M,8,8,False,49.0,38.0,5.0,3.0,0.0,14.0,18.0,24.0,31.0,4.0,7.0,,,90.0,69.0,7.3,12.0,0.0657477,1,,1.0,5.0,5.0,9.0,,,,,3.0,1.0,0.0416,1.0,4.0,1.0,,,1.0,,3.0,,,,4.0,,1.0,,,,,,,,,,
12436502,home,Crystal Palace,Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1388,M,,988275,EUR,936144000,M,3,3,False,29.0,24.0,1.0,1.0,0.0,11.0,12.0,13.0,20.0,1.0,5.0,,,90.0,53.0,6.5,11.0,0.0109633,0,3.0,,1.0,8.0,4.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,3.0,,,2.0,3.0,,,,,,,,
12436502,home,Crystal Palace,Ismaïla Sarr,,,ismaila-sarr,I. Sarr,F,7,185,26789,M,ismaila_sarr18,845286,EUR,888364800,F,7,7,False,16.0,15.0,,,0.0,4.0,5.0,11.0,12.0,,2.0,,,90.0,30.0,7.1,8.0,0.828313,2,1.0,2.0,,5.0,3.0,,,1.0,,,,0.1663,2.0,,4.0,,,,,3.0,1.0,2.0,,,0.6933,,1.0,2.0,,,,,,,,
12436502,home,Crystal Palace,Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178,55840,M,eze,864921,EUR,899078400,F,10,10,False,21.0,15.0,2.0,1.0,0.0,9.0,12.0,9.0,14.0,,2.0,,,65.0,36.0,7.1,12.0,0.0900053,0,5.0,,,3.0,4.0,5.0,4.0,,,,,,3.0,2.0,1.0,,3.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,
12436502,home,Crystal Palace,Jean-Philippe Mateta,,,jean-philippe-mateta,J. Mateta,F,14,192,9441,M,Matetajphilippe,848276,EUR,867456000,F,14,14,False,13.0,7.0,,,0.0,3.0,4.0,4.0,10.0,4.0,2.0,,,90.0,31.0,6.5,12.0,0.00608665,2,1.0,3.0,4.0,6.0,6.0,,,,1.0,1.0,1.0,0.3366,,1.0,3.0,,,1.0,,1.0,1.0,,,,,,1.0,2.0,1.0,,,,,,,
12436502,home,Crystal Palace,Justin Devenny,,,devenny-justin,J. Devenny,M,55,184,726,M,,1084311,EUR,1065830400,M,55,55,True,22.0,16.0,4.0,1.0,0.0,5.0,6.0,12.0,20.0,,2.0,,,25.0,33.0,6.9,12.0,0.0652603,0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,,,2.0,2.0,,1.0,,3.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
12436502,home,Crystal Palace,Edward Nketiah,,,edward-nketiah,E. Nketiah,F,9,175,6443,M,EN9,858194,EUR,928022400,F,9,9,True,3.0,2.0,1.0,1.0,0.0,,1.0,2.0,2.0,,1.0,,,13.0,8.0,6.7,4.0,0.00427621,0,,,,3.0,2.0,,,,,2.0,2.0,,,,2.0,,,,,,,,,2.0,,,,1.0,,,,,,,,
12436502,home,Crystal Palace,Jeffrey Schlupp,,,jeffrey-schlupp,J. Schlupp,D,27,178,764,M,,148710,EUR,725068800,M,15,15,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,13.0,2.0,6.5,1.0,0.00058924,0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436502,home,Crystal Palace,Matt Turner,,,matt-turner,M. Turner,G,30,190,1518,M,,833943,EUR,772416000,G,30,30,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436502,home,Crystal Palace,Joel Ward,,,joel-ward,J. Ward,D,25,188,258,M,,39183,EUR,625622400,D,2,2,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436502,home,Crystal Palace,Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,175,676,M,,43215,EUR,670809600,D,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436502,home,Crystal Palace,Chris Richards,,,chris-richards,C. Richards,D,26,188,2004,M,,931844,EUR,954201600,D,26,26,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436502,home,Crystal Palace,Caleb Kporha,Caleb,Kporha,caleb-kporha,C. Kporha,D,15,179,284,M,,1465401,EUR,1152921600,D,58,58,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
