match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_aerialWon,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_fouls,captain,stat_shotOffTarget,stat_dispossessed,player_lastName,stat_wonContest,stat_outfielderBlock,stat_goodHighClaim,stat_punches,stat_goals,player_sofascoreId,stat_totalOffside,stat_bigChanceMissed
14773674,home,Al-Okhdood,Blaž Kramer,blaz-kramer,B. Kramer,F,99,191.0,607,M,804405,EUR,833587200.0,F,9,9,False,21.0,14.0,,,0.0,5.0,7.0,9.0,14.0,,1.0,,,,,59.0,24.0,6.3,9.0,0.0129488,53.049539558763,7.0,-1.575,11.235,,0,,-0.27,0.07,-0.02,,,,1.0,3.0,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,
14773674,home,Al-Okhdood,Abdulaziz Al Hatila,abdulaziz-al-hatila,A. A. Hatila,M,12,175.0,27,M,1521660,EUR,895363200.0,M,12,12,True,39.0,32.0,1.0,1.0,0.0,7.0,7.0,25.0,32.0,,2.0,,,,,64.0,61.0,7.0,15.0,0.0957952,165.56064126572,23.0,83.37,10.08,,4,,0.28,0.36,-0.02,,Abdulaziz Al Hatila,4.0,,1.0,3.0,,,,,3.0,,2.0,2.0,0.2055,0.3004,-0.59,,1.0,,1.0,25.558423184045,2.0,3.0,,,2.0,1.0,,1.0,,,,,,,
14773674,home,Al-Okhdood,Saleh Al-Harthi,saleh-al-harthi,S. Al-Harthi,M,20,167.0,13,M,1182099,EUR,808012800.0,M,20,20,True,14.0,11.0,1.0,,0.0,2.0,3.0,9.0,11.0,,,,,,,31.0,28.0,6.4,10.0,0.00583016,53.798082730923,7.0,-11.445,0.735,,0,,-0.11,-0.11,0.22,,Saleh Al-Harthi,2.0,,2.0,,,,,,2.0,,,,,,,,1.0,,,7.1882003310982,1.0,,1.0,,,,,,1.0,,,,,,
14773674,home,Al-Okhdood,Saleh Al Abbas,saleh-al-abbas,S. A. Abbas,F,14,177.0,52,M,989766,EUR,797904000.0,F,14,14,True,8.0,7.0,,,0.0,,,7.0,8.0,,1.0,,,,,35.0,11.0,6.1,2.0,0.0291214,,,,,,1,,0.0,-0.03,0.0,,,,2.0,4.0,,,,,,,,,,0.0211,,-0.23,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
14773674,home,Al-Okhdood,Mohanad Alqaydhi,mohanad-alqaydhi,M. Alqaydhi,D,98,187.0,20,M,879649,EUR,896140800.0,D,98,98,True,3.0,3.0,,,0.0,,,3.0,3.0,,,,,,,14.0,7.0,6.8,,0.00681579,11.118075238671,2.0,6.195,7.455,,0,,0.02,0.0,0.18,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,home,Al-Okhdood,Mohammed Al Jahif,mohammed-al-jahif,M. A. Jahif,M,10,175.0,11,M,1521471,EUR,912297600.0,M,10,10,True,5.0,4.0,,,0.0,,1.0,4.0,4.0,,1.0,,,,,14.0,8.0,6.6,3.0,0.00188143,5.1172648944529,1.0,-0.41999999999999,-0.41999999999999,,0,,-0.03,-0.03,0.13,,Mohammed Al Jahif,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
14773674,home,Al-Okhdood,Rakan Najjar,rakan-najjar,R. Najjar,G,1,187.0,31,M,869271,EUR,801792000.0,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,home,Al-Okhdood,Hussain Al Zabdani,hussain-al-zabdani,H. A. Zabdani,D,8,183.0,18,M,1521661,EUR,797904000.0,D,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Hussain Al Zabdani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,home,Al-Okhdood,Saud Salem,saud-salem,S. Salem,M,19,166.0,6,M,1525046,EUR,1123977600.0,M,19,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Saud Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,home,Al-Okhdood,Ahmed Majrashi,ahmed-majrashi,A. Majrashi,M,96,,2,M,2369919,EUR,,M,96,96,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Ahmed Majrashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,away,Damac FC,Kewin,kewin,Kewin,G,1,187.0,116,M,865371,EUR,790992000.0,G,1,1,False,35.0,21.0,28.0,15.0,0.0,12.0,16.0,9.0,19.0,2.0,16.0,,4.0,,,90.0,47.0,7.5,14.0,0.00202277,29.962267100333,6.0,4.41,3.465,0.141,0,0.589,0.15,-0.03,0.26,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
