match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_totalContest,stat_shotOffTarget,stat_expectedGoals,stat_wonContest,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goalAssist,stat_accurateCross,stat_bigChanceMissed,player_sofascoreId,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_outfielderBlock,stat_bigChanceCreated
11388462,home,Vitesse,Eloy Room,eloy-room,E. Room,G,188,180,M,40859,EUR,602726400,G,1,1,False,42.0,23.0,27.0,8.0,16.0,18.0,7.0,24.0,1.0,1.0,11.0,1.0,3.0,3.0,1.0,90.0,50.0,7.0,19.0,0.00293207,0,-0.0585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388462,home,Vitesse,Carlens Arcus,carlens-arcus,C. Arcus,D,180,5896,M,794373,EUR,835920000,D,2,2,False,53.0,45.0,3.0,2.0,25.0,29.0,20.0,26.0,6.0,2.0,7.0,,,,,90.0,80.0,6.9,13.0,0.0225844,0,,2,2.0,2.0,2.0,6.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
11388462,home,Vitesse,Nicolas Isimat-Mirin,nicolas-isimat-mirin,N. Isimat-Mirin,D,189,76,M,781556,EUR,690076800,D,29,29,False,71.0,46.0,15.0,6.0,33.0,39.0,13.0,32.0,14.0,3.0,7.0,1.0,,,,90.0,84.0,6.8,28.0,0.00917635,1,,,,,11.0,3.0,1.0,,2.0,,1.0,1.0,1.0,True,1.0,1.0,0.0468,,,,,,,,,,,,,,,,,
11388462,home,Vitesse,Ramon Hendriks,ramon-hendriks,R. Hendriks,D,189,435,M,916943,EUR,995414400,D,15,15,False,88.0,68.0,10.0,1.0,51.0,56.0,17.0,33.0,15.0,6.0,11.0,1.0,,,,90.0,108.0,7.1,22.0,0.0223651,0,,3,1.0,2.0,9.0,5.0,,,5.0,3.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
11388462,home,Vitesse,Mica Pinto,mica-pinto,Mica,D,176,157,M,785815,EUR,739152000,D,5,5,False,43.0,35.0,9.0,5.0,22.0,24.0,13.0,21.0,3.0,4.0,2.0,1.0,,,,76.0,65.0,6.8,11.0,0.00438912,1,,5,2.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,1.0,,0.0163,1.0,1.0,,,,,,,,,,,,,,,
11388462,home,Vitesse,Paxten Aaronson,paxten-aaronson,P. Aaronson,M,175,898,M,1035515,EUR,1061856000,M,14,14,False,25.0,15.0,3.0,1.0,9.0,11.0,6.0,15.0,9.0,1.0,4.0,4.0,,,,90.0,49.0,6.8,18.0,0.0126365,3,,31,1.0,6.0,2.0,10.0,,1.0,3.0,,2.0,,2.0,,,1.0,0.1062,,1.0,Paxten Aaronson,,4.0,1.0,0.1603,,,,,,,,,,
11388462,home,Vitesse,Mathijs Tielemans,mathijs-tielemans,M. Tielemans,M,181,116,M,966542,EUR,1019779200,M,21,21,False,68.0,58.0,12.0,10.0,29.0,34.0,29.0,35.0,5.0,2.0,4.0,,,,,90.0,85.0,8.3,17.0,0.16972,0,,8,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,,5.0,,2.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,
11388462,home,Vitesse,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,182,3151,M,984602,EUR,1066262400,M,17,17,False,31.0,22.0,4.0,1.0,11.0,12.0,14.0,23.0,9.0,1.0,7.0,1.0,,,,90.0,57.0,7.1,15.0,0.153431,5,,10,4.0,4.0,1.0,8.0,,1.0,3.0,3.0,2.0,1.0,2.0,,5.0,3.0,0.4304,4.0,1.0,,,2.0,1.0,0.2036,,3.0,1.0,,,,,,,
11388462,home,Vitesse,Anis Hadj Moussa,anis-hadj-moussa,A. H. Moussa,F,176,22233,M,1218066,EUR,1013385600,F,28,28,False,26.0,18.0,1.0,,3.0,5.0,16.0,29.0,5.0,,2.0,1.0,,,,90.0,61.0,8.4,26.0,0.231191,7,,23,8.0,2.0,1.0,9.0,,,1.0,1.0,6.0,2.0,3.0,,5.0,2.0,0.4797,2.0,1.0,,,2.0,4.0,1.353,,1.0,,hadj.a20,2.0,1.0,,,,
11388462,home,Vitesse,Mexx Meerdink,mexx-meerdink,M. Meerdink,F,182,933,M,1153117,EUR,1059004800,F,35,35,False,24.0,16.0,1.0,1.0,4.0,4.0,13.0,21.0,12.0,,,3.0,,,,84.0,38.0,7.2,11.0,0.0271795,2,,35,1.0,2.0,8.0,7.0,,,,,1.0,3.0,1.0,,2.0,1.0,0.0931,1.0,,,,1.0,1.0,0.1173,,1.0,,,,,1.0,,,
