match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_fouls,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_hitWoodwork,stat_unsuccessfulTouch,stat_keyPass,stat_totalOffside,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,player_sofascoreId
12441684,home,Heracles Almelo,Fabian de Keijzer,fabian-de-keijzer,F. d. Keijzer,G,1,193,109,M,856743,EUR,957916800,G,1,1,False,33.0,16.0,24.0,7.0,0.0,12.0,14.0,4.0,19.0,1.0,1.0,2.0,11.0,1.0,2.0,4.0,1.0,2.0,1.0,90.0,42.0,6.2,17.0,0.00188511,0,-2.6958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441684,home,Heracles Almelo,Mimeirhel Benita,mimeirhel-benita,M. Benita,D,2,176,216,M,1130308,EUR,1069027200,D,2,2,False,23.0,14.0,7.0,1.0,0.0,8.0,9.0,6.0,16.0,1.0,3.0,2.0,6.0,,,,,,,72.0,43.0,6.4,11.0,0.00185273,0,,Mimeirhel Benita,,2.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12441684,home,Heracles Almelo,Damon Mirani,damon-mirani,D. Mirani,D,4,182,56,M,318575,EUR,831945600,D,4,4,False,53.0,49.0,4.0,2.0,0.0,37.0,39.0,12.0,14.0,2.0,4.0,2.0,5.0,,,,,,,90.0,62.0,6.7,4.0,0.0115439,1,,,,,4.0,5.0,1.0,1.0,1.0,2.0,2.0,,1.0,0.0819,0.1012,,,,,,,,,,,,,,,,
12441684,home,Heracles Almelo,Ivan Mesík,ivan-mesik,I. Mesík,D,24,187,163,M,918484,EUR,991353600,D,24,24,False,49.0,43.0,6.0,4.0,0.0,30.0,35.0,13.0,14.0,1.0,2.0,6.0,6.0,,,,,,,90.0,62.0,6.5,7.0,0.0359477,0,,,,,,3.0,,2.0,2.0,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,
12441684,home,Heracles Almelo,Mats Rots,mats-rots,M. Rots,D,39,185,370,M,1387012,EUR,1142035200,D,39,39,False,29.0,22.0,3.0,1.0,0.0,13.0,15.0,10.0,15.0,,5.0,2.0,3.0,,,,,,,90.0,57.0,6.7,13.0,0.0724699,1,,,,1.0,1.0,5.0,2.0,,1.0,4.0,3.0,,,0.0444,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,
12441684,home,Heracles Almelo,Suf Podgoreanu,suf-podgoreanu,S. Podgoreanu,M,17,193,150,M,1010062,EUR,1011484800,M,29,29,False,25.0,17.0,3.0,1.0,0.0,5.0,7.0,13.0,20.0,,1.0,2.0,9.0,,,,,,,90.0,44.0,6.5,15.0,0.0447639,2,,,,2.0,2.0,8.0,1.0,,2.0,1.0,1.0,,,0.1171,,3.0,1.0,1.0,1.0,,,2.0,,,1.0,1.0,,,,,
12441684,home,Heracles Almelo,Jan Žambůrek,jan-zamburek,J. Žambůrek,M,13,182,81,M,930295,EUR,982022400,M,13,13,False,15.0,11.0,2.0,1.0,0.0,10.0,12.0,1.0,8.0,1.0,2.0,,,,,,,,,67.0,26.0,6.3,10.0,0.00971897,0,,,,5.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,
12441684,home,Heracles Almelo,Sem Scheperman,scheperman-sem,S. Scheperman,M,32,188,82,M,1189738,EUR,1024790400,M,32,32,False,28.0,21.0,,,0.0,19.0,23.0,2.0,5.0,1.0,5.0,6.0,3.0,,,,,,,89.0,40.0,6.5,7.0,0.110438,0,,,,,,6.0,3.0,,2.0,4.0,3.0,,,,,,3.0,,,,,,,,1.0,,,,,,
12441684,home,Heracles Almelo,Mario Engels,mario-engels,M. Engels,M,8,183,72,M,132674,EUR,751248000,M,8,8,False,14.0,11.0,1.0,1.0,0.0,7.0,8.0,4.0,8.0,,3.0,,3.0,,,,,,,67.0,26.0,6.5,9.0,0.00612443,0,,,,2.0,,3.0,,,1.0,1.0,1.0,2.0,,,,2.0,,,1.0,,,,,1.0,,,,,,,
12441684,home,Heracles Almelo,Brian De Keersmaecker,brian-de-keersmaecker,B. D. Keersmaeker,M,14,182,235,M,981222,EUR,957571200,F,14,14,False,35.0,30.0,6.0,5.0,0.0,8.0,8.0,22.0,28.0,,8.0,,7.0,,,,,,,90.0,55.0,7.4,12.0,0.126012,2,,,,1.0,,3.0,,,1.0,3.0,2.0,3.0,,0.1179,,2.0,1.0,,2.0,2.0,,2.0,,3.0,2.0,1.0,True,,,,
