match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_wonTackle,stat_shotOffTarget,stat_fouls,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_accurateCross,captain,stat_totalOffside,stat_lastManTackle,stat_errorLeadToAShot
11368710,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,25.0,17.0,20.0,12.0,9.0,10.0,8.0,15.0,1.0,7.0,1.0,2.0,90.0,29.0,7.5,8.0,0.0017703,0,0.1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368710,home,Real Sociedad,Hamari Traoré,hamari-traore,H. Traoré,D,14,175,4235,M,362014,EUR,696470400,D,18,18,False,67.0,60.0,5.0,3.0,33.0,36.0,27.0,33.0,1.0,4.0,,,90.0,91.0,7.4,15.0,0.0187392,1,,,,hamarintos27,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0924,1.0,,,,,,,,,,,,,,,,,
11368710,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,89.0,77.0,8.0,4.0,51.0,56.0,26.0,33.0,3.0,4.0,,,90.0,97.0,7.4,13.0,0.00751832,0,,,,,,5.0,6.0,1.0,,,,1.0,1.0,1.0,,,,4.0,5.0,2.0,1.0,,,,,,,,,,,,,
11368710,home,Real Sociedad,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,787751,EUR,847670400,D,24,24,False,81.0,70.0,13.0,8.0,46.0,50.0,24.0,31.0,2.0,1.0,,,90.0,85.0,7.1,12.0,0.00979555,1,,,,lenormand_r,,2.0,7.0,1.0,,,,,,1.0,,0.1354,,,7.0,,,1.0,1.0,,,,,,,,,,,
11368710,home,Real Sociedad,Javi Galán,javi-galan,J. Galán,D,20,172,2472,M,825133,EUR,785203200,D,25,25,False,22.0,17.0,3.0,1.0,8.0,9.0,9.0,14.0,,3.0,,,45.0,33.0,6.6,8.0,0.0098061,0,,,,,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,
11368710,home,Real Sociedad,Brais Méndez,brais-mendez,B. Méndez,M,23,184,2013,M,845385,EUR,852595200,M,23,23,False,45.0,36.0,4.0,3.0,15.0,16.0,21.0,30.0,1.0,4.0,,,90.0,66.0,7.8,16.0,0.228999,3,,,,,1.0,9.0,7.0,,8.0,4.0,1.0,,1.0,1.0,1.0,0.1142,2.0,1.0,1.0,,1.0,,4.0,,1.0,2.0,2.0,,,,,,,
11368710,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,4,4,False,49.0,41.0,2.0,2.0,14.0,15.0,27.0,34.0,,5.0,,,75.0,60.0,7.4,11.0,0.34581,1,,,,martin_zubimendi,,3.0,7.0,,,,,2.0,3.0,2.0,,0.0156,1.0,2.0,4.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,
11368710,home,Real Sociedad,Mikel Merino,mikel-merino,M. Merino,M,23,188,29240,M,592010,EUR,835401600,M,8,8,False,73.0,52.0,5.0,2.0,19.0,22.0,33.0,52.0,1.0,9.0,,,90.0,88.0,7.9,26.0,0.0414747,2,,,,mikelmerino,1.0,6.0,19.0,1.0,,,2.0,,3.0,3.0,1.0,0.264,,4.0,15.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,
11368710,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,F,14,14,False,24.0,16.0,1.0,,4.0,6.0,14.0,24.0,,3.0,,,66.0,44.0,6.6,18.0,0.266915,0,,,,KuboTake,6.0,7.0,4.0,3.0,4.0,,,,1.0,,1.0,,4.0,,2.0,,1.0,,1.0,,,,,,,2.0,,,,
11368710,home,Real Sociedad,Mikel Oyarzabal,mikel-oyarzabal,M. Oyarzabal,F,10,181,11730,M,823622,EUR,861580800,F,10,10,False,14.0,10.0,1.0,1.0,4.0,6.0,6.0,8.0,,4.0,,,74.0,22.0,6.6,7.0,0.182645,2,,,,mikel10oyar,,3.0,,,1.0,,1.0,,,2.0,,0.2949,2.0,1.0,,,,,1.0,,1.0,1.0,1.0,2.0,,,True,,,
