match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_penaltyConceded,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,captain,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_penaltyWon,stat_totalOffside,stat_errorLeadToAShot
11396441,home,1. FC Union Berlin,Kevin Behrens,kevin-behrens,K. Behrens,F,91,184,493,M,164171,EUR,665539200,F,17,17,False,21.0,12.0,,,2.0,5.0,10.0,17.0,,1.0,,,,,,90.0,37.0,7.1,11.0,0.6099,0.1957,0.0329887,4,,,,1.0,8.0,6.0,8.0,9.0,,3.0,,,2.0,1.0,1.0,1.0,2.0,,,,3.0,,,,,1.0,,1.0,,,,,,,,
11396441,home,1. FC Union Berlin,David Datro Fofana,david-datro-fofana,D. D. Fofana,F,15,181,7869,M,1090458,EUR,1040515200,F,11,11,True,10.0,7.0,,,1.0,1.0,7.0,12.0,,3.0,,,,,,45.0,33.0,7.6,11.0,0.2921,0.1746,0.0314495,3,,,,3.0,,,3.0,8.0,,,,,2.0,2.0,3.0,,,datro_9,,1.0,,1.0,2.0,7.0,6.0,2.0,,,,,,,,,,
11396441,home,1. FC Union Berlin,Benedict Hollerbach,benedict-hollerbach,B. Hollerbach,F,17,181,519,M,975800,EUR,990057600,F,16,16,True,8.0,5.0,,,1.0,3.0,4.0,7.0,,2.0,,,,,,21.0,18.0,6.8,8.0,0.0193,0.0,0.0153093,1,,,,2.0,1.0,,2.0,2.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
11396441,home,1. FC Union Berlin,Aissa Laïdouni,aissa-laidouni,A. Laïdouni,M,93,182,3217,M,828077,EUR,850435200,M,20,20,True,11.0,7.0,,,2.0,2.0,6.0,11.0,,2.0,,,,,,15.0,14.0,6.9,5.0,0.0,0.0,0.3678,0,,,,2.0,1.0,,1.0,,,,,,,,,,,laids_93,,,3.0,1.0,,,,,,,,,,,,,,
11396441,home,1. FC Union Berlin,Jérôme Roussillon,jerome-roussillon,J. Roussillon,D,21,175,187,M,146500,EUR,726278400,D,26,26,True,12.0,8.0,2.0,,3.0,5.0,5.0,7.0,1.0,1.0,,,,,,10.0,22.0,6.5,6.0,0.0,0.0,0.00797269,0,,,,,1.0,2.0,2.0,3.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
11396441,home,1. FC Union Berlin,Mikkel Kaufmann,mikkel-kaufmann,M. K. Sorensen,F,29,190,279,M,918437,EUR,978480000,F,9,9,True,3.0,2.0,,,,,2.0,3.0,,2.0,,,,,,10.0,6.0,6.6,2.0,0.0238,0.0,0.00580045,1,,,,,2.0,2.0,3.0,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
11396441,home,1. FC Union Berlin,Alexander Schwolow,alexander-schwolow,A. Schwolow,G,25,189,159,M,134778,EUR,707443200,G,37,37,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396441,home,1. FC Union Berlin,Paul Jaeckel,paul-jaeckel,P. Jaeckel,D,3,189,73,M,856668,EUR,901065600,D,3,3,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396441,home,1. FC Union Berlin,Christopher Trimmel,christopher-trimmel,C. Trimmel,M,28,189,354,M,48557,EUR,541123200,D,28,28,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396441,home,1. FC Union Berlin,Aljoscha Kemlein,aljoscha-kemlein,A. Kemlein,M,6,185,331,M,1198074,EUR,1091404800,M,36,36,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,Aljoscha Kemlein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,29.0,13.0,20.0,4.0,9.0,9.0,4.0,20.0,,12.0,3.0,,5.0,1.0,1.0,90.0,44.0,8.2,16.0,0.0,0.0,0.00073019,0,0.8245,,,,,,,,,,,,,,,,,,,,,,,,,,True,,3.0,,,,,,,
11396441,away,TSG Hoffenheim,Ozan Kabak,ozan-kabak,O. Kabak,D,5,185,2402,M,857740,EUR,953942400,D,5,5,False,42.0,30.0,6.0,4.0,25.0,31.0,5.0,11.0,9.0,5.0,,,,,,90.0,59.0,7.4,13.0,0.2468,0.0,0.278759,1,,,,,4.0,6.0,5.0,6.0,,1.0,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
11396441,away,TSG Hoffenheim,John Brooks,john-brooks,J. Brooks,D,25,193,355,M,132149,EUR,728179200,D,23,23,False,57.0,47.0,7.0,3.0,30.0,36.0,17.0,21.0,12.0,5.0,,,,,,90.0,77.0,7.2,11.0,0.0,0.0,0.00372847,0,,,,,2.0,4.0,5.0,4.0,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
