match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_totalContest,stat_wonContest,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_wasFouled,stat_fouls,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goals,captain,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock
13981475,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183.0,12749,M,yannsommer,16206,EUR,598320000,G,1,1,False,30.0,27.0,10.0,7.0,0.0,26.0,26.0,1.0,4.0,4.0,1.0,90.0,34.0,6.5,3.0,0.00020993,0.0018,0,-0.6214,0.08,0.03,-0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981475,home,Inter,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187.0,22699,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,73.0,64.0,5.0,2.0,0.0,33.0,34.0,31.0,39.0,3.0,,90.0,87.0,6.9,11.0,0.104574,,1,,0.32,0.11,-0.11,,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0349,1.0,-0.05,,,,,,,,,,,,,,,,,,,,,
13981475,home,Inter,Stefan de Vrij,stefan-de-vrij,S. de Vrij,D,6,188.0,5674,M,Stefandevrij,91046,EUR,697248000,D,6,6,False,75.0,74.0,3.0,3.0,0.0,36.0,36.0,38.0,39.0,2.0,,90.0,85.0,7.3,1.0,0.0352103,,1,,0.34,0.22,-0.09,,2.0,2.0,6.0,,1.0,4.0,,3.0,1.0,,,0.1011,1.0,-0.18,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
13981475,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190.0,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,61.0,58.0,6.0,5.0,0.0,22.0,22.0,36.0,39.0,6.0,,61.0,76.0,7.6,7.0,0.0499068,,1,,0.35,0.3,0.15,,1.0,2.0,3.0,,,2.0,1.0,,,,,0.0279,1.0,-0.18,,,1.0,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
13981475,home,Inter,Denzel Dumfries,denzel-dumfries,D. Dumfries,M,2,189.0,15021,M,ddumfries2,759520,EUR,829785600,M,2,2,False,20.0,15.0,1.0,,0.0,2.0,2.0,13.0,18.0,1.0,,53.0,32.0,6.5,6.0,0.141754,,1,,0.23,0.04,-0.01,,,3.0,,,,,,,,1.0,,0.0195,1.0,-0.15,,,3.0,,,2.0,2.0,1.0,,,,,,,,,,,,,
13981475,home,Inter,Davide Frattesi,davide-frattesi,D. Frattesi,M,16,178.0,5601,M,davidefrrattesi_22,835600,EUR,937958400,M,16,16,False,22.0,17.0,,,0.0,8.0,8.0,9.0,14.0,1.0,,90.0,38.0,6.1,7.0,0.0136322,,4,,-0.36,0.05,-0.03,,,4.0,4.0,,1.0,,,2.0,,1.0,,0.7716,1.0,-0.61,,,3.0,,,,,1.0,2.0,,1.0,2.0,2.0,0.4355,,,,,,,
13981475,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175.0,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,89.0,77.0,7.0,5.0,0.0,25.0,27.0,52.0,62.0,7.0,,90.0,109.0,8.9,20.0,0.621196,,2,,0.93,0.35,-0.13,,2.0,4.0,3.0,1.0,1.0,,1.0,,,4.0,,0.6906,6.0,0.46,,,,1.0,1.0,7.0,3.0,,,3.0,,,1.0,0.8064,2.0,1.0,,,,,
13981475,home,Inter,Henrikh Mkhitaryan,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178.0,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,52.0,40.0,5.0,1.0,0.0,9.0,13.0,31.0,39.0,4.0,,75.0,69.0,6.6,16.0,0.0578453,,4,,0.0,0.34,0.14,,2.0,4.0,4.0,,2.0,1.0,2.0,1.0,1.0,,,0.182,,-0.55,,,,2.0,1.0,2.0,1.0,,,1.0,2.0,1.0,2.0,0.3184,,,,,,,
13981475,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174.0,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,52.0,43.0,5.0,2.0,1.0,10.0,10.0,33.0,42.0,3.0,,90.0,92.0,9.3,22.0,0.492312,,5,,0.71,0.13,0.19,,,,3.0,,3.0,3.0,3.0,3.0,3.0,,,0.2246,6.0,0.52,,,,,,17.0,6.0,1.0,,,,1.0,1.0,0.1898,5.0,1.0,,,,,
13981475,home,Inter,Ange-Yoan Bonny,ange-yoan-bonny,A. Bonny,F,14,189.0,10665,M,,1086223,EUR,1067040000,F,14,14,False,19.0,15.0,,,3.0,2.0,3.0,13.0,16.0,2.0,,61.0,25.0,9.8,6.0,0.52546,,2,,0.65,0.01,-0.01,,1.0,1.0,2.0,,,,,,,2.0,3.0,0.4081,4.0,0.47,,,,,,,,1.0,1.0,1.0,,1.0,1.0,0.7097,2.0,1.0,,,,,
