match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_fouls,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalOffside,stat_keyPass,player_sofascoreId,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,captain,stat_bigChanceMissed,stat_punches
14573048,home,RC Strasbourg,Mike Penders,Mike Penders,,mike-penders,M. Penders,G,39,199.0,4409,M,1149148,EUR,1122768000,G,39,39,False,71.0,64.0,10.0,4.0,0.0,60.0,62.0,4.0,9.0,1.0,8.0,1.0,1.0,1.0,2.0,3.0,90.0,79.0,7.0,7.0,0.00521882,155.59123850025,23.0,71.82,8.505,0.3505,0,0.613,0.11,0.09,-0.14,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573048,home,RC Strasbourg,Lucas Høgsberg,,,lucas-hogsberg,L. Høgsberg,D,24,187.0,1149,M,1426597,EUR,1151020800,D,24,24,False,40.0,29.0,11.0,5.0,0.0,19.0,26.0,10.0,14.0,1.0,4.0,1.0,,,,,43.0,45.0,6.3,11.0,0.00704848,98.222678270013,17.0,14.28,10.92,,0,,0.11,0.05,-0.32,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573048,home,RC Strasbourg,Mamadou Sarr,Mamadou Sarr,,sarr-mamadou,M. Sarr,D,19,194.0,23689,M,1154657,EUR,1125273600,D,23,23,False,74.0,71.0,,,0.0,63.0,65.0,8.0,9.0,4.0,4.0,,1.0,,,,90.0,87.0,6.7,5.0,0.00197598,159.73077905863,25.0,2.835,16.8,,0,,0.08,0.05,-0.11,,3.0,3.0,6.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14573048,home,RC Strasbourg,Ismael Doukouré,Ismael Doukoure,,ismael-doukoure,I. Doukouré,D,6,183.0,1103,M,1049517,EUR,1059004800,D,6,6,False,48.0,42.0,5.0,2.0,0.0,35.0,38.0,7.0,10.0,2.0,3.0,1.0,,,,,90.0,59.0,6.9,7.0,0.0014325,113.78433896899,18.0,-2.205,10.92,,0,,-0.03,0.03,0.27,,,,2.0,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14573048,home,RC Strasbourg,Guéla Doué,,,guela-doue,G. Doué,D,22,187.0,10560,M,1002033,EUR,1034812800,M,22,22,False,35.0,28.0,3.0,1.0,0.0,19.0,23.0,8.0,12.0,2.0,5.0,,,,,,90.0,64.0,6.5,16.0,0.0227681,102.55401812595,14.0,-14.805,12.075,,0,,-0.02,-0.52,0.19,,1.0,5.0,6.0,,2.0,,,1.0,1.0,3.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14573048,home,RC Strasbourg,Valentín Barco,Valentín Barco,,valentin-barco,V. Barco,M,32,172.0,11698,M,1127057,EUR,1090540800,M,32,32,False,72.0,64.0,8.0,6.0,0.0,41.0,42.0,20.0,30.0,5.0,10.0,,2.0,,,,90.0,89.0,7.4,14.0,0.604949,236.6070478657,34.0,95.025,19.95,,0,,0.45,0.24,-0.02,,,3.0,1.0,,,1.0,,1.0,,1.0,,3.0,2.0,3.0,,1.0,,,colo.barco,,,,,,,,,,,,
14573048,home,RC Strasbourg,Samir El Mourabet,Samir El Mourabet,,el-mourabet-samir,S. E. Mourabet,M,29,186.0,2554,M,1605921,EUR,1128556800,M,29,29,False,65.0,60.0,1.0,1.0,0.0,36.0,38.0,24.0,27.0,3.0,5.0,,1.0,,,,90.0,79.0,7.8,8.0,0.560808,127.13533529801,23.0,-28.77,8.295,,2,,0.72,0.14,-0.02,,,5.0,,3.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,2.0,1.0,0.9101,1.3513,0.29,,,,,,
14573048,home,RC Strasbourg,Diego Moreira,Diego,Moreira,diego-moreira,D. Moreira,F,7,179.0,6030,M,1142233,EUR,1091750400,M,7,7,False,36.0,29.0,2.0,,1.0,16.0,20.0,12.0,16.0,3.0,5.0,1.0,,,,,90.0,56.0,7.9,14.0,1.07282,58.216815049099,9.0,5.985,10.92,,3,,1.0,0.08,-0.24,,2.0,9.0,2.0,,2.0,2.0,,,1.0,3.0,1.0,,,1.0,,3.0,,4.0,diegzyyy,2.0,1.0,,0.1546,0.0389,0.02,1.0,1.0,,,,
14573048,home,RC Strasbourg,Julio Enciso,,,julio-enciso,J. Enciso,M,19,173.0,12987,M,973556,EUR,1074816000,F,19,19,False,30.0,26.0,,,0.0,11.0,13.0,12.0,17.0,3.0,5.0,,3.0,,,,89.0,55.0,6.3,18.0,0.0504319,216.20320367111,19.0,83.685,39.48,,3,,-0.07,0.27,0.17,,,10.0,3.0,,,,,1.0,,4.0,,,,3.0,,6.0,,1.0,julioenciso.33,1.0,1.0,,0.1243,0.0366,-0.15,2.0,,1.0,,,
14573048,home,RC Strasbourg,Sebastian Nanasi,Sebastian Nanasi,,sebastian-nanasi,S. Nanasi,M,11,178.0,2784,M,962068,EUR,1021507200,F,11,11,False,31.0,28.0,3.0,2.0,0.0,13.0,13.0,14.0,18.0,,2.0,,,,,,74.0,38.0,6.7,6.0,0.028784,84.353089621706,12.0,28.245,15.015,,1,,0.16,0.09,-0.01,,,1.0,2.0,,,1.0,,,2.0,,,,,1.0,,,,,,,,,0.1209,,-0.1,1.0,,,,,
