match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,player_sofascoreId,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_penaltyWon,stat_totalOffside,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_penaltyFaced,stat_penaltyConceded
10407162,home,Royal Antwerp FC,Jean Butez,jean-butez,J. Butez,G,1,188,1319,M,599114,EUR,802569600,G,1,1,False,53.0,45.0,14.0,6.0,41.0,44.0,4.0,9.0,1.0,1.0,1.0,9.0,1.0,2.0,3.0,90.0,62.0,7.6,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407162,home,Royal Antwerp FC,Jelle Bataille,jelle-bataille,J. Bataille,D,25,175,223,M,889387,EUR,927158400,D,34,34,False,42.0,32.0,8.0,3.0,21.0,26.0,13.0,23.0,3.0,1.0,,2.0,,,,85.0,65.0,7.2,17.0,0,7.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
10407162,home,Royal Antwerp FC,Toby Alderweireld,toby-alderweireld,T. Alderweireld,D,,186,1451,M,44575,EUR,604800000,D,23,23,False,72.0,63.0,12.0,3.0,51.0,52.0,12.0,20.0,3.0,,,7.0,,,,90.0,83.0,7.4,9.0,1,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,
10407162,home,Royal Antwerp FC,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25491,M,979480,EUR,1003190400,D,51,51,False,85.0,76.0,7.0,3.0,64.0,68.0,12.0,17.0,7.0,,,5.0,,,,90.0,100.0,7.7,9.0,0,,,3.0,4.0,4.0,5.0,4.0,3.0,,,,,3.0,,1.0,pachowilliam,1.0,,,,,,,,,,,,,
10407162,home,Royal Antwerp FC,Sam Vines,sam-vines,S. Vines,D,3,178,116,M,894157,EUR,928108800,D,21,21,False,46.0,41.0,2.0,2.0,25.0,29.0,16.0,17.0,,,,6.0,,,,90.0,58.0,6.9,8.0,0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
10407162,home,Royal Antwerp FC,Pieter Gerkens,pieter-gerkens,P. Gerkens,M,18,180,176,M,190401,EUR,808272000,M,16,16,False,35.0,26.0,5.0,5.0,12.0,13.0,14.0,22.0,4.0,,,2.0,,,,90.0,40.0,6.9,11.0,0,,,1.0,2.0,1.0,,2.0,2.0,2.0,,,,2.0,,,,1.0,,,,,,,,,,,,,
10407162,home,Royal Antwerp FC,Alhassan Yusuf,alhassan-yusuf,A. Yusuf,M,80,175,922,M,943114,EUR,963878400,M,8,8,False,61.0,53.0,6.0,3.0,29.0,34.0,24.0,27.0,2.0,2.0,,11.0,,,,89.0,74.0,6.8,12.0,0,,,,6.0,,3.0,2.0,2.0,1.0,,,,,,1.0,,3.0,,,1.0,,,,,,,,,,
10407162,home,Royal Antwerp FC,Calvin Stengs,calvin-stengs,C. Stengs,M,23,187,1745,M,857480,EUR,913939200,M,14,14,False,27.0,24.0,2.0,2.0,8.0,8.0,16.0,20.0,1.0,2.0,1.0,4.0,,,,76.0,40.0,6.8,10.0,1,1.0,,,3.0,1.0,,,,3.0,,2.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,
10407162,home,Royal Antwerp FC,Jürgen Ekkelenkamp,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1146,M,904887,EUR,954892800,M,24,24,False,28.0,25.0,1.0,1.0,10.0,10.0,15.0,19.0,4.0,1.0,1.0,5.0,,,,76.0,39.0,8.1,6.0,1,1.0,,2.0,3.0,,1.0,1.0,1.0,2.0,2.0,3.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,
10407162,home,Royal Antwerp FC,Koji Miyoshi,koji-miyoshi,K. Miyoshi,M,23,167,663,M,358984,EUR,859334400,M,19,19,False,35.0,26.0,2.0,,8.0,10.0,18.0,27.0,6.0,1.0,1.0,5.0,,,,84.0,52.0,8.0,16.0,2,2.0,,,1.0,,1.0,3.0,3.0,4.0,2.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,
