match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_unsuccessfulTouch,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_totalContest,stat_wonContest,stat_totalOffside,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt
10411610,home,Inter,André Onana,,,andre-onana,A. Onana,G,24,190,53850,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,38.0,29.0,17.0,8.0,23.0,25.0,6.0,13.0,6.0,1.0,2.0,2.0,90.0,45.0,7.3,9.0,0.0,0.0,0.00210733,0,0.5704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411610,home,Inter,Milan Škriniar,,,milan-skriniar,M. Škriniar,D,37,187,9818,M,milanskriniar,187205,EUR,792460800,D,37,37,False,42.0,36.0,6.0,3.0,30.0,31.0,6.0,11.0,4.0,,,,90.0,53.0,7.3,7.0,0.0,0.0,0.0370924,0,,True,1.0,3.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
10411610,home,Inter,Francesco Acerbi,,,francesco-acerbi,F. Acerbi,D,15,192,5573,M,,126816,EUR,571449600,D,15,15,False,33.0,29.0,4.0,2.0,24.0,25.0,5.0,8.0,7.0,,,,90.0,42.0,7.2,5.0,0.0,0.0,0.00200843,0,,,3.0,1.0,5.0,,4.0,2.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,
10411610,home,Inter,Alessandro Bastoni,,,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,38.0,31.0,8.0,3.0,24.0,29.0,7.0,9.0,8.0,,,,90.0,55.0,7.3,11.0,0.0,0.0,0.00660986,0,,,2.0,2.0,3.0,1.0,4.0,3.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
10411610,home,Inter,Matteo Darmian,,,matteo-darmian,M. Darmian,M,36,182,3779,M,,19352,EUR,628560000,M,36,36,False,18.0,15.0,1.0,1.0,6.0,8.0,10.0,11.0,4.0,,,,76.0,41.0,6.8,5.0,0.3064,0.0,0.0280859,1,,,,4.0,4.0,1.0,1.0,1.0,4.0,,,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10411610,home,Inter,Nicolò Barella,,,nicolo-barella,N. Barella,M,23,175,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,32.0,27.0,3.0,2.0,9.0,11.0,18.0,22.0,8.0,,,,90.0,57.0,7.7,12.0,0.1006,0.0,0.0297146,1,,,1.0,4.0,11.0,1.0,,1.0,5.0,2.0,2.0,,1.0,2.0,1.0,1.0,,2.0,,1.0,3.0,3.0,1.0,1.0,,,,,
10411610,home,Inter,Hakan Çalhanoğlu,,,hakan-calhanoglu,H. Çalhanoğlu,M,20,178,32988,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,41.0,37.0,2.0,1.0,25.0,28.0,12.0,19.0,10.0,,,,90.0,53.0,6.7,10.0,0.0,0.0,0.00812239,0,,,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,6.0,,,,,,,,,,,,,
10411610,home,Inter,Henrikh Mkhitaryan,,,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,27.0,20.0,5.0,3.0,8.0,10.0,12.0,17.0,9.0,,,,83.0,36.0,6.8,7.0,0.0,0.0,0.0191201,0,,,,4.0,2.0,2.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,
10411610,home,Inter,Federico Dimarco,,,federico-dimarco,F. Dimarco,M,32,174,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,8.0,7.0,1.0,1.0,5.0,5.0,4.0,7.0,,,,,65.0,21.0,7.3,4.0,0.3311,0.0,0.359545,1,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,4.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,
10411610,home,Inter,Edin Džeko,,,edin-dzeko,E. Džeko,F,10,193,23224,M,EDzeko,14990,EUR,511401600,F,9,9,False,19.0,14.0,1.0,1.0,4.0,5.0,10.0,15.0,5.0,,,,76.0,29.0,7.5,9.0,0.5628,0.7444,0.328131,2,,,1.0,4.0,1.0,,,1.0,,,,2.0,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,
