match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalCross,stat_aerialWon,stat_wonTackle,stat_accurateCross,stat_totalContest,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_bigChanceMissed,stat_shotOffTarget,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_outfielderBlock,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_hitWoodwork,stat_penaltyConceded
10411443,home,Sassuolo,Andrea Consigli,andrea-consigli,A. Consigli,G,189,262,M,38618,EUR,538704000,G,47,47,False,True,35.0,30.0,8.0,3.0,29.0,32.0,1.0,3.0,5.0,90.0,39.0,6.3,5.0,0.0,0.0,0.00032741,0,-0.2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411443,home,Sassuolo,Jeremy Toljan,jeremy-toljan,J. Toljan,D,182,343,M,149606,EUR,776304000,D,22,22,False,,66.0,60.0,4.0,1.0,20.0,23.0,40.0,43.0,9.0,90.0,89.0,6.2,13.0,0.0,0.0,0.0420133,0,,22,1.0,7.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10411443,home,Sassuolo,Martin Erlić,martin-erlic,M. Erlić,D,192,1953,M,789234,EUR,885600000,D,28,28,False,,44.0,40.0,4.0,4.0,30.0,32.0,10.0,13.0,5.0,90.0,55.0,6.7,6.0,0.0,0.0,0.00298416,0,,6,,2.0,4.0,1.0,,6.0,,1.0,1.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10411443,home,Sassuolo,Ruan,ruan,Ruan,D,187,1238,M,914487,EUR,928713600,D,44,44,False,,27.0,24.0,3.0,2.0,19.0,19.0,5.0,8.0,1.0,45.0,31.0,6.6,3.0,0.0,0.0,0.00263938,0,,4,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411443,home,Sassuolo,Riccardo Marchizza,marchizza-riccardo,R. Marchizza,D,185,121,M,792311,EUR,890870400,D,3,3,False,,41.0,34.0,4.0,1.0,13.0,15.0,23.0,36.0,1.0,77.0,62.0,6.4,18.0,0.0,0.0,0.0243516,0,,5,,3.0,1.0,,1.0,,,,,,1.0,10.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10411443,home,Sassuolo,Davide Frattesi,davide-frattesi,D. Frattesi,M,178,5601,M,835600,EUR,937958400,M,16,16,False,,36.0,32.0,1.0,1.0,13.0,13.0,20.0,24.0,3.0,90.0,53.0,6.3,10.0,0.426,0.0,0.0183487,2,,16,,5.0,5.0,,4.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,davidefrrattesi_22,1.0,2.0,,,,,,,,,,,,,,
10411443,home,Sassuolo,Maxime López,maxime-lopez,M. López,M,167,1284,M,352802,EUR,881193600,M,27,27,False,,72.0,70.0,8.0,7.0,29.0,30.0,41.0,42.0,8.0,90.0,88.0,7.1,9.0,0.0908,0.023,0.136377,3,,21,,3.0,3.0,,1.0,,,2.0,3.0,,1.0,,,2.0,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
10411443,home,Sassuolo,Abdou Harroui,abdou-harroui,A. Harroui,M,181,1064,M,915812,EUR,884649600,M,8,8,False,,21.0,19.0,,,7.0,7.0,12.0,14.0,3.0,45.0,27.0,6.5,3.0,0.0,0.0,0.0166542,0,,21,,2.0,2.0,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,
10411443,home,Sassuolo,Nedim Bajrami,nedim-bajrami,N. Bajrami,M,179,1671,M,825861,EUR,920160000,F,20,20,False,,15.0,14.0,1.0,1.0,2.0,2.0,13.0,20.0,2.0,45.0,31.0,7.1,9.0,0.0,0.0,0.137149,0,,14,1.0,1.0,5.0,,,1.0,,4.0,2.0,,,7.0,,2.0,1.0,1.0,1.0,,,,,,1.0,,,2.0,,,,,,,,,,
10411443,home,Sassuolo,Grégoire Defrel,gregoire-defrel,G. Defrel,F,179,185,M,148566,EUR,677116800,F,92,92,False,,19.0,17.0,1.0,,3.0,3.0,14.0,16.0,1.0,58.0,26.0,6.3,5.0,0.2427,0.0,0.0220342,1,,92,,1.0,1.0,,,,,,2.0,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
