match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_challengeLost,stat_clearanceOffLine,stat_outfielderBlock,stat_keyPass,player_firstName,player_lastName,stat_totalCross,stat_unsuccessfulTouch,stat_totalOffside,stat_accurateCross,stat_shotOffTarget,player_sofascoreId,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_errorLeadToAShot,stat_bigChanceMissed
10389770,home,Nantes,Alban Lafont,alban-lafont,A. Lafont,G,40,195,2914,M,826201,EUR,917049600,G,1,1,False,True,22.0,16.0,9.0,3.0,15.0,17.0,1.0,5.0,2.0,10.0,1.0,6.0,7.0,90.0,42.0,7.8,6.0,0.0,0.0,0.00047108,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389770,home,Nantes,Fabien Centonze,fabien-centonze,F. Centonze,D,18,182,177,M,802034,EUR,821750400,D,28,28,False,,27.0,22.0,3.0,1.0,16.0,17.0,6.0,10.0,1.0,5.0,,,,77.0,41.0,6.3,7.0,0.0,0.0,0.00248457,0,,1.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10389770,home,Nantes,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186,273,M,794836,EUR,698284800,D,3,3,False,,69.0,53.0,12.0,5.0,33.0,35.0,20.0,34.0,4.0,6.0,,,,90.0,83.0,7.1,17.0,0.0,0.0,0.0136686,0,,,2.0,4.0,7.0,1.0,1.0,1.0,1.0,3.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10389770,home,Nantes,Jean-Charles Castelletto,jean-charles-castelletto,J.-C. Castelletto,D,21,186,1499,M,191204,EUR,791078400,D,21,21,False,,60.0,50.0,9.0,4.0,36.0,40.0,14.0,20.0,3.0,7.0,,,,90.0,77.0,7.2,10.0,0.0,0.0,0.0528812,0,,5.0,2.0,7.0,4.0,,,,4.0,1.0,1.0,1.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,
10389770,home,Nantes,Sébastien Corchia,sebastien-corchia,S. Corchia,D,14,176,100,M,47549,EUR,657417600,D,24,24,False,,21.0,18.0,3.0,3.0,8.0,9.0,10.0,14.0,,5.0,,,,75.0,46.0,6.3,10.0,0.0,0.0,0.0108582,0,,2.0,2.0,6.0,4.0,2.0,,,3.0,,,2.0,1.0,1.0,,1.0,,,,2.0,2.0,,,,,,,,,,,
10389770,home,Nantes,Moussa Sissoko,moussa-sissoko,M. Sissoko,M,17,187,1081,M,27014,EUR,619228800,M,17,17,False,,29.0,24.0,2.0,,12.0,14.0,12.0,15.0,1.0,8.0,,,,90.0,41.0,6.6,8.0,0.0,0.0,0.0111307,0,,1.0,1.0,4.0,7.0,2.0,5.0,4.0,,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,
10389770,home,Nantes,Samuel Moutoussamy,moutoussamy-samuel,S. Moutoussamy,M,92,178,6604,M,892624,EUR,839808000,M,8,8,False,,50.0,44.0,5.0,3.0,23.0,24.0,21.0,27.0,3.0,4.0,,,,90.0,63.0,6.3,10.0,0.0,0.0,0.015282,0,,3.0,,10.0,3.0,1.0,1.0,1.0,,2.0,2.0,,2.0,4.0,,,1.0,Samuel,Moutoussamy,1.0,1.0,,,,,,,,,,,
10389770,home,Nantes,Evann Guessand,evann-guessand,E. Guessand,F,29,185,5228,M,930245,EUR,993945600,M,7,7,False,,10.0,5.0,,,1.0,1.0,4.0,11.0,1.0,5.0,,,,59.0,29.0,6.5,12.0,0.0,0.0,0.0145453,0,,1.0,1.0,5.0,5.0,1.0,2.0,,1.0,2.0,2.0,2.0,1.0,,,,,,,2.0,2.0,,,,,,,,,,,
10389770,home,Nantes,Florent Mollet,florent-mollet,F. Mollet,M,91,174,195,M,234230,EUR,690508800,M,25,25,False,,22.0,15.0,,,8.0,11.0,8.0,19.0,,4.0,,,,59.0,37.0,6.4,16.0,0.1275,0.0,0.0166725,3,,1.0,1.0,4.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,8.0,1.0,,1.0,3.0,,,,,,,,
10389770,home,Nantes,Moses Simon,moses-simon,M. Simon,F,27,168,4098,M,330051,EUR,805507200,M,27,27,False,,28.0,19.0,,,10.0,13.0,9.0,17.0,,10.0,,,,90.0,44.0,5.9,20.0,0.0164,0.0,0.0337612,1,,3.0,1.0,11.0,2.0,3.0,5.0,1.0,1.0,,,,1.0,,,,1.0,,,2.0,2.0,,,1.0,,,,,,,,
