match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_bigChanceCreated,stat_outfielderBlock,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_clearanceOffLine,stat_interceptionWon,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_dispossessed,stat_blockedScoringAttempt,stat_totalCross,stat_goals,player_firstName,stat_accurateCross,stat_errorLeadToAGoal,stat_totalOffside,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,player_lastName
14083729,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,19.0,12.0,12.0,5.0,0.0,8.0,9.0,4.0,10.0,1.0,1.0,2.0,16.0,1.0,1.0,4.0,1.0,90.0,41.0,7.3,7.0,0.00132585,0.4613,0,-0.3621,0.06,-0.03,0.15,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083729,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,D,8,8,False,27.0,23.0,4.0,1.0,0.0,9.0,10.0,14.0,17.0,1.0,5.0,2.0,3.0,,,,,72.0,44.0,6.6,9.0,0.0163669,,1,,0.26,0.01,-0.14,,True,4.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0183,1.0,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,
14083729,home,Real Madrid,Éder Militão,eder-militao,É. Militão,D,3,186,138748,M,EMilitão,822519,EUR,885081600,D,3,3,False,25.0,23.0,3.0,2.0,1.0,17.0,17.0,6.0,8.0,2.0,7.0,4.0,2.0,,,,,90.0,40.0,8.2,3.0,0.493292,,2,,0.68,0.03,0.36,,,2.0,,1.0,,2.0,4.0,3.0,,,0.1175,1.0,-0.41,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14083729,home,Real Madrid,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195,160912,M,deanhuijsen,1176744,EUR,1113436800,D,24,24,False,28.0,24.0,7.0,4.0,0.0,18.0,19.0,6.0,9.0,,2.0,2.0,3.0,,,,,90.0,37.0,7.1,5.0,0.00789809,,1,,0.26,0.03,-0.07,,,1.0,,,,,2.0,1.0,1.0,1.0,0.3354,,-0.22,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.8545,,,,,,,,,,,,,,,
14083729,home,Real Madrid,Álvaro Carreras,alvaro-carreras,Á. Carreras,D,18,186,79899,M,,1085081,EUR,1048377600,D,18,18,False,27.0,23.0,1.0,,0.0,10.0,11.0,13.0,16.0,,2.0,3.0,6.0,,,,,90.0,45.0,6.4,7.0,0.0535793,,0,,0.21,0.16,-0.18,,,6.0,2.0,2.0,,,2.0,,,,,1.0,,1.0,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,
14083729,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,29.0,26.0,4.0,2.0,0.0,16.0,17.0,10.0,12.0,1.0,5.0,1.0,8.0,,,,,90.0,46.0,7.6,5.0,0.330806,,3,,0.44,0.06,0.35,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,0.153,3.0,-0.12,,1.0,2.0,2.0,,,,1.0,,,,2.0,,,,,,,,,,,,,
14083729,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1013050,M,JudeBell,991011,EUR,1056844800,M,5,5,False,26.0,19.0,2.0,1.0,1.0,7.0,10.0,12.0,16.0,1.0,7.0,,5.0,,,,,89.0,53.0,7.1,16.0,0.188401,,5,,-0.15,0.33,-0.16,,,11.0,1.0,2.0,1.0,,3.0,2.0,1.0,4.0,1.1921,1.0,0.29,1.0,1.0,,2.0,,3.0,,,,1.4245,5.0,2.0,1.0,1.0,,,,,,,,,,,
14083729,home,Real Madrid,Eduardo Camavinga,camavinga-eduardo,E. Camavinga,M,6,182,191301,M,Tacklevinga,973887,EUR,1036886400,M,6,6,False,26.0,22.0,3.0,2.0,0.0,9.0,9.0,13.0,17.0,,8.0,1.0,3.0,,,,,90.0,45.0,7.2,8.0,0.0293617,,0,,0.22,0.02,-0.04,,,4.0,2.0,3.0,3.0,,3.0,1.0,3.0,1.0,,2.0,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,
14083729,home,Real Madrid,Arda Güler,arda-guler,A. Güler,M,15,176,399381,M,AGüler,1091116,EUR,1109289600,M,15,15,False,22.0,18.0,3.0,2.0,0.0,5.0,6.0,13.0,16.0,,4.0,,2.0,,,,,66.0,39.0,6.7,10.0,0.223793,,1,,0.45,0.16,-0.44,,,3.0,2.0,1.0,1.0,,3.0,2.0,,,0.0183,2.0,-0.15,,,,,,,,1.0,,,1.0,1.0,7.0,,Arda Guler,3.0,1.0,,,,,,,,
14083729,home,Real Madrid,Vinícius Júnior,vinicius-junior,Vinícius Jr.,F,7,176,1170289,M,ViniJr,868812,EUR,963360000,M,7,7,False,15.0,8.0,2.0,1.0,0.0,,1.0,8.0,14.0,,7.0,,1.0,,,,,72.0,37.0,7.3,12.0,0.0397642,,3,,0.09,0.52,-0.1,,,4.0,1.0,6.0,5.0,1.0,1.0,,2.0,1.0,0.1817,1.0,0.15,,,,1.0,,1.0,,,,0.3301,1.0,1.0,2.0,,,1.0,,,,,,,,,
