match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_fouls,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,captain,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_shotOffTarget,stat_totalOffside,stat_goals,stat_bigChanceMissed,stat_accurateCross
11407482,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,33.0,22.0,20.0,9.0,18.0,22.0,4.0,11.0,2.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,45.0,7.2,11.0,0.00140388,0,0.0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407482,home,Monza,Pedro Pereira,,,pedro-pereira,P. Pereira,M,13,185,287,M,,807291,EUR,885427200,D,13,13,False,47.0,44.0,1.0,,23.0,25.0,21.0,24.0,3.0,1.0,,,,,,,90.0,67.0,7.7,9.0,0.156523,0,,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11407482,home,Monza,Danilo D'Ambrosio,,,danilo-dambrosio,D. D'Ambrosio,D,,180,548,M,,107936,EUR,589766400,D,33,33,False,57.0,51.0,6.0,2.0,46.0,51.0,5.0,6.0,2.0,4.0,,,,,,,90.0,69.0,6.9,7.0,0.00137191,0,,,,,4.0,,2.0,1.0,,2.0,,2.0,3.0,1.0,,,,,,,,,,,,,,,,
11407482,home,Monza,Andrea Carboni,,,andrea-carboni,A. Carboni,D,44,185,201,M,,970978,EUR,981244800,D,44,44,False,62.0,54.0,6.0,1.0,49.0,52.0,5.0,10.0,5.0,4.0,,,,,,,90.0,77.0,7.2,11.0,0.00303871,0,,,,2.0,4.0,,2.0,2.0,3.0,,,3.0,5.0,,2.0,2.0,,,,,,,,,,,,,,
11407482,home,Monza,Georgios Kyriakopoulos,,,georgios-kyriakopoulos,G. Kyriakopoulos,M,77,186,878,M,,377302,EUR,823478400,D,77,77,False,47.0,39.0,6.0,4.0,28.0,29.0,11.0,19.0,1.0,4.0,,,,,,,90.0,64.0,7.1,11.0,0.0132139,0,,,1.0,,4.0,,1.0,,,1.0,,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,
11407482,home,Monza,Roberto Gagliardini,,,roberto-gagliardini,R. Gagliardini,M,63,188,567,M,,287057,EUR,765676800,M,6,6,False,43.0,41.0,1.0,,34.0,34.0,7.0,9.0,2.0,11.0,,,,,,,72.0,50.0,6.9,3.0,0.00344451,0,,,,,1.0,,1.0,1.0,1.0,,,1.0,2.0,,,1.0,,,,2.0,,,,,,,,,,
11407482,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183,659,M,,350210,EUR,861580800,M,32,32,False,52.0,46.0,3.0,1.0,27.0,30.0,19.0,22.0,1.0,5.0,,,,,,,90.0,66.0,7.0,9.0,0.0177378,1,,,,,3.0,,2.0,,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,,,,1.0,True,1.0,0.0411,0.0623,,,,,,
11407482,home,Monza,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186,944,M,,928122,EUR,926380800,M,28,28,False,28.0,23.0,,,11.0,11.0,12.0,21.0,,5.0,,,,,,,87.0,43.0,6.7,14.0,0.0345986,1,,,4.0,1.0,4.0,,,,2.0,2.0,,,4.0,1.0,,1.0,,3.0,1.0,1.0,,,0.0644,,1.0,,,,,
11407482,home,Monza,Valentín Carboni,,,valentin-carboni,V. Carboni,M,21,185,7112,M,valencarboni,1153083,EUR,1109980800,M,21,21,False,16.0,10.0,2.0,1.0,3.0,4.0,7.0,12.0,,1.0,,,,,,,57.0,30.0,6.5,11.0,0.0122653,1,,,,,2.0,,,,1.0,1.0,1.0,1.0,6.0,1.0,,,2.0,3.0,1.0,,,,0.0496,,,1.0,,,,
11407482,home,Monza,Patrick Ciurria,,,patrick-ciurria,P. Ciurria,F,26,178,222,M,,346676,EUR,792288000,M,84,84,False,17.0,12.0,2.0,1.0,4.0,7.0,8.0,10.0,,1.0,,,,,,,72.0,22.0,6.5,8.0,0.00452902,0,,,,,2.0,,,,1.0,2.0,,,3.0,2.0,,1.0,,,,,,,,,,,,,,
