match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_fouls,stat_blockedScoringAttempt,captain,stat_dispossessed,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12499735,home,VfL Wolfsburg,Kamil Grabara,grabara-kamil,K. Grabara,G,1,195,3175,M,902080,EUR,915753600,G,1,1,False,30.0,26.0,5.0,1.0,0.0,24.0,25.0,2.0,5.0,4.0,90.0,32.0,5.9,5.0,0.00055844,0,-0.8983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499735,home,VfL Wolfsburg,Kilian Fischer,kilian-fischer,K. Fischer,D,2,179,189,M,995316,EUR,971308800,D,2,2,False,28.0,27.0,,,0.0,7.0,7.0,21.0,23.0,,45.0,45.0,6.7,3.0,0.162944,0,,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12499735,home,VfL Wolfsburg,Denis Vavro,denis-vavro,D. Vavro,D,3,187,674,M,293127,EUR,829094400,D,18,18,False,111.0,99.0,14.0,7.0,0.0,45.0,46.0,54.0,65.0,4.0,90.0,130.0,7.3,14.0,0.0389417,1,,,,,,3.0,4.0,4.0,,1.0,,2.0,2.0,1.0,,1.0,1.0,7.0,1.0,2.0,1.0,0.0361,0.2144,,,,,,,,,,,,,,,,
12499735,home,VfL Wolfsburg,Konstantinos Koulierakis,konstantinos-koulierakis,K. Koulierakis,D,4,188,3369,M,1184855,EUR,1069977600,D,4,4,False,107.0,104.0,4.0,3.0,0.0,56.0,58.0,49.0,50.0,6.0,88.0,120.0,7.3,5.0,0.121566,2,,,,1.0,1.0,,2.0,1.0,,,,1.0,1.0,2.0,1.0,,1.0,4.0,,1.0,,0.0687,0.161,1.0,2.0,,,,,,,,,,,,,,
12499735,home,VfL Wolfsburg,Joakim Mæhle,joakim-maehle,J. Mæhle,D,21,185,1469,M,842364,EUR,864086400,D,21,21,False,61.0,50.0,4.0,1.0,0.0,17.0,20.0,34.0,46.0,8.0,90.0,78.0,6.7,16.0,0.143947,0,,,,5.0,1.0,,4.0,1.0,,2.0,1.0,,,,2.0,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,
12499735,home,VfL Wolfsburg,Tiago Tomás,tiago-tomas,T. Tomás,F,8,180,1353,M,983540,EUR,1024185600,M,11,11,False,32.0,25.0,3.0,2.0,0.0,6.0,6.0,19.0,27.0,7.0,83.0,48.0,6.7,14.0,0.268307,1,,,,1.0,,3.0,6.0,3.0,,3.0,1.0,1.0,,3.0,,,,,1.0,,1.0,0.0792,,,2.0,1.0,,,,,,,,,,,,,
12499735,home,VfL Wolfsburg,Maximilian Arnold,maximilian-arnold,M. Arnold,M,27,184,898,M,147289,EUR,769996800,M,27,27,False,100.0,94.0,12.0,11.0,0.0,40.0,40.0,57.0,72.0,7.0,90.0,120.0,7.7,16.0,0.37124,0,,,,12.0,3.0,1.0,3.0,3.0,,,,,,,2.0,1.0,,1.0,1.0,,2.0,,,,1.0,,True,1.0,,,,,,,,,,,
12499735,home,VfL Wolfsburg,Yannick Gerhardt,yannick-gerhardt,Y. Gerhardt,M,31,184,166,M,169255,EUR,763516800,M,31,31,False,28.0,25.0,1.0,1.0,0.0,10.0,11.0,16.0,18.0,2.0,45.0,37.0,6.8,5.0,0.0320597,0,,,,1.0,1.0,,,2.0,,,,2.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
12499735,home,VfL Wolfsburg,Mattias Svanberg,svanberg-mattias,M. Svanberg,M,32,185,641,M,796987,EUR,915494400,M,32,32,False,22.0,17.0,,,0.0,3.0,3.0,15.0,21.0,3.0,71.0,36.0,6.5,9.0,0.0922558,3,,,,2.0,1.0,1.0,4.0,2.0,,4.0,1.0,,,,1.0,,,,,,1.0,0.1676,,2.0,,1.0,,,,,,,,,,,,,
12499735,home,VfL Wolfsburg,Jonas Wind,jonas-wind,J. Wind,F,23,190,2374,M,826069,EUR,918345600,F,23,23,False,28.0,25.0,1.0,1.0,1.0,7.0,8.0,18.0,20.0,3.0,90.0,40.0,8.7,7.0,1.10908,4,,,,,,3.0,5.0,7.0,,,,,,2.0,3.0,6.0,2.0,,,,2.0,0.3099,0.651,2.0,,,,2.0,1.0,1.0,,,,,,,,,
