match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalOffside,stat_shotOffTarget,stat_hitWoodwork,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_goodHighClaim
12624897,home,Al-Ahli,Edouard Mendy,,,edouard-mendy,E. Mendy,G,16,195,19839,M,edou_mendy,845074,EUR,699408000,G,16,16,False,24.0,17.0,12.0,5.0,0.0,13.0,15.0,4.0,9.0,7.0,2.0,3.0,90.0,29.0,6.5,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624897,home,Al-Ahli,Ali Majrashi,,,ali-majrashi,A. Majrashi,D,27,177,404,M,,917035,EUR,938736000,D,27,27,False,23.0,18.0,3.0,1.0,0.0,12.0,12.0,7.0,18.0,7.0,,,90.0,57.0,7.0,17.0,1,7.0,1.0,1.0,1.0,6.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,
12624897,home,Al-Ahli,Merih Demiral,,,merih-demiral,M. Demiral,D,28,190,4099,M,merihdemiral,806968,EUR,889056000,D,28,28,False,34.0,30.0,4.0,2.0,0.0,16.0,16.0,14.0,19.0,3.0,,,90.0,54.0,6.7,8.0,0,1.0,,,3.0,3.0,4.0,,,2.0,,,,7.0,2.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,
12624897,home,Al-Ahli,Roger Ibañez,,,roger-ibanez,R. Ibañez,D,3,185,2314,M,,888949,EUR,911779200,D,3,3,False,48.0,41.0,11.0,5.0,0.0,27.0,27.0,14.0,21.0,4.0,,,90.0,64.0,6.8,11.0,1,,,4.0,3.0,7.0,7.0,1.0,,,,1.0,,5.0,,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,1.0,,,,,,
12624897,home,Al-Ahli,Abdullah Al-Amar,,,abdullah-al-amar,A. Al-Amar,D,,177,110,M,,817911,EUR,762480000,D,15,15,False,22.0,13.0,2.0,,0.0,5.0,8.0,8.0,16.0,3.0,,,89.0,44.0,6.4,14.0,1,2.0,,3.0,,5.0,1.0,1.0,,1.0,,,1.0,2.0,,2.0,1.0,1.0,,,,,,,1.0,,,,,
12624897,home,Al-Ahli,Franck Kessié,,,franck-kessie,F. Kessié,M,79,183,43381,M,franckkessie,359226,EUR,850953600,M,79,79,False,55.0,48.0,6.0,2.0,0.0,18.0,19.0,30.0,36.0,10.0,,,90.0,67.0,6.6,10.0,3,,,,,3.0,4.0,,1.0,2.0,2.0,,1.0,,,1.0,,,2.0,2.0,3.0,,,1.0,,True,1.0,1.0,,
12624897,home,Al-Ahli,Ziyad Aljohani,Ziyad Aljohani,,ziyad-aljohani,Z. Aljohani,M,30,180,354,M,,1048372,EUR,1005436800,M,30,30,False,18.0,15.0,1.0,1.0,0.0,8.0,9.0,7.0,9.0,1.0,,,64.0,23.0,6.4,6.0,0,,,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,2.0,,,1.0,,1.0,,,,,,,,,
12624897,home,Al-Ahli,Riyad Mahrez,,,riyad-mahrez,R. Mahrez,M,7,179,70718,M,RMahrez,158213,EUR,667094400,M,7,7,False,35.0,30.0,4.0,2.0,0.0,11.0,13.0,21.0,28.0,4.0,,,90.0,50.0,6.6,13.0,1,6.0,2.0,1.0,,6.0,1.0,2.0,3.0,,,,,,,,,,,1.0,1.0,3.0,3.0,1.0,,,,,,
12624897,home,Al-Ahli,Gabri Veiga,,,gabri-veiga,G. Veiga,M,10,184,5191,M,,1010505,EUR,1022457600,M,24,24,False,21.0,18.0,2.0,1.0,1.0,3.0,3.0,16.0,20.0,1.0,,,90.0,37.0,7.4,8.0,2,2.0,1.0,1.0,,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,2.0,1.0,3.0,,,1.0,1.0,1.0,,,,,,
12624897,home,Al-Ahli,Wenderson Galeno,,,wenderson-galeno,W. Galeno,M,13,178,4322,M,w_galeno90,845754,EUR,877478400,M,13,13,False,20.0,15.0,2.0,1.0,0.0,2.0,2.0,14.0,21.0,5.0,,,89.0,35.0,6.6,9.0,2,3.0,1.0,1.0,,3.0,2.0,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,
