match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_outfielderBlock,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_totalOffside,player_sofascoreId,stat_bigChanceMissed,stat_punches,stat_errorLeadToAGoal
14109773,home,Gaziantep FK,Zafer Görgen,zafer-gorgen,Z. Görgen,G,20,188.0,71,M,930907,EUR,951091200,G,20,20,False,24.0,16.0,13.0,5.0,0.0,11.0,12.0,5.0,12.0,1.0,9.0,1.0,2.0,5.0,1.0,1.0,90.0,37.0,7.5,9.0,0.00340536,62.530701952938,4.0,52.815,42.105,42.139304989523,1.0,0.6038,0,0.4997,0.11,0.03,-0.02,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109773,home,Gaziantep FK,Nazım Sangaré,nazim-sangare,N. Sangaré,M,30,180.0,168,M,169425,EUR,770256000,D,30,30,False,32.0,26.0,9.0,5.0,0.0,21.0,21.0,5.0,11.0,3.0,6.0,,,,,,90.0,48.0,6.9,8.0,0.00413725,83.907130124379,9.0,60.27,22.05,22.193079011259,1.0,,1,,0.08,0.14,-0.11,,1.0,1.0,3.0,7.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0288,-0.21,,,,,,,,,,,,,,,,,,,
14109773,home,Gaziantep FK,Arda Kızıldağ,arda-kizildag,A. Kızıldağ,D,4,187.0,127,M,904228,EUR,908409600,D,4,4,False,17.0,16.0,2.0,2.0,0.0,12.0,12.0,4.0,5.0,2.0,,,,,,,45.0,23.0,6.7,1.0,0.00069184,6.5559660096783,2.0,1.26,2.1,,,,0,,0.04,0.0,0.18,,,,4.0,1.0,1.0,,,,2.0,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,
14109773,home,Gaziantep FK,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189.0,775,M,858004,EUR,892598400,D,5,5,False,29.0,22.0,7.0,1.0,0.0,16.0,21.0,6.0,8.0,4.0,4.0,,,,,,90.0,37.0,6.5,7.0,0.0042288,26.855231763368,4.0,-1.365,3.15,,,,0,,0.1,0.02,-0.04,,,2.0,3.0,3.0,1.0,,,,1.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
14109773,home,Gaziantep FK,Deian Sorescu,deian-sorescu,D. Sorescu,M,18,175.0,703,M,797602,EUR,872812800,M,18,18,False,26.0,17.0,7.0,2.0,0.0,12.0,14.0,5.0,12.0,4.0,3.0,3.0,,,,,90.0,53.0,7.6,18.0,0.122975,46.932997665885,7.0,11.655,13.335,,,,4,,0.35,0.13,-0.06,,5.0,2.0,7.0,3.0,1.0,,,3.0,,,,1.0,3.0,0.1209,0.5,,,1.0,,1.0,2.0,1.0,1.0,1.0,0.2523,1.0,,,,,,,,
14109773,home,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,44,177.0,793,M,180511,EUR,647395200,M,44,44,False,33.0,28.0,9.0,9.0,0.0,12.0,15.0,16.0,18.0,,3.0,1.0,,,,,70.0,54.0,7.5,19.0,0.287311,61.193502844471,10.0,14.49,12.285,13.250000792453,1.0,,1,,0.59,0.09,-0.06,,14.0,,2.0,3.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0175,-0.06,,,,,2.0,,,,,,3.0,True,1.0,,,,,,
14109773,home,Gaziantep FK,Ogün Özçiçek,ogun-ozcicek,O. Özçiçek,M,61,172.0,50,M,859783,EUR,917136000,M,61,61,False,30.0,26.0,4.0,3.0,0.0,16.0,17.0,10.0,13.0,1.0,6.0,3.0,,,,,90.0,45.0,6.7,9.0,0.00533463,82.823979039802,7.0,17.745,23.835,42.08098887859,1.0,,1,,0.16,0.16,0.19,,1.0,,5.0,4.0,1.0,,,,,2.0,2.0,2.0,2.0,0.0091,-0.01,,,2.0,,,1.0,,,,,1.0,,1.0,,,,,,
14109773,home,Gaziantep FK,Drissa Camara,drissa-camara,D. Camara,M,3,179.0,601,M,958167,EUR,1013990400,M,3,3,False,16.0,13.0,2.0,1.0,0.0,4.0,4.0,9.0,12.0,,5.0,2.0,,,,,76.0,30.0,6.8,8.0,0.0994732,163.58142126684,8.0,118.44,33.81,107.14298532522,4.0,,1,,0.2,0.14,0.14,,1.0,2.0,6.0,5.0,,3.0,,,1.0,1.0,1.0,3.0,2.0,0.0252,0.01,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,
14109773,home,Gaziantep FK,Yusuf Kabadayi,yusuf-kabadayi,Y. Kabadayi,M,32,186.0,411,M,1130113,EUR,1075680000,M,32,32,False,22.0,11.0,1.0,1.0,0.0,8.0,11.0,3.0,11.0,1.0,6.0,1.0,,,,,90.0,49.0,6.1,20.0,0.0102434,62.295441366401,9.0,27.615,9.345,22.26226349436,2.0,,2,,-0.1,0.08,-0.06,,,1.0,9.0,6.0,,4.0,1.0,1.0,,2.0,2.0,2.0,3.0,0.0318,-0.13,,,2.0,,,1.0,,1.0,,0.0189,,,,,,,,,
14109773,home,Gaziantep FK,Denis Drăguş,denis-dragus,D. Drăguş,F,70,184.0,2440,M,841199,EUR,931219200,F,70,70,False,18.0,14.0,,,1.0,4.0,5.0,10.0,13.0,,6.0,3.0,,,,,90.0,43.0,6.1,17.0,0.11691,114.38681338689,7.0,70.665,32.445,84.503799221709,3.0,,2,,0.42,0.03,-0.2,,1.0,,14.0,3.0,1.0,5.0,,2.0,3.0,2.0,2.0,1.0,2.0,0.1529,-0.54,,,3.0,,,3.0,,,,,1.0,,,1.0,1.0,,,,
14109773,home,Gaziantep FK,Mohamed Bayo,mohamed-bayo,M. Bayo,F,9,188.0,4449,M,909318,EUR,896918400,F,9,9,False,13.0,10.0,,,0.0,3.0,3.0,7.0,10.0,1.0,,2.0,,,,,90.0,23.0,6.3,8.0,0.0467555,29.473876780437,5.0,6.195,10.5,10.671233105879,1.0,,2,,0.05,0.06,0.16,,2.0,3.0,4.0,4.0,,,,1.0,,1.0,,,,0.1707,-0.48,,,3.0,,,1.0,,,,,2.0,,1.0,,,mohamedbayo27,1.0,,
14109773,home,Gaziantep FK,Luis Pérez,luis-perez,L. Pérez,D,2,173.0,259,M,843180,EUR,791856000,D,2,2,True,14.0,9.0,3.0,,0.0,6.0,8.0,3.0,6.0,2.0,1.0,,,,,,45.0,22.0,6.3,5.0,0.0019457,17.292810247774,3.0,12.075,5.985,,,,1,,0.02,0.01,-0.11,,,,2.0,2.0,,,,1.0,2.0,2.0,2.0,,,0.0125,-0.03,,,2.0,,,,,,,,,,,,,,,,
14109773,home,Gaziantep FK,Melih Kabasakal,kabasakal-melih,M. Kabasakal,M,6,178.0,97,M,828872,EUR,824601600,M,6,6,True,5.0,5.0,,,0.0,4.0,4.0,1.0,1.0,1.0,,,,,,,20.0,9.0,6.3,,0.00045259,,,,,,,,0,,0.01,0.01,-0.09,,,,2.0,1.0,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
