match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_lastManTackle,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_shotValueNormalized,stat_unsuccessfulTouch,stat_keyPass,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_hitWoodwork,stat_outfielderBlock,stat_punches,stat_errorLeadToAShot,stat_errorLeadToAGoal,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated
14566910,home,Athletic Club,Unai Simón,unai-simon,U. Simón,G,1,189,6831,M,unai_simon,797291,EUR,865987200,G,1,1,False,32.0,13.0,24.0,5.0,0.0,8.0,9.0,5.0,23.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,90.0,40.0,6.5,19.0,0.0028366,22.248,5.0977,0.0,17.471068983059,3.0,-0.84000000000001,2.415,0.5109,0,-0.1534,0.07,0.0,-0.33,0.43,3.7,1.28,0.1,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566910,home,Athletic Club,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174,536,M,,866810,EUR,839116800,D,2,2,False,14.0,11.0,2.0,1.0,0.0,8.0,8.0,3.0,6.0,1.0,5.0,1.0,2.0,,,,,,90.0,35.0,5.7,10.0,0.00142786,30.996,10.25109,14.0,48.648990080094,9.0,12.81,8.085,,0,,-0.02,-0.27,-0.58,,3.2,4.75,1.35,0.65,0.29,5.0,1.0,7.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14566910,home,Athletic Club,Aitor Paredes,aitor-paredes,A. Paredes,D,4,186,1138,M,,959872,EUR,956966400,D,4,4,False,31.0,24.0,6.0,2.0,0.0,12.0,12.0,12.0,19.0,1.0,4.0,4.0,7.0,,,,,,90.0,42.0,6.2,9.0,0.0234367,30.312,10.13227,9.0,184.73034021781,16.0,139.545,21.525,,0,,0.28,0.26,-0.15,,3.06,5.03,1.3,0.56,0.18,1.0,,7.0,1.0,,,2.0,2.0,1.0,5.0,,,1.0,1.0,64.625255004638,3.0,,,,,,,,,,,,,,,,,,,,
14566910,home,Athletic Club,Yuri Berchiche,yuri-berchiche,Y. Berchiche,D,17,181,1143,M,,84531,EUR,634608000,D,17,17,False,40.0,36.0,7.0,4.0,0.0,22.0,23.0,14.0,17.0,2.0,4.0,4.0,1.0,,,,,,90.0,55.0,6.3,4.0,0.00921457,31.608,9.96402,9.0,43.71233128519,9.0,7.98,6.405,,1,,0.26,0.02,-0.53,,3.13,4.94,1.19,0.48,0.22,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,True,1.0,4.0,0.1144,-0.22,,,,,,,,,,,,,,,
14566910,home,Athletic Club,Adama Boiro,adama-boiro,A. Boiro,D,19,182,1927,M,,1398511,EUR,1024704000,D,19,19,False,23.0,17.0,1.0,,0.0,6.0,8.0,11.0,15.0,1.0,4.0,2.0,1.0,,,,,,90.0,41.0,6.2,9.0,0.00934377,30.024,10.58433,7.0,107.42722474413,14.0,9.135,10.185,,0,,0.06,0.04,-0.45,,3.1,5.12,1.55,0.66,0.15,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Adama Boiro,,,,,,,,,,,,,,,,,,,,,,,,,
14566910,home,Athletic Club,Iñigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,I. R. d. Galarreta,M,16,174,984,M,,96365,EUR,744595200,M,16,16,False,29.0,21.0,6.0,2.0,0.0,6.0,8.0,15.0,21.0,,3.0,,7.0,,,,,,66.0,36.0,6.9,10.0,0.0377258,26.928,8.27929,2.0,38.132163643193,5.0,32.34,10.185,,1,,0.31,0.18,-0.08,,1.92,4.47,1.42,0.44,0.03,1.0,,2.0,,1.0,1.0,,,2.0,1.0,,,1.0,,,,,1.0,,0.0149,-0.07,,,,,,,,,,,,,,,
14566910,home,Athletic Club,Alejandro Rego,rego-mora-alejandro,A. R. Mora,M,30,192,538,M,,2110897,EUR,1055289600,M,30,30,False,36.0,29.0,1.0,,0.0,14.0,17.0,15.0,19.0,,3.0,,9.0,,,,,,90.0,44.0,6.9,8.0,0.0518376,29.916,10.90366,8.0,29.670486187129,4.0,13.335,15.225,,0,,0.33,0.04,0.3,,2.92,5.73,1.55,0.52,0.18,,,5.0,1.0,,,3.0,2.0,,4.0,,,,,,,,,3.0,,,1.0,2.0,,,,,,,,,,,,,
14566910,home,Athletic Club,Unai Gómez,unai-gomez,U. Gómez,M,20,183,810,M,,1391375,EUR,1053820800,M,20,20,False,12.0,10.0,,,0.0,3.0,3.0,7.0,9.0,,4.0,,2.0,,,,,,66.0,28.0,5.9,12.0,0.00348821,29.34,7.94053,9.0,25.750054207174,6.0,-12.075,5.25,,0,,-0.16,-0.59,-0.12,,2.08,4.05,1.16,0.49,0.17,4.0,,7.0,,6.0,2.0,2.0,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
14566910,home,Athletic Club,Oihan Sancet,oihan-sancet,O. Sancet,M,8,188,3417,M,,966801,EUR,956620800,M,8,8,False,20.0,14.0,1.0,,0.0,4.0,5.0,10.0,15.0,,2.0,,4.0,,,,,,50.0,32.0,7.0,11.0,0.0232181,29.088,5.58896,4.0,63.963528186857,6.0,29.925,25.305,,3,,-0.17,0.06,-0.07,,1.58,2.93,0.7,0.32,0.07,1.0,2.0,5.0,,2.0,1.0,1.0,1.0,,1.0,,,1.0,,26.48575890927,1.0,,1.0,,0.19,0.51,2.0,,1.0,1.0,1.0,0.7623,,,,,,,,,
14566910,home,Athletic Club,Robert Navarro,robert-navarro,R. Navarro,M,23,178,963,M,,944165,EUR,1018569600,M,23,23,False,22.0,15.0,,,0.0,4.0,5.0,11.0,17.0,1.0,1.0,,6.0,,,,,,81.0,39.0,5.9,18.0,0.0950704,32.724,9.07627,7.0,134.05209050809,12.0,55.545,22.89,,0,,0.04,0.07,-0.16,,2.72,4.31,1.37,0.48,0.2,3.0,1.0,8.0,1.0,3.0,,,,,1.0,,,2.0,,33.048152688905,2.0,,,3.0,,,4.0,1.0,,,,,1.0,,,,,,,,
