match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_dispossessed,stat_wonContest,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_clearanceOffLine,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_goalAssist,stat_hitWoodwork
11392863,home,Stade de Reims,Yehvann Diouf,,,yehvann-diouf,Y. Diouf,G,80,188,2968,M,845183,EUR,942710400,G,94,94,False,27.0,23.0,8.0,4.0,23.0,24.0,3.0,1.0,9.0,1.0,2.0,3.0,90.0,37.0,6.6,4.0,8.754e-05,0,-0.3817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392863,home,Stade de Reims,Thomas Foket,,,thomas-foket,T. Foket,D,25,177,267,M,245615,EUR,780451200,D,32,32,False,31.0,23.0,3.0,2.0,9.0,10.0,27.0,1.0,4.0,,,,77.0,60.0,6.4,16.0,0.215105,0,,15.0,6.0,1.0,2.0,9.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11392863,home,Stade de Reims,Emmanuel Agbadou,,,emmanuel-agbadou,E. Agbadou,D,12,192,3192,M,1013842,EUR,866505600,D,24,24,False,59.0,51.0,9.0,7.0,31.0,32.0,27.0,2.0,9.0,,,,90.0,71.0,7.5,9.0,0.0171938,0,,20.0,,,2.0,2.0,7.0,,,,2.0,3.0,,,,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
11392863,home,Stade de Reims,Yunis Abdelhamid,,,yunis-abdelhamid,Y. Abdelhamid,D,5,190,1888,M,178721,EUR,559785600,D,5,5,False,49.0,40.0,5.0,2.0,24.0,29.0,20.0,8.0,8.0,,,,90.0,69.0,7.0,11.0,0.0120676,0,,16.0,,,4.0,8.0,6.0,2.0,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,True,1.0,2.0,,,,,,,,,,,,
11392863,home,Stade de Reims,Thibault De Smet,,,thibault-de-smet,T. D. Smet,D,28,182,215,M,844744,EUR,897004800,D,25,25,False,34.0,26.0,4.0,1.0,14.0,17.0,21.0,5.0,7.0,,,,90.0,61.0,6.7,15.0,0.00705043,0,,12.0,4.0,,2.0,6.0,4.0,,1.0,,,2.0,,2.0,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,
11392863,home,Stade de Reims,Azor Matusiwa,,,azor-matusiwa,A. Matusiwa,M,5,173,458,M,856495,EUR,893721600,M,21,21,False,23.0,19.0,,,7.0,10.0,13.0,4.0,4.0,,,,60.0,38.0,7.1,5.0,0.0521388,0,,12.0,,,1.0,2.0,5.0,,,,1.0,,,1.0,3.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,
11392863,home,Stade de Reims,Amir Richardson,Amir Richardson,,amir-richardson,A. Richardson,M,25,195,11630,M,1121333,EUR,1011830400,M,8,8,False,24.0,20.0,1.0,,9.0,11.0,13.0,3.0,10.0,,,,60.0,43.0,7.9,9.0,0.00584276,2,,11.0,,,,5.0,4.0,1.0,3.0,,2.0,3.0,2.0,,,2.0,,,1.0,,1.0,,ami2r,2.0,1.0,1.0,0.3891,0.3922,,,,,,
11392863,home,Stade de Reims,Teddy Teuma,,,teddy-teuma,T. Teuma,M,80,176,885,M,829643,EUR,749347200,M,10,10,False,37.0,30.0,1.0,1.0,9.0,13.0,33.0,,2.0,,,,90.0,58.0,6.9,18.0,0.0579729,2,,22.0,9.0,1.0,1.0,4.0,3.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,0.2113,0.4129,1.0,,,,,
11392863,home,Stade de Reims,Junya Ito,,,junya-ito,J. Ito,M,10,176,4867,M,783278,EUR,731635200,F,7,7,False,30.0,16.0,3.0,,4.0,5.0,30.0,1.0,7.0,,,,90.0,57.0,6.4,28.0,0.0251182,3,,12.0,5.0,,,5.0,2.0,,3.0,,,2.0,,,,,2.0,1.0,4.0,,2.0,,ItouJky,1.0,,,0.2655,0.1836,2.0,1.0,,,,
11392863,home,Stade de Reims,Oumar Diakité,,,oumar-diakite,O. Diakité,F,10,181,8439,M,1188191,EUR,1071878400,F,22,22,False,11.0,7.0,,,3.0,5.0,6.0,,2.0,,,,60.0,27.0,6.9,9.0,0.00448178,1,,4.0,,,,4.0,5.0,1.0,5.0,,,,,1.0,1.0,,1.0,1.0,3.0,,1.0,4.0,cheick_diakite,,,,0.0497,,,,1.0,3.0,,
