match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_dispossessed,stat_blockedScoringAttempt,stat_lastManTackle,player_sofascoreId,stat_keyPass,stat_totalCross,stat_totalContest,stat_wonContest,stat_errorLeadToAShot,stat_fouls,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,player_firstName,player_lastName,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_punches,stat_clearanceOffLine,stat_totalOffside,stat_hitWoodwork
11541296,home,Bologna,Federico Ravaglia,federico-ravaglia,F. Ravaglia,G,13,196,578,M,850952,EUR,942278400,G,34,34,False,26.0,24.0,5.0,3.0,24.0,25.0,1.0,1.0,6.0,1.0,2.0,4.0,90.0,36.0,7.9,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11541296,home,Bologna,Stefan Posch,stefan-posch,S. Posch,D,4,188,1362,M,355486,EUR,863568000,D,3,3,False,59.0,52.0,3.0,2.0,32.0,35.0,24.0,3.0,6.0,,,,77.0,82.0,7.6,9.0,0,20.0,1.0,1.0,9.0,1.0,1.0,1.0,5.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
11541296,home,Bologna,Kevin Bonifazi,kevin-bonifazi,K. Bonifazi,D,33,187,230,M,365992,EUR,832464000,D,14,14,False,93.0,86.0,12.0,6.0,65.0,67.0,26.0,2.0,6.0,,,,90.0,104.0,7.3,9.0,1,21.0,,4.0,3.0,,,1.0,3.0,3.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11541296,home,Bologna,Riccardo Calafiori,riccardo-calafiori,R. Calafiori,D,33,188,24446,M,957602,EUR,1021766400,D,33,33,False,58.0,50.0,1.0,,36.0,41.0,17.0,4.0,6.0,,,,76.0,74.0,7.1,11.0,0,14.0,,3.0,6.0,,,,3.0,3.0,2.0,3.0,2.0,1.0,,,richycala,1.0,,,,,,,,,,,,,,,,,,
11541296,home,Bologna,Victor Kristiansen,kristiansen-victor,V. Kristiansen,D,16,181,1294,M,1092409,EUR,1039996800,D,15,15,False,53.0,43.0,4.0,2.0,26.0,30.0,25.0,2.0,3.0,,,,90.0,83.0,7.4,22.0,0,17.0,2.0,4.0,8.0,1.0,1.0,,4.0,3.0,3.0,1.0,,2.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11541296,home,Bologna,Michel Aebischer,michel-aebischer,M. Aebischer,M,20,182,1215,M,850891,EUR,852508800,M,20,20,False,61.0,57.0,4.0,3.0,29.0,32.0,29.0,,3.0,,,,64.0,71.0,7.0,6.0,0,28.0,,2.0,5.0,,,1.0,3.0,1.0,1.0,2.0,,,,,,1.0,,1.0,,,1.0,True,,,,,,,,,,,,
11541296,home,Bologna,Nikola Moro,nikola-moro,N. Moro,M,6,182,2512,M,814882,EUR,889660800,M,6,6,False,88.0,82.0,7.0,6.0,48.0,48.0,42.0,1.0,6.0,,,,90.0,108.0,8.5,11.0,2,34.0,2.0,2.0,9.0,,,1.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,
11541296,home,Bologna,Dan Ndoye,dan-ndoye,D. Ndoye,M,14,184,4722,M,944327,EUR,972432000,M,11,11,False,34.0,28.0,2.0,1.0,13.0,14.0,24.0,,5.0,,,,90.0,56.0,7.8,12.0,2,17.0,,2.0,6.0,,,,,,3.0,1.0,1.0,,,,,2.0,4.0,6.0,5.0,,,,1.0,1.0,,,,2.0,1.0,,,,,
11541296,home,Bologna,Giovanni Fabbian,giovanni-fabbian,G. Fabbian,M,80,186,1393,M,1067204,EUR,1042502400,M,80,80,False,32.0,28.0,1.0,1.0,17.0,17.0,15.0,,8.0,,,,90.0,49.0,7.1,9.0,1,11.0,,4.0,6.0,,,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,
11541296,home,Bologna,Jesper Karlsson,jesper-karlsson,J. Karlsson,F,11,179,1273,M,834597,EUR,901324800,M,10,10,False,26.0,19.0,2.0,,7.0,9.0,20.0,,2.0,,,,64.0,39.0,6.5,15.0,0,12.0,,3.0,1.0,,,1.0,,,2.0,,,2.0,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,
