match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_totalContest,stat_outfielderBlock,stat_fouls,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_wonContest,stat_interceptionWon,stat_lastManTackle,stat_wasFouled,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_bigChanceMissed,stat_errorLeadToAShot
11352336,home,West Ham United,Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3777,M,lukasz.fabianski,15479,EUR,482630400,G,1,1,False,20.0,12.0,17.0,9.0,7.0,7.0,5.0,13.0,1.0,6.0,1.0,3.0,3.0,1.0,90.0,27.0,7.2,8.0,0.00159464,0,0.0986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352336,home,West Ham United,Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1722,M,,138024,EUR,714441600,D,5,5,False,30.0,19.0,6.0,2.0,8.0,13.0,11.0,18.0,2.0,5.0,,,,,90.0,55.0,6.6,20.0,0.00553295,0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11352336,home,West Ham United,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2680,M,,829022,EUR,881798400,D,15,15,False,30.0,27.0,7.0,5.0,17.0,18.0,10.0,12.0,2.0,5.0,,,,,90.0,40.0,7.1,5.0,0.00526567,0,,,,,5.0,,2.0,1.0,4.0,3.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11352336,home,West Ham United,Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2248,M,,139227,EUR,783216000,D,4,4,False,28.0,24.0,5.0,2.0,17.0,17.0,7.0,11.0,8.0,2.0,,,,,90.0,37.0,7.2,4.0,0.00242258,1,,,,,4.0,,,,3.0,1.0,1.0,,,,True,1.0,1.0,1.0,0.2669,0.3692,,,,,,,,,,,,,,
11352336,home,West Ham United,Emerson Palmieri,emerson-palmieri,Emerson,D,33,176,2398,M,,155997,EUR,775872000,D,33,33,False,36.0,32.0,3.0,2.0,14.0,16.0,18.0,21.0,2.0,4.0,,,,,90.0,59.0,7.0,5.0,0.0130774,0,,,,1.0,2.0,1.0,,,,,5.0,3.0,,,,2.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,
11352336,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,jarrodbowen,552884,EUR,851040000,M,20,20,False,17.0,15.0,1.0,1.0,6.0,6.0,13.0,21.0,,5.0,,,,,90.0,44.0,7.4,16.0,0.62416,2,,,,10.0,7.0,5.0,,2.0,,,3.0,,,3.0,,,,,0.1503,,1.0,1.0,,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,,
11352336,home,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180,63569,M,Paqueta,839981,EUR,872640000,M,10,10,False,41.0,29.0,4.0,3.0,15.0,18.0,14.0,24.0,1.0,8.0,,,,,90.0,61.0,7.3,15.0,0.142479,2,,,,1.0,6.0,2.0,,3.0,,1.0,10.0,6.0,2.0,,,1.0,,,0.062,,2.0,1.0,,1.0,,,2.0,,2.0,,,,,
11352336,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,,799041,EUR,793843200,M,28,28,False,32.0,26.0,2.0,1.0,15.0,18.0,11.0,14.0,2.0,6.0,,,,,90.0,49.0,7.3,7.0,0.0338745,1,,,,,3.0,1.0,1.0,,3.0,1.0,3.0,1.0,1.0,1.0,,,,,0.1819,,1.0,1.0,,,,,,,1.0,,1.0,,,
11352336,home,West Ham United,James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,prowsey16,161717,EUR,783648000,M,7,7,False,26.0,21.0,3.0,2.0,2.0,3.0,20.0,26.0,1.0,3.0,,,,,90.0,36.0,7.3,8.0,0.0287687,1,,,,3.0,2.0,,,2.0,,,2.0,1.0,1.0,2.0,,,1.0,,0.0324,0.1593,,,,1.0,,1.0,,1.0,,,,,,
11352336,home,West Ham United,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89524,M,Kudus,905163,EUR,965174400,M,14,14,False,32.0,27.0,2.0,2.0,9.0,11.0,19.0,28.0,,8.0,,,,,90.0,68.0,6.9,21.0,0.0167002,2,,,,7.0,12.0,11.0,,2.0,1.0,,11.0,2.0,2.0,,,2.0,,,0.0791,,6.0,2.0,,3.0,,1.0,2.0,,,2.0,3.0,2.0,,
