match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_challengeLost,stat_outfielderBlock,stat_fouls,stat_totalOffside,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_errorLeadToAShot,stat_accurateCross,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_punches
14131922,home,Moreirense,Caio,caio,Caio,G,22,192,67,M,345843,EUR,661824000,G,22,22,False,25.0,11.0,17.0,3.0,0.0,10.0,14.0,1.0,11.0,1.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,34.0,6.5,16.0,0.00030097,0.3082,0,0.3446,-0.07,-0.02,-0.08,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131922,home,Moreirense,Dinis Pinto,dinis-pinto,D. Pinto,D,76,178,150,M,1160980,EUR,967075200,D,76,76,False,32.0,29.0,2.0,2.0,0.0,17.0,19.0,12.0,13.0,1.0,6.0,3.0,1.0,,,,,,90.0,61.0,6.6,7.0,0.012243,,2,,0.07,0.07,-0.03,,Dinis Pinto,,1.0,4.0,7.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,0.1056,0.0546,-0.12,,,,,,,,,,,,,,,
14131922,home,Moreirense,Marcelo,marcelo,Marcelo,D,44,182,57,M,156318,EUR,617500800,D,44,44,False,40.0,33.0,4.0,1.0,0.0,26.0,28.0,7.0,12.0,4.0,5.0,1.0,,,,,,,90.0,54.0,7.0,7.0,0.00194746,,0,,0.02,0.0,0.36,,,,,,3.0,,,,,,8.0,1.0,1.0,,,,,True,2.0,3.0,1.0,,,,,,,,,,,
14131922,home,Moreirense,Maracás,maracas,Maracás,D,26,184,121,M,931485,EUR,767404800,D,26,26,False,54.0,49.0,2.0,2.0,0.0,46.0,49.0,3.0,5.0,6.0,6.0,4.0,,,,,,,90.0,71.0,6.7,5.0,0.00176578,,0,,0.07,0.01,-0.03,,,,,5.0,6.0,,,,,,15.0,1.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,
14131922,home,Moreirense,Diogo Travassos,diogo-travassos,D. Travassos,D,2,175,511,M,1142578,EUR,1080691200,M,2,2,False,15.0,11.0,,,0.0,6.0,6.0,5.0,9.0,,2.0,2.0,2.0,,,,,,62.0,28.0,6.1,9.0,0.014485,,0,,0.29,0.12,-0.38,,,,,,5.0,,3.0,,,,1.0,1.0,,,,,,,,,2.0,,1.0,2.0,1.0,,,,,,,
14131922,home,Moreirense,Mateja Stjepanović,mateja-stjepanovic,M. Stjepanović,M,8,185,313,M,1166006,EUR,1077235200,M,8,8,False,64.0,54.0,4.0,1.0,0.0,41.0,44.0,13.0,20.0,,2.0,5.0,1.0,,,,,,90.0,71.0,6.7,12.0,0.00512823,,0,,-0.01,0.04,-0.06,,Mateja Stjepanovic,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,2.0,,,,,,,,
14131922,home,Moreirense,Vasco Sousa,vasco-sousa,V. Sousa,M,15,169,899,M,1006995,EUR,1049328000,M,15,15,False,26.0,19.0,1.0,,0.0,8.0,11.0,11.0,15.0,,3.0,3.0,2.0,,,,,,62.0,36.0,6.0,9.0,0.0060121,,3,,-0.1,0.1,-0.21,,,,,1.0,3.0,,1.0,,,,,,1.0,1.0,0.3529,,-0.62,,,,1.0,,,1.0,,3.0,1.0,,,,,
14131922,home,Moreirense,Kiko,kiko,Kiko,D,27,180,151,M,1395583,EUR,1018915200,M,27,27,False,42.0,35.0,5.0,2.0,0.0,23.0,27.0,12.0,15.0,,4.0,2.0,3.0,,,,,,85.0,66.0,6.6,10.0,0.0476989,,1,,0.2,0.01,0.23,,,,2.0,4.0,9.0,1.0,1.0,,,1.0,,,1.0,1.0,0.0163,,-0.06,,,1.0,3.0,,,,2.0,,,1.0,,,,
14131922,home,Moreirense,Alan,alan,Alan,M,11,163,525,M,905455,EUR,952473600,F,11,11,False,37.0,32.0,1.0,1.0,0.0,16.0,16.0,16.0,21.0,,3.0,3.0,,,,,,,77.0,56.0,6.6,16.0,0.00933003,,0,,-0.19,0.12,0.16,,,,5.0,,2.0,,2.0,1.0,,,1.0,,2.0,2.0,,,,,,,1.0,1.0,,3.0,1.0,,,,,,,
14131922,home,Moreirense,Guilherme Schettine,guilherme-schettine,G. Schettine,F,95,178,325,M,856119,EUR,813283200,F,95,95,False,24.0,17.0,,,0.0,7.0,8.0,10.0,16.0,7.0,11.0,2.0,4.0,,,,,,90.0,48.0,7.9,15.0,0.019225,,4,,0.05,0.26,-0.08,,,,1.0,2.0,10.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,0.407,0.8923,0.5,,2.0,,2.0,1.0,,3.0,,2.0,,,1.0,,,
