match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,captain,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_fouls,stat_totalCross,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_wonContest,stat_outfielderBlock,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_totalOffside,stat_lastManTackle,stat_errorLeadToAGoal
12436484,home,Liverpool,Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,9953,M,caoimhinkelleher98,827362,EUR,911779200,G,62,62,False,26.0,21.0,6.0,1.0,0.0,20.0,20.0,1.0,6.0,4.0,1.0,2.0,2.0,2.0,90.0,33.0,7.3,5.0,0.00042735,0,0.6061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436484,home,Liverpool,Trent Alexander-Arnold,,,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,210733,M,TrentAA,795064,EUR,907718400,D,66,66,False,18.0,14.0,3.0,2.0,0.0,6.0,7.0,8.0,11.0,2.0,,,,,25.0,20.0,6.8,4.0,0.0260345,0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436484,home,Liverpool,Ibrahima Konaté,,,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,74.0,69.0,4.0,2.0,0.0,49.0,50.0,20.0,24.0,2.0,,,,,90.0,85.0,7.4,6.0,0.00751584,1,,5.0,1.0,,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,0.1124,,,,,,,,,,,,,,,,,,,,
12436484,home,Liverpool,Virgil van Dijk,,,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,116.0,110.0,7.0,3.0,0.0,71.0,72.0,39.0,44.0,4.0,,,,,90.0,125.0,7.3,7.0,0.0163108,0,,4.0,1.0,,1.0,1.0,,,2.0,,1.0,2.0,,True,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
12436484,home,Liverpool,Andrew Robertson,,,andrew-robertson,A. Robertson,D,26,178,24820,M,andyrobertson94,262911,EUR,763344000,D,26,26,False,74.0,64.0,6.0,2.0,0.0,39.0,42.0,27.0,36.0,7.0,,,,,90.0,97.0,7.7,15.0,0.261919,0,,2.0,1.0,1.0,2.0,,,,3.0,2.0,1.0,1.0,,,,1.0,,,4.0,2.0,1.0,1.0,,,,,,,,,,,
12436484,home,Liverpool,Ryan Gravenberch,,,ryan-gravenberch,R. Gravenberch,M,38,190,31083,M,ryanjiro,904897,EUR,1021507200,M,38,38,False,57.0,50.0,1.0,1.0,0.0,22.0,24.0,28.0,33.0,4.0,,,,,90.0,77.0,7.9,7.0,0.0172649,1,,6.0,1.0,1.0,,,,1.0,2.0,4.0,,2.0,0.0262,,,3.0,2.0,1.0,,,3.0,,3.0,2.0,,,,,,,,,
12436484,home,Liverpool,Alexis Mac Allister,,,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,66.0,61.0,3.0,3.0,0.0,28.0,28.0,33.0,38.0,5.0,,,,,87.0,76.0,7.1,10.0,0.0780823,0,,2.0,2.0,2.0,1.0,,,,,,2.0,,,,,4.0,2.0,,,,,,,,2.0,,,,,,,,
12436484,home,Liverpool,Mohamed Salah,,,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,M,11,11,False,31.0,21.0,2.0,1.0,1.0,3.0,4.0,18.0,28.0,3.0,,,,,90.0,50.0,8.5,20.0,0.27863,3,,4.0,2.0,1.0,2.0,,,,,,4.0,2.0,0.7823,,,4.0,,,1.0,,2.0,1.0,,,2.0,1.0,2.0,1.0,0.724,,,,
12436484,home,Liverpool,Curtis Jones,,,curtis-jones,C. Jones,M,17,185,17569,M,curtisjones,927353,EUR,980812800,M,17,17,False,39.0,34.0,1.0,1.0,0.0,14.0,14.0,20.0,25.0,6.0,,,,,65.0,53.0,6.7,9.0,0.0133409,0,,5.0,1.0,1.0,,1.0,,,,,,2.0,,,,5.0,1.0,,,,2.0,,1.0,,3.0,,,,,,,,
12436484,home,Liverpool,Luis Díaz,,,luis-diaz,L. Díaz,F,14,178,142017,M,LuisDíaz,883537,EUR,853113600,M,7,7,False,32.0,24.0,1.0,1.0,0.0,7.0,10.0,17.0,23.0,5.0,,,,,90.0,50.0,7.1,15.0,0.080736,1,,8.0,1.0,1.0,3.0,1.0,,1.0,1.0,,1.0,3.0,0.0415,,2.0,11.0,1.0,3.0,1.0,,5.0,,3.0,,3.0,,,,,1.0,,,
