match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_aerialWon,stat_aerialLost,stat_fouls,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,player_sofascoreId,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_lastManTackle,stat_clearanceOffLine,stat_hitWoodwork,stat_goals
12437830,home,Real Valladolid,Karl Hein,karl-hein,K. Hein,G,13,193,4102,M,991591,EUR,1018656000,G,13,13,False,33.0,27.0,10.0,4.0,0.0,26.0,27.0,1.0,6.0,8.0,1.0,1.0,2.0,1.0,1.0,90.0,41.0,6.0,7.0,0.00056346,0,-1.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437830,home,Real Valladolid,Luis Pérez,luis-perez,L. Pérez,D,2,173,199,M,843180,EUR,791856000,D,2,2,False,54.0,45.0,7.0,4.0,0.0,31.0,33.0,16.0,23.0,3.0,,,,,,90.0,77.0,6.2,14.0,0.09947,0,,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12437830,home,Real Valladolid,Joseph Aidoo,joseph-aidoo,J. Aidoo,D,4,184,857,M,796320,EUR,812332800,D,16,16,False,81.0,77.0,7.0,3.0,0.0,61.0,62.0,16.0,19.0,4.0,,,,,,90.0,91.0,6.5,4.0,0.006664,0,,,,,2.0,,,,,6.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
12437830,home,Real Valladolid,David Torres,david-torres,D. Torres,D,4,182,147,M,1214359,EUR,1046822400,D,3,3,False,93.0,82.0,9.0,2.0,0.0,67.0,71.0,15.0,22.0,1.0,,,,,,90.0,100.0,6.1,11.0,0.00509913,0,,,,,1.0,,,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12437830,home,Real Valladolid,Antonio Candela,candela-antonio,A. Candela,D,26,182,271,M,862464,EUR,956793600,D,22,22,False,51.0,44.0,1.0,1.0,0.0,27.0,28.0,17.0,24.0,3.0,,,,,,90.0,70.0,6.0,13.0,0.00536628,0,,1.0,,3.0,2.0,,,2.0,1.0,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
12437830,home,Real Valladolid,Tamás Nikitscher,nikitscher-tamas,T. Nikitscher,M,44,193,971,M,1393242,EUR,941587200,M,4,4,False,59.0,58.0,4.0,4.0,0.0,43.0,43.0,15.0,16.0,4.0,,,,,,90.0,63.0,6.7,1.0,0.00887678,0,,,,1.0,4.0,,,,,,,,1.0,,2.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,
12437830,home,Real Valladolid,Anuar,anuar,Anuar,M,23,172,810,M,601962,EUR,790128000,M,23,23,False,25.0,22.0,,,0.0,15.0,16.0,8.0,12.0,,,,,,,90.0,42.0,6.2,9.0,0.0268954,1,,3.0,1.0,3.0,5.0,,,1.0,,,,3.0,2.0,1.0,2.0,,,,1.0,,2.0,True,1.0,1.0,1.0,0.2179,,,,,,,,,,
12437830,home,Real Valladolid,Florian Grillitsch,florian-grillitsch,F. Grillitsch,M,27,187,750,M,186719,EUR,807753600,M,8,8,False,12.0,9.0,1.0,,0.0,4.0,4.0,5.0,9.0,,,,,,,45.0,19.0,6.3,7.0,0.00159333,1,,1.0,,3.0,,1.0,2.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,0.0277,0.2806,,,,,,,,,
12437830,home,Real Valladolid,Mario Martín,martin-mario,M. Martín,M,6,177,16546,M,1154549,EUR,1078444800,M,12,12,False,49.0,42.0,4.0,1.0,0.0,29.0,31.0,14.0,21.0,6.0,,,,,,74.0,64.0,7.2,10.0,0.406152,0,,3.0,1.0,4.0,5.0,1.0,,2.0,2.0,1.0,1.0,1.0,,3.0,2.0,2.0,,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,
12437830,home,Real Valladolid,Adam Aznou,adam-aznou,A. Aznou,D,39,178,13456,M,1466124,EUR,1149206400,M,39,39,False,11.0,7.0,,,0.0,4.0,4.0,3.0,8.0,2.0,,,,,,45.0,23.0,6.5,9.0,0.0158319,0,,1.0,,3.0,7.0,1.0,2.0,2.0,2.0,,,1.0,3.0,,,,Adam Aznou,,2.0,,,,,,,,,,adamaznou,,,,,,,
