match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_ownGoals,player_firstName,player_lastName,stat_wonTackle,stat_wasFouled,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_totalOffside,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed
11453065,home,Al-Hazem,Aymen Dahmen,dahmen-aymen,A. Dahmen,G,30,188.0,1160,M,1198374,EUR,854409600.0,G,30,30,False,22.0,15.0,13.0,6.0,12.0,14.0,3.0,8.0,1.0,11.0,1.0,3.0,4.0,1.0,1.0,90.0,33.0,7.0,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453065,home,Al-Hazem,Yazeed Al Bakr,yazeed-al-bakr,Y. A. Bakr,D,13,178.0,6,M,914887,EUR,816048000.0,D,13,13,False,43.0,29.0,6.0,4.0,12.0,14.0,18.0,32.0,,6.0,,,,,,90.0,79.0,6.3,27.0,1,3.0,1.0,1.0,2.0,8.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,
11453065,home,Al-Hazem,Talal Al-Absi,talal-al-absi,T. Al-Absi,D,,180.0,6,M,818788,EUR,730339200.0,D,3,3,False,32.0,27.0,5.0,4.0,18.0,19.0,9.0,13.0,2.0,5.0,,,,,,90.0,38.0,6.4,6.0,0,,,2.0,,2.0,,,,,,3.0,,,1.0,,,True,,,,,,,,,,,,,,,
11453065,home,Al-Hazem,Bruno Viana,bruno-viana,B. Viana,D,30,187.0,241,M,804703,EUR,791942400.0,D,36,36,False,51.0,44.0,10.0,6.0,30.0,33.0,14.0,18.0,4.0,5.0,,,,,,90.0,62.0,6.5,8.0,0,,,,,,,,,,,3.0,,,1.0,,,,1.0,,,,,,,,,,,,,,
11453065,home,Al-Hazem,Majed Mohammed,majed-mohammed,M. Mohammed,D,50,169.0,71,M,1385284,EUR,1007337600.0,D,27,27,False,39.0,35.0,3.0,1.0,12.0,14.0,24.0,33.0,,3.0,,,,,,90.0,65.0,6.5,17.0,0,8.0,1.0,1.0,,3.0,3.0,1.0,2.0,1.0,,1.0,1.0,,3.0,,,,,Majed Mohammed,,1.0,1.0,,,,,,,,,,
11453065,home,Al-Hazem,Ahmad Al Mhemaid,ahmad-al-mhemaid,A. A. Mhemaid,M,99,179.0,11,M,1085117,EUR,930787200.0,M,99,99,False,28.0,22.0,2.0,2.0,11.0,15.0,11.0,14.0,,3.0,,,,,,73.0,36.0,6.6,10.0,1,1.0,,,,3.0,2.0,,,,,1.0,2.0,,,2.0,,,,Ahmad Al Mhemaid,,1.0,,1.0,1.0,,,,,,,,
11453065,home,Al-Hazem,Júnior Moreno,junior-moreno,J. Moreno,M,8,175.0,315,M,312026,EUR,743126400.0,M,93,93,False,61.0,57.0,2.0,1.0,22.0,23.0,35.0,38.0,2.0,7.0,,,,,,90.0,75.0,7.1,5.0,0,,,1.0,,3.0,6.0,1.0,2.0,1.0,,2.0,3.0,,,,1.0,,,,,3.0,2.0,,,1.0,,,,,,,
11453065,home,Al-Hazem,Mohammed Al-Thani,mohammed-al-thain,M. Al-Thani,M,17,174.0,72,M,954643,EUR,855532800.0,M,11,11,False,20.0,15.0,1.0,1.0,9.0,10.0,6.0,14.0,1.0,5.0,,,,,,90.0,40.0,6.5,14.0,2,4.0,,3.0,3.0,6.0,6.0,,,,2.0,,,,3.0,1.0,,,,,,,3.0,2.0,,,,,,,,,
11453065,home,Al-Hazem,Tozé,toze,Tozé,M,20,165.0,386,M,1089231,EUR,726969600.0,M,20,20,False,52.0,49.0,2.0,1.0,22.0,22.0,29.0,37.0,,7.0,,,,,,73.0,66.0,6.8,10.0,1,7.0,2.0,,,3.0,2.0,1.0,1.0,,,,1.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,
11453065,home,Al-Hazem,Faïz Selemani,faiz-selemani,F. Selemani,F,7,178.0,359,M,842745,EUR,754617600.0,M,10,10,False,25.0,21.0,3.0,1.0,4.0,4.0,18.0,24.0,,5.0,,,,,,45.0,35.0,6.7,9.0,2,3.0,1.0,,1.0,,2.0,,,,1.0,,1.0,,2.0,,1.0,,,,,,,,1.0,,,,,,,,
11453065,home,Al-Hazem,Muhammed Badamosi,muhammed-badammosi,M. Badamosi,F,15,198.0,404,M,919496,EUR,914716800.0,F,90,90,False,17.0,9.0,1.0,,3.0,3.0,6.0,14.0,,3.0,,,,,,73.0,23.0,6.8,9.0,1,,,5.0,5.0,7.0,7.0,,,,,,,,1.0,3.0,1.0,,,,,,2.0,,1.0,,2.0,,,,,,
11453065,home,Al-Hazem,Nawaf Al-Habashi,nawaf-al-habashi,N. Al-Habashi,M,19,184.0,28,M,954528,EUR,898560000.0,M,19,19,True,13.0,12.0,,,2.0,2.0,10.0,13.0,,1.0,,,,,,45.0,23.0,6.5,7.0,2,2.0,,,,1.0,1.0,,2.0,1.0,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,
11453065,home,Al-Hazem,Basil Yousef Al-Sayyali,basil-yousef-al-sayyali,B. Y. Al-Sayyali,M,20,171.0,50,M,1066584,EUR,993168000.0,M,6,6,True,12.0,11.0,2.0,2.0,2.0,2.0,9.0,10.0,,1.0,,,,,,17.0,14.0,6.7,1.0,0,,,,,,1.0,,1.0,1.0,,,,,,,,,,Basil Yousef Al-Sayyali,,,,,,1.0,,,,,,,
