match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_totalCross,stat_challengeLost,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_accurateCross,stat_wasFouled,stat_dispossessed,stat_totalOffside,captain,stat_penaltyFaced,stat_penaltyConceded
14131928,home,CD Nacional,Kaique,Kaique,,kaique,Kaique,G,1,190,577,M,1167067,EUR,1050451200,G,1,1,False,22.0,15.0,13.0,6.0,0.0,9.0,9.0,6.0,13.0,2.0,10.0,1.0,1.0,1.0,1.0,90.0,33.0,6.1,7.0,0.00143304,0.0124,0,-0.8694,0.08,0.0,-0.23,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131928,home,CD Nacional,Alan Núñez,Alan Núñez,,alan-nunez,A. Núñez,D,16,176,155,M,1116982,EUR,1096588800,D,16,16,False,31.0,25.0,,,0.0,9.0,10.0,16.0,21.0,4.0,1.0,,,,,90.0,48.0,6.8,6.0,0.145354,,0,,0.38,0.1,-0.29,,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14131928,home,CD Nacional,Léo Santos,,,leo-santos,L. Santos,D,34,186,158,M,822509,EUR,913161600,D,34,34,False,53.0,46.0,7.0,3.0,0.0,33.0,34.0,13.0,19.0,5.0,3.0,,,,,90.0,65.0,8.6,7.0,0.128422,,1,,0.08,0.07,0.38,,5.0,3.0,5.0,,,,,,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,0.1942,0.842,0.52,,,,,,,,,,,,,
14131928,home,CD Nacional,Ze Vitor,,,ze-vitor,Zé Vitor,D,38,189,125,M,1112474,EUR,981676800,D,38,38,False,60.0,51.0,7.0,1.0,0.0,35.0,37.0,16.0,23.0,7.0,3.0,,,,,90.0,74.0,6.3,9.0,0.0133853,,2,,0.22,0.12,-0.33,,3.0,3.0,6.0,,,,3.0,,2.0,,1.0,,,,,,0.1057,,-0.03,2.0,,,,,,,,,,,,
14131928,home,CD Nacional,José Gomes,,,jose-gomes,J. Gomes,D,5,185,33,M,344181,EUR,837820800,D,5,5,False,24.0,17.0,3.0,1.0,0.0,9.0,10.0,8.0,14.0,2.0,3.0,,,,,90.0,49.0,5.7,14.0,0.0113638,,2,,0.0,0.08,-0.39,,,4.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,,,1.0,1.0,0.2343,,-0.56,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,
14131928,home,CD Nacional,Liziero,,,liziero,Liziero,M,28,175,757,M,822510,EUR,886809600,M,28,28,False,46.0,41.0,4.0,2.0,1.0,24.0,27.0,17.0,19.0,1.0,4.0,,,,,89.0,66.0,7.5,12.0,0.172504,,2,,0.37,0.01,-0.05,,3.0,2.0,8.0,2.0,1.0,1.0,3.0,2.0,,2.0,1.0,,,,,,0.096,,0.0,1.0,8.0,,,1.0,,2.0,1.0,,,,,
14131928,home,CD Nacional,Matheus Dias,,,dias-matheus,Matheus Dias,M,6,187,228,M,1020610,EUR,1020902400,M,6,6,False,40.0,37.0,1.0,1.0,0.0,27.0,29.0,10.0,11.0,4.0,1.0,,,,,90.0,57.0,6.6,6.0,0.00536153,,2,,0.04,-0.05,0.14,,3.0,5.0,5.0,2.0,,,,,2.0,1.0,1.0,1.0,,,,2.0,0.099,0.0151,0.02,1.0,,,,,1.0,,3.0,,,,,
14131928,home,CD Nacional,Pablo,,,messias-cardozo-pablo-ruan,Pablo,F,99,181,97,M,1579664,EUR,1044057600,M,99,99,False,21.0,11.0,,,0.0,1.0,1.0,10.0,20.0,1.0,1.0,,,,,81.0,40.0,6.6,19.0,0.0685725,,0,,0.24,0.13,-0.11,,4.0,5.0,5.0,,,,,,,1.0,5.0,,,,,,,,,,2.0,,,,3.0,,1.0,,,,,
14131928,home,CD Nacional,Chiheb Labidi,,,chiheb-labidi,C. Labidi,M,15,190,432,M,1011997,EUR,991353600,M,15,15,False,14.0,12.0,2.0,2.0,0.0,5.0,5.0,7.0,9.0,,4.0,,,,,76.0,35.0,6.7,10.0,0.00826107,,2,,0.02,0.14,-0.16,,,4.0,6.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,0.0844,0.0326,0.01,,1.0,,,1.0,3.0,,3.0,2.0,,,,
14131928,home,CD Nacional,Paulinho Bóia,,,paulinho-boia,Paulinho Bóia,M,11,171,270,M,912781,EUR,898819200,M,11,11,False,18.0,11.0,2.0,1.0,0.0,3.0,6.0,8.0,12.0,,2.0,,,,,90.0,34.0,6.7,10.0,0.158044,,2,,0.06,0.16,-0.12,,2.0,3.0,9.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,0.2035,,-0.27,1.0,2.0,,,,,1.0,5.0,,1.0,,,
