match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_challengeLost,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_shotOffTarget,stat_expectedGoals,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_errorLeadToAGoal
12436576,home,Bournemouth,Kepa Arrizabalaga,kepa-arrizabalaga,K. Arrizabalaga,G,13,188,26145,M,KepaA,232422,EUR,781142400,G,13,13,False,36.0,29.0,8.0,1.0,0.0,27.0,28.0,2.0,8.0,1.0,9.0,1.0,1.0,90.0,41.0,6.3,7.0,0.00280604,0,-1.1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436576,home,Bournemouth,Adam Smith,adam-smith,A. Smith,D,15,180,494,M,,44566,EUR,672883200,D,15,15,False,22.0,15.0,2.0,,0.0,8.0,9.0,8.0,18.0,,3.0,,,45.0,36.0,6.8,12.0,0.0297601,0,,True,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12436576,home,Bournemouth,Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,17027,M,IlliaZabarnyi,1023567,EUR,1030838400,D,27,27,False,55.0,47.0,7.0,2.0,0.0,25.0,29.0,22.0,27.0,2.0,4.0,,,87.0,61.0,6.1,9.0,0.00667977,0,,,1.0,,4.0,1.0,8.0,2.0,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
12436576,home,Bournemouth,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195,160912,M,deanhuijsen,1176744,EUR,1113436800,D,2,2,False,74.0,69.0,13.0,10.0,0.0,32.0,33.0,38.0,43.0,7.0,5.0,,,90.0,93.0,7.0,10.0,0.0829756,0,,,2.0,1.0,1.0,3.0,5.0,5.0,,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12436576,home,Bournemouth,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25853,M,miloskerkez,1097425,EUR,1068163200,D,3,3,False,41.0,31.0,5.0,,0.0,9.0,12.0,24.0,36.0,3.0,4.0,,,90.0,73.0,7.4,18.0,0.0592102,1,,,7.0,2.0,3.0,,4.0,6.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,5.0,Milos,Kerkez,1.0,0.0228,,,,,,,,,,,,,,,
12436576,home,Bournemouth,Ryan Christie,ryan-christie,R. Christie,M,10,178,1213,M,,322391,EUR,793411200,M,10,10,False,33.0,24.0,4.0,1.0,0.0,8.0,8.0,17.0,32.0,,10.0,,,58.0,47.0,7.3,16.0,0.148179,1,,,7.0,1.0,,1.0,2.0,4.0,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,,,,0.0272,1.0,1.0,0.2203,,,,,,,,,,,,
12436576,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,M,4,4,False,60.0,49.0,4.0,1.0,0.0,15.0,16.0,35.0,48.0,,6.0,,,90.0,77.0,7.4,15.0,0.195004,2,,,4.0,1.0,2.0,4.0,3.0,5.0,,,,,,3.0,,,,1.0,,,1.0,0.2515,,1.0,0.2034,1.0,1.0,,,,,,,,,,
12436576,home,Bournemouth,Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,33926,M,d.ouattara15,1106451,EUR,1013385600,M,11,11,False,29.0,16.0,4.0,1.0,0.0,3.0,3.0,13.0,31.0,1.0,3.0,,,90.0,58.0,7.1,23.0,0.0239589,6,,,5.0,,2.0,3.0,6.0,8.0,,1.0,,,2.0,1.0,,6.0,2.0,2.0,Dango Ouattara,,5.0,0.5715,3.0,,,,,1.0,1.0,,,,,,,,
12436576,home,Bournemouth,Alex Scott,alex-scott,A. Scott,M,8,178,2382,M,,1104986,EUR,1061424000,M,8,8,False,33.0,30.0,3.0,2.0,0.0,10.0,10.0,20.0,23.0,,4.0,,,58.0,50.0,7.4,10.0,0.0223515,4,,,,,,,4.0,3.0,,1.0,2.0,2.0,1.0,,1.0,1.0,5.0,1.0,Alex Scott,,1.0,0.231,,3.0,0.2684,1.0,,,,,,,,,,,
12436576,home,Bournemouth,Antoine Semenyo,antoine-semenyo,A. Semenyo,M,42,185,84914,M,antoinesemenyo42,934354,EUR,947203200,M,24,24,False,35.0,26.0,1.0,1.0,0.0,8.0,9.0,18.0,26.0,,3.0,,,90.0,53.0,7.4,12.0,0.0424175,6,,,,,,3.0,4.0,8.0,,1.0,4.0,4.0,2.0,3.0,,1.0,1.0,1.0,,,1.0,0.1681,,1.0,0.013,1.0,,,4.0,1.0,,,,,,,
