match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,captain,stat_outfielderBlock,stat_lastManTackle,stat_errorLeadToAShot,player_sofascoreId,stat_challengeLost,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_totalCross,stat_totalContest,stat_wonContest,stat_keyPass,player_firstName,stat_errorLeadToAGoal,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_aerialWon,stat_shotOffTarget,stat_bigChanceCreated,stat_totalOffside,stat_blockedScoringAttempt,stat_accurateCross,player_lastName,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_hitWoodwork
14083115,home,Celta Vigo,Ionuț Radu,ionut-radu,I. Radu,G,13,188,3683,M,815202,EUR,864777600,G,13,13,False,11.0,6.0,7.0,2.0,0.0,4.0,5.0,2.0,6.0,1.0,8.0,3.0,1.0,5.0,1.0,90.0,23.0,7.3,5.0,0.00105261,1.0374,0,-0.8739,0.02,0.01,-0.4,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083115,home,Celta Vigo,Manu Fernández,manu-fernandez,M. Fernández,D,12,185,116,M,1630975,EUR,987984000,D,12,12,False,47.0,44.0,5.0,3.0,0.0,33.0,35.0,11.0,12.0,,5.0,,,,,78.0,54.0,6.2,4.0,0.00744194,,0,,0.1,0.07,-0.52,,1.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083115,home,Celta Vigo,Carl Starfelt,carl-starfelt,C. Starfelt,D,2,185,781,M,360718,EUR,801964800,D,2,2,False,47.0,45.0,2.0,2.0,0.0,36.0,38.0,9.0,9.0,3.0,3.0,,,,,90.0,61.0,6.7,2.0,0.00566194,,0,,0.06,0.03,0.16,,2.0,2.0,4.0,,1.0,3.0,1.0,1.0,True,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083115,home,Celta Vigo,Marcos Alonso,marcos-alonso,M. Alonso,D,20,188,7636,M,69408,EUR,662342400,D,20,20,False,82.0,75.0,12.0,9.0,0.0,56.0,58.0,19.0,24.0,4.0,10.0,,,,,90.0,90.0,5.5,8.0,0.0146471,,0,,0.16,0.15,-1.0,,2.0,4.0,,,1.0,,,,,,,2.0,marcosalonso28,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14083115,home,Celta Vigo,Óscar Mingueza,oscar-mingueza,Ó. Mingueza,M,3,184,3812,M,859773,EUR,926553600,M,3,3,False,28.0,21.0,7.0,5.0,0.0,12.0,12.0,9.0,16.0,,2.0,,,,,45.0,39.0,6.5,10.0,0.0361966,,0,,0.25,0.01,-0.27,,,4.0,2.0,1.0,,1.0,1.0,,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14083115,home,Celta Vigo,Hugo Sotelo,hugo-sotelo,H. Sotelo,M,22,180,632,M,1120669,EUR,1071792000,M,22,22,False,33.0,31.0,2.0,1.0,0.0,19.0,20.0,12.0,13.0,,2.0,,,,,78.0,44.0,6.4,4.0,0.0089531,,0,,0.03,0.06,-0.21,,,4.0,4.0,,2.0,3.0,2.0,1.0,,1.0,,,,1.0,2.0,,3.0,,,,,Hugo Sotelo,,,,,,,,,,,,,,,,,
14083115,home,Celta Vigo,Ilaix Moriba,ilaix-moriba,I. Moriba,M,6,183,6577,M,962890,EUR,1042934400,M,6,6,False,32.0,27.0,4.0,2.0,0.0,13.0,13.0,14.0,19.0,1.0,7.0,,,,,90.0,51.0,6.8,10.0,0.055664,,0,,0.21,0.15,-0.35,,,3.0,8.0,2.0,,5.0,1.0,3.0,,1.0,,,ilaixmk,1.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
14083115,home,Celta Vigo,Sergio Carreira,sergio-carreira,S. Carreira,M,5,170,466,M,1002764,EUR,971395200,M,5,5,False,55.0,43.0,5.0,2.0,0.0,26.0,35.0,17.0,20.0,2.0,,,,,,90.0,88.0,7.8,17.0,0.0200735,,1,,0.07,0.31,-0.13,,,3.0,5.0,1.0,3.0,3.0,1.0,,,,,,,,1.0,,2.0,1.0,2.0,2.0,,,,1.0,1.0,0.3698,0.385,0.51,,,,,,,,,,,
14083115,home,Celta Vigo,Ferran Jutglà,ferran-jutgla,F. Jutglà,F,9,175,3716,M,949962,EUR,917827200,F,9,9,False,16.0,14.0,,,1.0,8.0,9.0,6.0,7.0,1.0,2.0,,,,,58.0,20.0,6.7,2.0,0.0207883,,1,,0.01,0.02,0.17,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,0.0361,,-0.01,1.0,1.0,,,,,,,,,
14083115,home,Celta Vigo,Borja Iglesias,borja-iglesias,B. Iglesias,F,7,187,4084,M,785989,EUR,727228800,F,7,7,False,17.0,13.0,1.0,1.0,1.0,9.0,10.0,4.0,7.0,1.0,1.0,,,,,70.0,33.0,7.8,10.0,0.157169,,2,,0.02,0.04,0.17,,2.0,6.0,2.0,1.0,,,,1.0,,,,,,,3.0,,1.0,,2.0,,1.0,,,2.0,1.0,0.0939,0.5563,0.54,1.0,,1.0,3.0,,,,,,,
