match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_outfielderBlock,stat_wonTackle,stat_keyPass,stat_accurateCross,stat_totalContest,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,captain,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_wonContest,stat_bigChanceMissed,stat_lastManTackle,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
14025071,home,Burnley,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3081,M,42209,EUR,600825600,G,1,1,False,36.0,17.0,22.0,3.0,0.0,14.0,17.0,3.0,19.0,2.0,11.0,1.0,1.0,1.0,2.0,90.0,47.0,6.9,19.0,0.0004679,0.3328,0,0.6952,0.0,0.0,0.19,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025071,home,Burnley,Kyle Walker,,,kyle-walker,K. Walker,D,2,183,26779,M,44614,EUR,643852800,D,2,2,False,44.0,37.0,6.0,2.0,0.0,18.0,19.0,19.0,25.0,5.0,6.0,,,,,90.0,61.0,7.2,11.0,0.017562,,0,,0.3,0.05,0.32,,KyleWalker2,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14025071,home,Burnley,Hjalmar Ekdal,,,hjalmar-ekdal,H. Ekdal,D,18,187,549,M,875360,EUR,908928000,D,18,18,False,41.0,39.0,3.0,1.0,0.0,25.0,25.0,14.0,16.0,10.0,3.0,,,,,90.0,57.0,7.5,3.0,0.00921065,,0,,0.04,0.1,0.53,,,1.0,2.0,1.0,4.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14025071,home,Burnley,Maxime Estève,Maxime Estève,,maxime-esteve,M. Estève,D,5,192,1470,M,1117223,EUR,1022371200,D,5,5,False,61.0,56.0,6.0,2.0,0.0,36.0,38.0,20.0,23.0,4.0,1.0,,,,,83.0,72.0,7.5,5.0,0.00995936,,0,,0.15,0.08,0.37,,,,4.0,,5.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14025071,home,Burnley,Quilindschy Hartman,,,quilindschy-hartman,Q. Hartman,D,3,183,1269,M,1392044,EUR,1005696000,D,3,3,False,43.0,35.0,5.0,2.0,0.0,16.0,17.0,19.0,26.0,3.0,3.0,,,,,90.0,64.0,7.3,15.0,0.0417926,,0,,0.22,0.06,0.3,,,,1.0,2.0,6.0,,5.0,,,5.0,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,
14025071,home,Burnley,Lesley Ugochukwu,,,lesley-ugochukwu,L. Ugochukwu,M,8,188,5004,M,1048916,EUR,1080259200,M,8,8,False,35.0,33.0,,,0.0,17.0,17.0,16.0,18.0,,1.0,,,,,69.0,47.0,6.8,4.0,0.0212246,,1,,0.08,0.01,0.21,,l.ugochukwu8,,,2.0,2.0,1.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0246,-0.1,,,,,,,,,,,,,,,
14025071,home,Burnley,Josh Cullen,,,cullen-josh,J. Cullen,M,24,175,875,M,792122,EUR,828835200,M,24,24,False,61.0,50.0,11.0,4.0,1.0,24.0,26.0,26.0,35.0,,4.0,,,,,90.0,70.0,8.5,13.0,0.193279,,1,,0.17,0.09,0.37,,,3.0,,4.0,2.0,,1.0,1.0,,1.0,2.0,,1.0,,,,,0.0762,0.54,True,1.0,1.0,1.0,1.0,1.0,0.7499,,,,,,,,
14025071,home,Burnley,Jacob Bruun Larsen,,,jacob-bruun-larsen,J. B. Larsen,M,7,183,710,M,809276,EUR,906163200,M,7,7,False,14.0,12.0,,,0.0,2.0,3.0,10.0,11.0,1.0,3.0,,,,,69.0,26.0,6.5,6.0,0.0110008,,1,,-0.1,0.06,0.18,,,2.0,1.0,2.0,1.0,,,1.0,,3.0,,,,,,,1.0,0.0245,-0.02,,,,,,,,,,,,,,,
14025071,home,Burnley,Hannibal Mejbri,,,hannibal-mejbri,H. Mejbri,M,28,182,23655,M,1009386,EUR,1043107200,M,28,28,False,22.0,17.0,1.0,,0.0,6.0,7.0,11.0,15.0,,8.0,,,,,83.0,43.0,6.5,10.0,0.118215,,1,,0.12,0.34,0.15,,hannibal_mj,4.0,,11.0,5.0,2.0,3.0,,3.0,2.0,,1.0,1.0,1.0,1.0,3.0,,0.0229,-0.03,,,1.0,,,2.0,,1.0,,,,,,,
14025071,home,Burnley,Jaidon Anthony,,,jaidon-anthony,J. Anthony,M,11,177,1095,M,1020680,EUR,944006400,M,11,11,False,37.0,29.0,,,1.0,10.0,13.0,19.0,24.0,,7.0,,,,,90.0,64.0,8.4,18.0,0.0242551,,2,,-0.35,0.43,0.16,,,2.0,2.0,5.0,7.0,1.0,3.0,5.0,,1.0,,2.0,1.0,,2.0,3.0,1.0,0.7685,0.49,,,,1.0,1.0,,0.8317,,2.0,1.0,,,,,
