match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_aerialWon,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_shotValueNormalized,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,player_firstName,player_lastName,stat_accurateCross,stat_aerialLost,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_fouls,stat_errorLeadToAGoal,player_sofascoreId,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_errorLeadToAShot
14763681,home,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192,4027,M,252669,EUR,727228800,G,1,1,False,43.0,27.0,24.0,8.0,0.0,20.0,20.0,7.0,23.0,5.0,90.0,44.0,5.1,16.0,0,0.12,0.07,-0.42,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14763681,home,Wolverhampton,Matt Doherty,matt-doherty,M. Doherty,D,2,182,1433,M,143047,EUR,695520000,D,2,2,False,6.0,3.0,2.0,1.0,0.0,3.0,3.0,,3.0,,19.0,8.0,6.2,3.0,0,-0.01,,-0.35,,True,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14763681,home,Wolverhampton,Yerson Mosquera,yerson-mosquera,Y. Mosquera,D,15,188,3197,M,1014835,EUR,988761600,D,15,15,False,33.0,31.0,7.0,6.0,0.0,16.0,16.0,15.0,17.0,6.0,90.0,46.0,6.7,5.0,1,0.33,0.02,-0.56,,,5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,
14763681,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187,1047,M,973418,EUR,916444800,D,24,24,False,40.0,35.0,5.0,3.0,0.0,26.0,29.0,9.0,11.0,2.0,90.0,60.0,5.8,9.0,0,0.01,0.03,-0.74,,,1.0,,,2.0,,,5.0,,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14763681,home,Wolverhampton,David Möller Wolfe,david-moller-wolfe,D. M. Wolfe,D,6,185,957,M,1031283,EUR,1019520000,D,6,6,False,26.0,20.0,2.0,,0.0,7.0,8.0,13.0,18.0,6.0,90.0,47.0,8.4,13.0,2,0.3,0.13,-0.69,,,3.0,,,2.0,1.0,,1.0,1.0,2.0,0.94,5.0,,3.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
14763681,home,Wolverhampton,Emmanuel Agbadou,emmanuel-agbadou,E. Agbadou,D,12,192,3307,M,1013842,EUR,866505600,M,12,12,False,47.0,42.0,4.0,4.0,2.0,26.0,27.0,16.0,20.0,10.0,90.0,63.0,7.5,9.0,1,0.2,0.36,-0.1,,,7.0,4.0,3.0,,2.0,1.0,1.0,3.0,1.0,-0.08,1.0,,,,,,,,1.0,1.0,,,,3.0,2.0,,,,,,,,,,,
14763681,home,Wolverhampton,Jackson Tchatchoua,jackson-tchatchoua,J. Tchatchoua,M,38,180,2210,M,1096210,EUR,1000425600,M,38,38,False,23.0,15.0,1.0,1.0,0.0,7.0,9.0,8.0,14.0,5.0,90.0,44.0,6.4,15.0,0,-0.19,0.05,-0.13,,,4.0,3.0,,4.0,1.0,,2.0,2.0,,,6.0,3.0,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,
14763681,home,Wolverhampton,Fer López,fer-lopez,F. López,M,30,186,1011,M,1526628,EUR,1085356800,M,28,28,False,16.0,13.0,1.0,1.0,0.0,6.0,6.0,7.0,10.0,1.0,45.0,28.0,6.2,6.0,0,0.2,0.07,-0.53,,,4.0,3.0,1.0,2.0,,,,,1.0,,3.0,1.0,1.0,,,,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,
14763681,home,Wolverhampton,João Gomes,joao-gomes,J. Gomes,M,8,176,14899,M,1015267,EUR,981936000,M,8,8,False,40.0,30.0,3.0,1.0,0.0,15.0,17.0,15.0,23.0,6.0,90.0,58.0,6.5,17.0,0,0.25,0.16,-0.3,,,6.0,4.0,3.0,2.0,,,1.0,,2.0,,12.0,2.0,2.0,,,,,3.0,2.0,,,,,1.0,2.0,3.0,,joaogomes.01,,,,,,,,
14763681,home,Wolverhampton,Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177,6339,M,786186,EUR,822614400,M,11,11,False,18.0,15.0,,,1.0,5.0,6.0,10.0,12.0,1.0,68.0,30.0,6.5,4.0,2,0.07,0.28,-0.14,,,3.0,,,2.0,,1.0,2.0,2.0,2.0,-0.13,6.0,,1.0,1.0,,,1.0,2.0,,1.0,,,,,2.0,4.0,,Hwangso,1.0,,,,,,,
