match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalCross,stat_unsuccessfulTouch,stat_dispossessed,stat_blockedScoringAttempt,stat_keyPass,player_firstName,player_lastName,captain,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalOffside,stat_goals,stat_punches,stat_hitWoodwork,stat_bigChanceMissed
12694086,home,Barnsley,Gabriel Słonina,gabriel-slonina,G. Słonina,G,44,193.0,5891,M,978787,EUR,1084579200,G,1,1,False,33.0,11.0,27.0,5.0,0.0,9.0,14.0,2.0,19.0,1.0,3.0,11.0,1.0,3.0,1.0,4.0,4.0,4.0,90.0,46.0,7.5,23.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694086,home,Barnsley,Maël de Gevigney,mael-de-gevigney,M. d. Gevigney,D,6,186.0,40,M,1013947,EUR,937872000,D,6,6,False,23.0,15.0,7.0,,0.0,10.0,11.0,5.0,12.0,3.0,3.0,1.0,,,,,,,90.0,37.0,6.8,13.0,0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
12694086,home,Barnsley,Donovan Pines,donovan-pines,D. Pines,D,2,194.0,88,M,974359,EUR,889228800,D,5,5,False,26.0,23.0,2.0,,0.0,18.0,19.0,5.0,7.0,4.0,4.0,4.0,,,,,,,90.0,35.0,7.2,3.0,1,3.0,7.0,,2.0,,,2.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12694086,home,Barnsley,Marc Roberts,marc-roberts,M. Roberts,D,4,183.0,26,M,354802,EUR,648950400,D,4,4,False,32.0,23.0,9.0,3.0,0.0,12.0,15.0,11.0,17.0,3.0,5.0,1.0,,,,,,,90.0,44.0,7.3,13.0,1,3.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
12694086,home,Barnsley,Josh Earl,josh-earl,J. Earl,D,32,193.0,34,M,885620,EUR,909187200,D,32,32,False,35.0,25.0,2.0,,0.0,13.0,16.0,12.0,20.0,6.0,1.0,7.0,,,,,,,90.0,55.0,6.8,15.0,0,4.0,6.0,3.0,1.0,2.0,2.0,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
12694086,home,Barnsley,Barry Cotter,barry-cotter,B. Cotter,M,37,182.0,53,M,924419,EUR,912729600,M,2,2,False,21.0,17.0,1.0,1.0,0.0,4.0,5.0,13.0,20.0,4.0,1.0,5.0,,,,,,,71.0,50.0,7.2,15.0,2,,7.0,1.0,,,,2.0,2.0,5.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,
12694086,home,Barnsley,Luca Connell,luca-connell,L. Connell,M,48,177.0,125,M,972348,EUR,987724800,M,48,48,False,37.0,23.0,14.0,4.0,0.0,9.0,10.0,16.0,32.0,6.0,3.0,5.0,1.0,,,,,,90.0,54.0,6.9,18.0,0,1.0,4.0,2.0,,4.0,3.0,1.0,,1.0,,,2.0,5.0,,,,1.0,,,True,2.0,,,,,,,
12694086,home,Barnsley,Vimal Yoganathan,vimal-yoganathan,V. Yoganathan,M,45,191.0,192,M,1519980,EUR,1137110400,M,45,45,False,19.0,13.0,3.0,2.0,0.0,3.0,5.0,10.0,15.0,5.0,1.0,5.0,2.0,,,,,,73.0,35.0,7.0,9.0,0,1.0,5.0,1.0,,2.0,2.0,2.0,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,
12694086,home,Barnsley,Adam Phillips,adam-phillips,A. Phillips,M,8,180.0,100,M,586156,EUR,884822400,M,8,8,False,34.0,28.0,2.0,2.0,1.0,10.0,10.0,18.0,24.0,,4.0,8.0,,,,,,,90.0,46.0,7.8,9.0,2,,5.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,2.0,1.0,,3.0,,,,,1.0,1.0,1.0,,,,
12694086,home,Barnsley,Aiden Marsh,aiden-marsh,A. Marsh,F,37,175.0,22,M,1010828,EUR,1052092800,F,19,19,False,12.0,7.0,1.0,,0.0,1.0,2.0,6.0,11.0,3.0,1.0,1.0,,,,,,,79.0,23.0,6.5,9.0,2,2.0,10.0,2.0,1.0,1.0,,1.0,5.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,2.0,,,,
