match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_errorLeadToAShot,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_hitWoodwork,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyWon
12530755,home,Gaziantep FK,Sokratis Dioudis,sokratis-dioudis,S. Dioudis,G,13,189.0,266,M,173933,EUR,728697600,G,1,1,False,15.0,13.0,6.0,4.0,0.0,11.0,11.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,24.0,6.5,2.0,0.00051296,0,-0.1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530755,home,Gaziantep FK,Bruno Viana,bruno-viana,B. Viana,D,30,187.0,241,M,804703,EUR,791942400,D,36,36,False,52.0,45.0,5.0,4.0,0.0,21.0,23.0,24.0,29.0,,4.0,1.0,7.0,4.0,,2.0,,,,,,90.0,64.0,7.1,7.0,0.340925,0,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12530755,home,Gaziantep FK,Arda Kızıldağ,arda-kizildag,A. Kızıldağ,D,4,187.0,127,M,904228,EUR,908409600,D,4,4,False,60.0,46.0,6.0,2.0,0.0,39.0,42.0,7.0,18.0,9.0,5.0,11.0,7.0,3.0,,1.0,,,,,,90.0,78.0,8.2,17.0,0.0121049,1,,3.0,4.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0761,0.6548,,,,,,,,,,,,,,,,
12530755,home,Gaziantep FK,Anel Husić,anel-husic,A. Husić,D,51,189.0,170,M,1122387,EUR,983404800,D,51,51,False,51.0,33.0,10.0,1.0,0.0,16.0,19.0,17.0,33.0,2.0,,4.0,3.0,7.0,,,,,,,,90.0,70.0,6.9,20.0,0.0392534,0,,,,2.0,1.0,,Anel Husic,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
12530755,home,Gaziantep FK,Badou Ndiaye,badou-ndiaye,B. Ndiaye,M,,180.0,427,M,228342,EUR,656985600,M,20,20,False,28.0,25.0,2.0,1.0,0.0,13.0,14.0,12.0,14.0,,5.0,1.0,,3.0,,5.0,,,,,,67.0,30.0,6.3,3.0,0.00804495,0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,
12530755,home,Gaziantep FK,Deian Sorescu,deian-sorescu,D. Sorescu,M,18,175.0,703,M,797602,EUR,872812800,M,18,18,False,38.0,33.0,4.0,,1.0,17.0,17.0,21.0,32.0,,9.0,2.0,3.0,3.0,,2.0,,,,,,90.0,73.0,6.8,19.0,0.221686,1,,,,1.0,1.0,2.0,,,5.0,,,,,1.0,0.0314,,11.0,,5.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
12530755,home,Gaziantep FK,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,10,182.0,3151,M,984602,EUR,1066262400,M,10,10,False,31.0,25.0,2.0,1.0,0.0,9.0,13.0,16.0,19.0,1.0,9.0,7.0,2.0,5.0,,3.0,,,,,,89.0,54.0,7.1,13.0,0.0278901,2,,2.0,,,2.0,1.0,,,4.0,1.0,1.0,1.0,1.0,1.0,0.3738,0.3482,1.0,,,1.0,2.0,3.0,,,1.0,1.0,1.0,,,,,
12530755,home,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,44,177.0,793,M,180511,EUR,647395200,M,44,44,False,38.0,31.0,6.0,4.0,0.0,16.0,18.0,18.0,27.0,1.0,6.0,2.0,1.0,6.0,,1.0,,,,,,80.0,57.0,7.2,17.0,0.291664,2,,1.0,,,,4.0,,,1.0,1.0,,1.0,,3.0,0.0695,0.3895,7.0,1.0,3.0,1.0,2.0,,1.0,1.0,,,,True,,,,
12530755,home,Gaziantep FK,Christophe Lungoyi,christophe-lungoyi,C. Lungoyi,F,11,180.0,197,M,883355,EUR,962668800,M,11,11,False,10.0,8.0,,,0.0,3.0,3.0,5.0,9.0,1.0,5.0,4.0,,3.0,,1.0,,,,,,67.0,26.0,6.4,9.0,0.0436066,1,,1.0,,,2.0,,,,3.0,,,1.0,1.0,1.0,0.0097,,2.0,,,1.0,,,,,,,1.0,,,,,
12530755,home,Gaziantep FK,David Okereke,david-okereke,D. Okereke,F,77,182.0,891,M,831290,EUR,872812800,F,77,77,False,23.0,18.0,,,0.0,3.0,3.0,16.0,22.0,,6.0,1.0,1.0,5.0,,1.0,,,,,,90.0,38.0,7.2,12.0,0.0975438,3,,2.0,,,1.0,1.0,,,2.0,3.0,,,,2.0,0.0963,0.6204,2.0,,1.0,,1.0,,,,,,,,1.0,,,
