match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_onTargetScoringAttempt,stat_interceptionWon,stat_aerialLost,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_totalCross,stat_accurateCross,stat_goalAssist,stat_blockedScoringAttempt,player_sofascoreId,stat_dispossessed,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_punches,stat_bigChanceCreated
10382224,home,FC Groningen,Michael Verrips,,,michael-verrips,M. Verrips,G,34,195,102,M,583506,EUR,849571200,G,20,20,False,True,13.0,7.0,7.0,1.0,6.0,7.0,1.0,6.0,6.0,2.0,2.0,90.0,20.0,6.7,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382224,home,FC Groningen,Liam van Gelderen,,,liam-van-gelderen,L. v. Gelderen,D,4,178,172,M,910049,EUR,985305600,D,19,19,False,,42.0,28.0,7.0,1.0,18.0,23.0,10.0,19.0,7.0,,,81.0,67.0,6.4,23.0,1,6.0,5.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10382224,home,FC Groningen,Thijmen Blokzijl,Thijmen Blokzijl,,thijmen-blokzijl,T. Blokzijl,D,3,181,296,M,1121401,EUR,1109289600,D,42,42,False,,75.0,61.0,10.0,4.0,34.0,40.0,27.0,35.0,12.0,,,90.0,77.0,6.6,14.0,1,2.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10382224,home,FC Groningen,Radinio Balker,,,balker-radinio,R. Balker,D,12,190,152,M,947049,EUR,904780800,D,12,12,False,,56.0,51.0,5.0,4.0,29.0,30.0,22.0,26.0,3.0,,,90.0,66.0,7.2,7.0,0,3.0,3.0,9.0,3.0,,2.0,,,3.0,,,,,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,
10382224,home,FC Groningen,Isak Dybvik Määttä,,,isak-dybvik-maatta,I. D. Määttä,F,25,188,289,M,980915,EUR,1000857600,D,18,18,False,,40.0,30.0,5.0,1.0,11.0,13.0,22.0,35.0,7.0,,,89.0,71.0,6.3,18.0,0,1.0,6.0,4.0,3.0,,1.0,,,1.0,2.0,3.0,,,,2.0,,,1.0,8.0,3.0,,,,,,,,,,
10382224,home,FC Groningen,Johan Hove,,,johan-hove,J. Hove,M,8,177,335,M,839953,EUR,968284800,M,8,8,False,,53.0,37.0,9.0,8.0,10.0,16.0,30.0,50.0,8.0,,,90.0,89.0,8.6,27.0,5,1.0,2.0,10.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,6.0,3.0,4.0,13.0,3.0,1.0,3.0,,,,,,,,
10382224,home,FC Groningen,Ragnar Oratmangoen,,,ragnar-oratmangoen,R. Oratmangoen,M,11,181,5722,M,899651,EUR,885340800,M,34,34,False,,82.0,69.0,9.0,4.0,35.0,43.0,34.0,40.0,6.0,,,81.0,98.0,6.9,18.0,0,3.0,6.0,7.0,2.0,,,1.0,2.0,,4.0,1.0,,3.0,,1.0,3.0,3.0,,1.0,,,,0ratmangoen,,,,,,,
10382224,home,FC Groningen,Tomáš Suslov,,,tomas-suslov,T. Suslov,F,10,175,1255,M,964154,EUR,1023408000,M,7,7,False,,42.0,35.0,3.0,2.0,11.0,13.0,24.0,31.0,6.0,,,90.0,77.0,6.8,18.0,6,3.0,13.0,17.0,8.0,2.0,,,1.0,7.0,,3.0,,,3.0,4.0,3.0,2.0,,2.0,,,4.0,,3.0,,,,,,
10382224,home,FC Groningen,Daleho Irandust,,,daleho-irandust,D. Irandust,M,,175,412,M,860148,EUR,896918400,F,10,10,False,,28.0,17.0,1.0,1.0,4.0,5.0,13.0,25.0,6.0,,,90.0,50.0,6.8,22.0,0,,9.0,5.0,5.0,,,,5.0,3.0,1.0,,,,4.0,2.0,,,1.0,2.0,,,,,1.0,,,,,,
10382224,home,FC Groningen,Ricardo Pepi,,,ricardo-pepi,R. Pepi,F,9,185,3729,M,986395,EUR,1042070400,F,9,9,False,,26.0,22.0,1.0,1.0,4.0,5.0,18.0,21.0,3.0,,,90.0,36.0,7.6,6.0,3,3.0,4.0,4.0,1.0,1.0,2.0,,,,1.0,,1.0,,2.0,,1.0,,4.0,,,,1.0,,1.0,1.0,1.0,,,,
