match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,captain,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_shotOffTarget,stat_blockedScoringAttempt,player_sofascoreId,stat_totalOffside,stat_errorLeadToAShot,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_goals
12764165,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,911,M,100390,EUR,668563200,G,40,40,False,29.0,20.0,15.0,6.0,0.0,16.0,18.0,4.0,11.0,2.0,3.0,3.0,3.0,2.0,2.0,90.0,36.0,6.6,9.0,0.00225093,0,-1.0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764165,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,607,M,141080,EUR,686448000,D,7,7,False,36.0,30.0,3.0,3.0,0.0,15.0,16.0,19.0,24.0,1.0,3.0,,,,,90.0,66.0,7.2,12.0,0.237823,1,,4.0,4.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0686,0.8546,5.0,,,,,,,,,,,,,,,,,,
12764165,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,241,M,328035,EUR,788054400,D,5,5,False,28.0,25.0,5.0,5.0,0.0,17.0,17.0,8.0,11.0,2.0,5.0,,,,,90.0,38.0,6.7,5.0,0.00458985,0,,,,5.0,6.0,,1.0,,,,4.0,4.0,1.0,,,,,,True,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
12764165,home,Stade Brestois,Soumaila Coulibaly,soumaila-coulibaly,S. Coulibaly,D,44,190,1104,M,1001858,EUR,1066089600,D,44,44,False,52.0,47.0,6.0,4.0,0.0,30.0,31.0,17.0,21.0,4.0,4.0,,,,,90.0,64.0,6.9,5.0,0.00440036,0,,,,2.0,3.0,,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,
12764165,home,Stade Brestois,Mathias Pereira Lage,mathias-pereira-lage,M. P. Lage,M,28,180,341,M,831400,EUR,849312000,D,26,26,False,41.0,34.0,5.0,2.0,0.0,17.0,18.0,17.0,24.0,2.0,6.0,,,,,90.0,72.0,6.6,13.0,0.0151275,3,,1.0,,5.0,7.0,1.0,1.0,,1.0,3.0,4.0,2.0,3.0,0.0915,0.0946,,,,,,,1.0,2.0,2.0,,1.0,1.0,,,,,,,
12764165,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,962,M,916041,EUR,899164800,M,45,45,False,28.0,26.0,,,0.0,10.0,10.0,16.0,18.0,,,,,,,70.0,37.0,6.4,7.0,0.0051847,0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,
12764165,home,Stade Brestois,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,345,M,330099,EUR,829526400,M,6,6,False,60.0,59.0,3.0,3.0,0.0,27.0,27.0,32.0,33.0,1.0,6.0,,,,,90.0,73.0,6.7,4.0,0.282047,2,,,,5.0,2.0,1.0,2.0,,,2.0,2.0,1.0,,0.0595,,1.0,,,,,,2.0,,,,1.0,1.0,,,,,,,
12764165,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,200,M,861324,EUR,896486400,M,8,8,False,27.0,24.0,2.0,,0.0,8.0,8.0,17.0,22.0,1.0,3.0,,,,,61.0,40.0,6.6,7.0,0.012769,2,,3.0,1.0,3.0,2.0,1.0,,,,,1.0,,,0.206,,2.0,,,,,1.0,2.0,1.0,,,2.0,,,,,,,,
12764165,home,Stade Brestois,Kamory Doumbia,kamory-doumbia,K. Doumbia,M,23,170,5647,M,1156353,EUR,1045526400,M,9,9,False,24.0,21.0,2.0,1.0,0.0,8.0,8.0,13.0,17.0,,6.0,,,,,61.0,39.0,6.4,8.0,0.0120815,2,,1.0,,12.0,3.0,4.0,,,1.0,1.0,1.0,,1.0,0.1195,0.0853,,Kamory Doumbia,,,2.0,1.0,3.0,,3.0,,1.0,,kamory_doumbia03,,,,,,
12764165,home,Stade Brestois,Ludovic Ajorque,ludovic-ajorque,L. Ajorque,F,19,196,1471,M,343971,EUR,762134400,F,19,19,False,23.0,19.0,1.0,1.0,0.0,11.0,11.0,8.0,12.0,2.0,1.0,,,,,79.0,31.0,7.1,4.0,0.0548187,1,,,,1.0,5.0,,,,,1.0,,,2.0,0.0271,,2.0,,,,1.0,3.0,,,,,1.0,,,2.0,,,,,
