match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_goalAssist,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_totalCross,stat_dispossessed,stat_accurateCross,stat_bigChanceMissed,stat_hitWoodwork,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalOffside
10411685,home,Juventus,Wojciech Szczęsny,wojciech-szczesny,W. Szczęsny,G,25,196,95111,M,wojciech.szczesny1,50490,EUR,640396800,G,1,1,False,26.0,16.0,13.0,4.0,14.0,17.0,2.0,9.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,33.0,6.3,10.0,0.0,0.0,0.00032222,0,-0.3596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411685,home,Juventus,Danilo,danilo,Danilo,D,13,184,15175,M,Danilo,124992,EUR,679536000,D,6,6,False,62.0,53.0,8.0,3.0,38.0,42.0,15.0,20.0,3.0,6.0,3.0,5.0,,,,,90.0,72.0,7.3,10.0,0.0321,0.2339,0.0136365,1,,True,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10411685,home,Juventus,Bremer,bremer,Bremer,D,3,188,9433,M,Bremer,885197,EUR,858643200,D,3,3,False,36.0,24.0,4.0,1.0,21.0,25.0,3.0,11.0,5.0,8.0,1.0,8.0,,,,,89.0,45.0,8.1,13.0,0.1089,0.2273,0.00083511,1,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10411685,home,Juventus,Alex Sandro,alex-sandro,A. Sandro,D,26,181,13242,M,alxsndro12,84854,EUR,664848000,D,12,12,False,49.0,45.0,3.0,2.0,27.0,28.0,18.0,21.0,1.0,3.0,5.0,10.0,,,,,90.0,62.0,6.3,5.0,0.0,0.0,0.0125433,0,,,6.0,1.0,,,,,,1.0,2.0,1.0,,,,,,,,4.0,,,,,,,,,
10411685,home,Juventus,Juan Cuadrado,juan-cuadrado,J. Cuadrado,M,11,179,11319,M,cuadrado,47743,EUR,580608000,M,11,11,False,38.0,32.0,4.0,3.0,21.0,23.0,11.0,15.0,1.0,3.0,1.0,5.0,,,,,68.0,52.0,7.0,9.0,0.1677,0.3508,0.00618308,2,,,5.0,3.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,
10411685,home,Juventus,Nicolò Fagioli,nicolo-fagioli,N. Fagioli,M,44,178,4280,M,nicolofagioli,901850,EUR,981936000,M,44,44,False,33.0,27.0,2.0,,8.0,8.0,19.0,26.0,,4.0,,3.0,,,,,90.0,47.0,6.2,13.0,0.0,0.0,0.00854912,0,,,5.0,,,,,3.0,3.0,3.0,1.0,1.0,,,,,,,,1.0,,1.0,3.0,,,,,,
10411685,home,Juventus,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186,6499,M,,1087316,EUR,990489600,M,45,45,False,43.0,35.0,1.0,,21.0,25.0,14.0,18.0,2.0,7.0,,4.0,,,,,69.0,54.0,7.1,9.0,0.041,0.0,0.0109956,1,,,2.0,,,,,5.0,2.0,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,
10411685,home,Juventus,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,11335,M,adrienrabiot_25,250737,EUR,796867200,M,25,25,False,28.0,26.0,2.0,1.0,12.0,12.0,14.0,17.0,1.0,4.0,2.0,6.0,,,,,90.0,41.0,7.2,6.0,0.4634,0.5675,0.0128365,1,,,3.0,1.0,1.0,1.0,,2.0,2.0,3.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,
10411685,home,Juventus,Filip Kostić,filip-kostic,F. Kostić,M,18,184,7055,M,filipkostic,126588,EUR,720576000,M,17,17,False,16.0,12.0,2.0,,10.0,11.0,7.0,13.0,1.0,5.0,,1.0,,,,,90.0,39.0,7.1,15.0,0.0,0.0,0.45856,0,,,7.0,2.0,,,,3.0,2.0,2.0,,,,,1.0,2.0,1.0,,5.0,1.0,,8.0,3.0,5.0,,,,,
10411685,home,Juventus,Ángel Di María,angel-di-maria,Á. Di María,F,11,180,84815,M,ÁDiMaría,30027,EUR,571795200,F,22,22,False,18.0,13.0,1.0,,6.0,6.0,9.0,16.0,,5.0,,3.0,,,,,69.0,37.0,7.1,14.0,0.022,0.0,0.0847544,1,,,8.0,4.0,,,,,,,2.0,,,,1.0,6.0,3.0,1.0,3.0,,1.0,4.0,1.0,2.0,,,,,
