match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,from,description
10389972,FT,4.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
10389972,,,,,90,0.0,,1,,,injuryTime,3.0,,,,,,,,,,,
10389972,,,,,89,,,2,,,substitution,,121384185.0,False,True,regular,,,,,,,
10389972,,4.0,1.0,,88,,,3,,,goal,,166765273.0,,True,regular,27014.0,Moussa Sissoko,,,,,
10389972,,,,,84,,,7,,,substitution,,121384101.0,False,True,regular,,,,,,,
10389972,,,,,84,,,7,,,substitution,,121384100.0,False,True,regular,,,,,,,
10389972,,,,,84,,,7,,,substitution,,121384099.0,False,True,regular,,,,,,,
10389972,,,,,73,,,18,,,substitution,,121383931.0,False,False,regular,,,,,,,
10389972,,,,,73,,,18,,,substitution,,121383932.0,False,False,regular,,,,,,,
10389972,,3.0,1.0,,70,,,21,,,goal,,166764325.0,,True,regular,873551.0,Mostafa Mohamed,,,,,
10389972,,,,,67,,,24,,,substitution,,121383857.0,False,True,regular,,,,,,,
10389972,,,,,66,,,25,,,substitution,,121383860.0,False,False,regular,,,,,,,
10389972,,,,,66,,,25,,,substitution,,121383859.0,False,False,regular,,,,,,,
10389972,,,,,66,,,25,,,substitution,,121383858.0,False,False,regular,,,,,,,
10389972,HT,2.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
10389972,,,,,45,0.0,,1,,,injuryTime,2.0,,,,,,,,,,,
10389972,,,,,40,,,6,,,card,,120506150.0,,False,yellow,831400.0,Mathias Pereira Lage,Mathias Pereira Lage,Foul,False,,
10389972,,2.0,1.0,,36,,,10,,,goal,,166761823.0,,True,regular,890329.0,Ignatius Ganago,,,,,
10389972,,1.0,1.0,,35,,,11,,,goal,,166761750.0,,True,penalty,330051.0,Moses Simon,,,,penalty,
10389972,,,,,32,,,14,,,card,,120506079.0,,False,yellow,801306.0,Pierre Lees Melou,Pierre Lees Melou,Foul,False,,
10389972,,0.0,1.0,,18,,,28,,,goal,,166761102.0,,False,regular,960437.0,Noah Fadiga,,,,,
10389972,,,,,12,,,34,,,inGamePenalty,,118408521.0,,True,missed,806076.0,Ludovic Blas,,goalkeeperSave,,,Goalkeeper save
