match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_aerialLost,stat_interceptionWon,stat_accurateCross,stat_wonContest,stat_blockedScoringAttempt,stat_keyPass,stat_dispossessed,stat_outfielderBlock,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_bigChanceCreated,captain,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_goalAssist
11453005,away,Damac FC,Ahmad Zain,ahmad-zain,A. Zain,M,49,177.0,14,M,818809,EUR,678412800,M,49,49,False,22.0,16.0,1.0,,6.0,7.0,10.0,15.0,,4.0,,,,,,,69.0,38.0,6.7,10.0,0,,,,7.0,5.0,4.0,1.0,1.0,,2.0,3.0,1.0,,,2.0,,1.0,,1.0,2.0,1.0,,,1.0,,,,,,
11453005,away,Damac FC,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,8,171.0,4005,M,108673,EUR,736732800,M,31,31,False,40.0,36.0,9.0,8.0,11.0,13.0,26.0,31.0,,4.0,,,,,,,89.0,54.0,8.4,12.0,3,,,4.0,2.0,1.0,,,,,2.0,1.0,,,1.0,,1.0,,,2.0,1.0,,1.0,2.0,2.0,,,1.0,,,2.0
11453005,away,Damac FC,Georges-Kévin N'Koudou,georges-kevin-nkoudou,G. N'Koudou,M,11,172.0,2369,M,342909,EUR,792633600,M,10,10,False,28.0,25.0,3.0,2.0,17.0,18.0,8.0,12.0,,7.0,,,,,,,84.0,43.0,7.7,9.0,2,,,2.0,5.0,6.0,,3.0,2.0,2.0,3.0,2.0,2.0,,2.0,,,2.0,,,,,1.0,1.0,,,,,1.0,1.0,
11453005,away,Damac FC,Assan Ceesay,assan-ceesay,A. Ceesay,F,,188.0,442,M,842158,EUR,763862400,F,9,9,False,17.0,13.0,2.0,1.0,6.0,7.0,7.0,10.0,,2.0,,,,,,,89.0,29.0,6.5,10.0,0,,,,5.0,1.0,1.0,,,,4.0,1.0,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,
11453005,away,Damac FC,Abdullah Al-Qahtani,abdullah-al-qahtani,A. Al-Qahtani,M,7,172.0,38,M,974064,EUR,854668800,M,7,7,True,12.0,12.0,1.0,1.0,4.0,4.0,8.0,8.0,1.0,2.0,,,,,,,21.0,14.0,6.9,,0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,
11453005,away,Damac FC,Ramzi Sawlan,sawlan-ramzi,R. Sawlan,D,15,,23,M,965309,EUR,892857600,F,51,51,True,2.0,2.0,,,2.0,2.0,,2.0,,1.0,,,,,,,16.0,7.0,6.7,2.0,0,,,2.0,1.0,3.0,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,
11453005,away,Damac FC,Abdulaziz Majrashi,abdulaziz-majrashi,A. Majrashi,M,23,173.0,10,M,877163,EUR,826416000,M,23,23,True,12.0,9.0,1.0,,4.0,5.0,5.0,7.0,1.0,,,,,,,,16.0,15.0,6.4,4.0,1,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
11453005,away,Damac FC,Sultan Faqihi,sultan-faqihi,S. Faqihi,D,14,175.0,2,M,868647,EUR,794016000,D,41,41,True,4.0,4.0,,,1.0,1.0,3.0,3.0,,,,,,,,,1.0,5.0,,,0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11453005,away,Damac FC,Abdulaziz Al-Shahrani,abdulaziz-al-shahrani,A. Al-Shahrani,F,80,173.0,20,M,975862,EUR,783388800,M,14,14,True,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,1.0,4.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453005,away,Damac FC,Abdulbasit Hawsawi,abdulbasit-hawsawi,A. Hawsawi,G,22,186.0,17,M,948594,EUR,851126400,G,22,22,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453005,away,Damac FC,Noor Al-Rashidi,noor-al-rashidi,N. Al-Rashidi,D,4,179.0,18,M,1065328,EUR,794966400,D,4,4,True,,,,,,,,,,,,,,,,,,,,,0,Noor Al-Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453005,away,Damac FC,Abdulaziz Makin,abdulaziz-makeen,A. Making,M,12,169.0,12,M,1141407,EUR,993772800,D,12,12,True,,,,,,,,,,,,,,,,,,,,,0,Abdulaziz Makin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453005,away,Damac FC,Fahad Aljuhani,fahad-al-johani,F. Aljuhani,F,19,177.0,7,M,160947,EUR,688435200,F,99,99,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
