match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,player_firstName,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_clearanceOffLine,stat_outfielderBlock,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_totalCross,stat_wonContest,stat_bigChanceCreated,stat_accurateCross,stat_dispossessed,stat_totalOffside,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_lastManTackle,stat_bigChanceMissed,stat_blockedScoringAttempt,player_lastName,player_sofascoreId,stat_shotOffTarget,stat_ownGoals,stat_goals,stat_penaltyWon,stat_penaltyMiss,stat_goalAssist,stat_hitWoodwork
11453047,home,Al-Riyadh,Martín Campaña,martin-campana,M. Campaña,G,25,186.0,179,M,243045,EUR,612403200,G,25,25,False,28.0,11.0,28.0,11.0,1.0,2.0,10.0,26.0,1.0,1.0,1.0,1.0,4.0,15.0,3.0,4.0,1.0,3.0,6.0,2.0,90.0,51.0,8.8,19.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453047,home,Al-Riyadh,Hussain Al-Nuweqi,hussain-al-nuweqi,H. Al-Nuweqi,D,27,170.0,14,M,1525073,EUR,817948800,D,27,27,False,11.0,8.0,,,4.0,4.0,4.0,7.0,1.0,1.0,3.0,2.0,6.0,1.0,,,,,,,89.0,27.0,6.2,7.0,,0,Hussain Al-Nuweqi,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453047,home,Al-Riyadh,Ahmad Asiri,ahmad-asiri,A. Asiri,D,13,179.0,31,M,350060,EUR,690076800,D,29,29,False,10.0,7.0,3.0,2.0,3.0,6.0,4.0,4.0,1.0,1.0,1.0,2.0,7.0,,,,,,,,45.0,23.0,6.9,5.0,,0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11453047,home,Al-Riyadh,Mohammed Al Shwirekh,mohammed-al-shwirekh,M. A. Shwirekh,D,2,179.0,63,M,1519331,EUR,883612800,D,4,4,False,10.0,7.0,3.0,,7.0,9.0,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,90.0,19.0,6.6,4.0,,0,Mohammed Al Shwirekh,,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11453047,home,Al-Riyadh,Khalid Bin Shuwayyi,khalid-bin-shuwayyi,K. B. Shuwayyi,D,75,176.0,10,M,893516,EUR,828921600,D,5,5,False,15.0,10.0,4.0,3.0,6.0,8.0,4.0,8.0,2.0,1.0,4.0,6.0,2.0,3.0,,,,,,,90.0,30.0,5.9,8.0,1.0,0,,1.0,1.0,3.0,,1.0,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11453047,home,Al-Riyadh,Abdulelah Al Khaibari,abdulelah-al-khaibari,A. A. Khaibari,D,80,174.0,142,M,1519328,EUR,864259200,D,8,8,False,19.0,15.0,2.0,2.0,7.0,10.0,10.0,13.0,1.0,1.0,4.0,10.0,2.0,3.0,,,,,,,90.0,46.0,6.7,14.0,,0,Abdulelah Al Khaibari,1.0,2.0,6.0,,3.0,,,3.0,,1.0,4.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
11453047,home,Al-Riyadh,Knowledge Musona,knowledge-musona,K. Musona,M,,174.0,675,M,118368,EUR,645926400,M,11,11,False,16.0,12.0,3.0,2.0,6.0,8.0,6.0,12.0,,1.0,3.0,4.0,3.0,5.0,,,,,,,90.0,32.0,6.7,12.0,,2,,2.0,,2.0,1.0,1.0,,,1.0,,,4.0,,,,,,True,1.0,2.0,1.0,,,,,,,,,,,
11453047,home,Al-Riyadh,Birama Touré,birama-toure,B. Touré,M,60,183.0,134,M,246507,EUR,707788800,M,60,60,False,14.0,8.0,8.0,3.0,7.0,10.0,1.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,,,,,,,90.0,26.0,6.5,7.0,,0,,1.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11453047,home,Al-Riyadh,Didier N'Dong,didier-ndong,D. N'Dong,M,,179.0,1107,M,786029,EUR,771811200,M,20,20,False,23.0,15.0,2.0,1.0,9.0,10.0,6.0,13.0,3.0,,5.0,4.0,1.0,3.0,,,,,,,90.0,34.0,6.6,8.0,,0,,,,4.0,,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,
11453047,home,Al-Riyadh,Abdulhadi Al-Harajin,abdulhadi-al-harajin,A. Al-Harajin,M,8,171.0,18,M,818887,EUR,785289600,M,15,15,False,9.0,7.0,1.0,1.0,4.0,6.0,3.0,3.0,,,2.0,5.0,2.0,5.0,,,,,,,73.0,22.0,6.8,5.0,,1,,,1.0,,3.0,5.0,,,,,2.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,
