match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,captain,stat_bigChanceCreated,stat_outfielderBlock,stat_goodHighClaim,stat_goalAssist,stat_goals
10913369,home,Al-Shabab,Seung-gyu Kim,seung-gyu-kim,S. Kim,G,81,187.0,324,M,235686,EUR,654652800,G,18,18,False,22.0,18.0,9.0,5.0,16.0,17.0,2.0,5.0,1.0,1.0,7.0,1.0,2.0,90.0,32.0,5.8,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913369,home,Al-Shabab,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176.0,240,M,818572,EUR,830217600,D,27,27,False,28.0,22.0,1.0,,9.0,11.0,16.0,24.0,2.0,,5.0,,,90.0,56.0,6.4,13.0,0,7.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10913369,home,Al-Shabab,Iago Santos,iago-santos,I. Santos,D,4,188.0,76,M,584430,EUR,706492800,D,4,4,False,58.0,52.0,10.0,6.0,30.0,31.0,22.0,27.0,2.0,,9.0,,,90.0,74.0,6.8,9.0,1,,,1.0,5.0,,3.0,1.0,2.0,1.0,2.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10913369,home,Al-Shabab,Hassan Al Tambakti,hassan-al-tambakti,H. A. Tambakti,D,87,182.0,1188,M,881837,EUR,918518400,D,5,5,False,25.0,25.0,2.0,2.0,14.0,14.0,11.0,11.0,1.0,,3.0,,,45.0,30.0,6.6,,0,,,1.0,5.0,,1.0,1.0,1.0,,,,,,,,,,3.0,1.0,,,,,,,,,,,
10913369,home,Al-Shabab,Hussain Al-Sebyani,hussain-alsebyani,H. Alsebyani,M,16,168.0,15,M,1152012,EUR,993340800,D,16,16,False,32.0,27.0,2.0,1.0,13.0,15.0,14.0,19.0,4.0,,6.0,,,90.0,60.0,6.5,14.0,1,2.0,,,7.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,,5.0,,,,,3.0,2.0,Hussain Alsebyani,,1.0,1.0,,,,,,,
10913369,home,Al-Shabab,Husain Al-Qahtani,husain-al-monassar,H. Al-Qahtani,M,52,177.0,32,M,893218,EUR,787881600,M,15,15,False,80.0,77.0,10.0,9.0,32.0,33.0,45.0,47.0,8.0,2.0,10.0,,,87.0,95.0,6.7,9.0,2,,,,2.0,,4.0,1.0,,2.0,1.0,1.0,,2.0,,1.0,,1.0,,2.0,,,1.0,,1.0,,,,,,
10913369,home,Al-Shabab,Grzegorz Krychowiak,grzegorz-krychowiak,G. Krychowiak,M,4,187.0,2715,M,76227,EUR,633571200,M,23,23,False,51.0,44.0,9.0,5.0,27.0,28.0,18.0,24.0,3.0,1.0,2.0,,,90.0,64.0,7.0,7.0,0,1.0,1.0,,6.0,,,,,4.0,2.0,2.0,,,,,,,4.0,1.0,Grzegorz,Krychowiak,1.0,,,,,,,,
10913369,home,Al-Shabab,Aaron-Salem Boupendza,aaron-salem-boupendza,A. Boupendza,F,9,180.0,1126,M,891419,EUR,839376000,M,9,9,False,16.0,13.0,1.0,,4.0,4.0,9.0,13.0,2.0,,2.0,,,61.0,21.0,6.2,6.0,0,1.0,,,1.0,,2.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,
10913369,home,Al-Shabab,Cristian Guanca,cristian-guanca,C. Guanca,M,10,177.0,565,M,789438,EUR,733190400,M,8,8,False,18.0,16.0,2.0,2.0,4.0,5.0,13.0,16.0,6.0,1.0,2.0,,,60.0,29.0,5.9,7.0,1,3.0,1.0,,2.0,1.0,3.0,2.0,,,,,,1.0,,1.0,,1.0,,2.0,,,1.0,,,True,1.0,,,,
10913369,home,Al-Shabab,Carlos Junior,carlos-junior,C. Junior,M,13,176.0,437,M,555624,EUR,808444800,M,13,13,False,12.0,11.0,,,4.0,4.0,7.0,9.0,7.0,,3.0,,,75.0,31.0,6.0,10.0,2,1.0,,1.0,5.0,4.0,4.0,1.0,1.0,,2.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,
