match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalTackle,stat_wonTackle,stat_totalOffside,player_lastName,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_keyPass,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_blockedScoringAttempt,captain,stat_goalAssist,stat_bigChanceCreated,stat_goals
10825444,home,South Shields,Myles Boney,myles-boney,M. Boney,G,41,180.0,9,M,789060,EUR,886291200,G,1,1,False,37.0,20.0,26.0,9.0,18.0,20.0,2.0,17.0,3.0,13.0,1.0,2.0,2.0,2.0,90.0,51.0,6.6,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10825444,home,South Shields,Dillon Morse,dillon-morse,D. Morse,D,5,190.0,7,M,1088198,EUR,779328000,D,5,5,False,31.0,18.0,9.0,1.0,16.0,22.0,2.0,9.0,1.0,4.0,,,,,85.0,40.0,6.4,17.0,1,Dillon Morse,1.0,4.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10825444,home,South Shields,Gary Liddle,gary-liddle,G. Liddle,D,4,185.0,6,M,13072,EUR,519177600,D,4,4,False,43.0,35.0,6.0,1.0,33.0,37.0,2.0,6.0,1.0,7.0,,,,,90.0,49.0,6.4,8.0,0,,5.0,1.0,5.0,4.0,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,
10825444,home,South Shields,Tom Broadbent,tom-broadbent,T. Broadbent,D,,191.0,8,M,888811,EUR,694224000,D,3,3,False,48.0,36.0,6.0,2.0,22.0,28.0,14.0,20.0,2.0,4.0,,,,,85.0,62.0,6.7,15.0,1,,2.0,3.0,5.0,6.0,3.0,,,5.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,
10825444,home,South Shields,Conor Newton,conor-newton,C. Newton,M,,181.0,3,,303684,EUR,687657600,M,2,2,False,40.0,31.0,6.0,1.0,15.0,18.0,17.0,23.0,,7.0,,,,,90.0,66.0,6.9,15.0,1,,,1.0,3.0,3.0,2.0,1.0,1.0,4.0,,,,2.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,
10825444,home,South Shields,Martin Smith,martin-smith,M. Smith,M,6,178.0,6,M,586884,EUR,812592000,M,6,6,False,68.0,58.0,18.0,13.0,33.0,33.0,25.0,36.0,,3.0,,,,,90.0,84.0,7.3,13.0,1,,1.0,1.0,5.0,6.0,2.0,,,1.0,,1.0,2.0,4.0,2.0,,,,,1.0,1.0,1.0,,,,,,,
10825444,home,South Shields,Michael Woods,michael-woods,M. Woods,M,,183.0,4,M,44155,EUR,639360000,M,8,8,False,34.0,29.0,1.0,,17.0,18.0,12.0,17.0,1.0,4.0,,,,,90.0,51.0,6.8,10.0,4,,1.0,2.0,2.0,4.0,,,,1.0,3.0,1.0,,,,,,1.0,1.0,2.0,,1.0,,1.0,2.0,,,,
10825444,home,South Shields,Blair Adams,blair-adams,B. Adams,D,,180.0,1,M,140099,EUR,684288000,M,11,11,False,37.0,27.0,3.0,1.0,15.0,17.0,13.0,22.0,,1.0,,,,,90.0,56.0,7.0,14.0,1,,,,2.0,4.0,,,,3.0,,1.0,1.0,3.0,3.0,,,,,1.0,1.0,2.0,1.0,1.0,,True,,,
10825444,home,South Shields,Mackenzie Heaney,mackenzie-heaney,M. Heaney,M,7,184.0,4,M,826140,EUR,915235200,F,10,10,False,36.0,26.0,4.0,2.0,13.0,16.0,14.0,25.0,,8.0,,,,,90.0,52.0,6.6,21.0,1,,,1.0,8.0,4.0,6.0,,,,1.0,1.0,1.0,,,,,2.0,2.0,1.0,1.0,5.0,1.0,1.0,,,,,
10825444,home,South Shields,Dylan Mottley Henry,dylan-mottley-henry,D. M. Henry,F,11,178.0,13,M,761382,EUR,870480000,F,7,7,False,14.0,11.0,,,3.0,4.0,8.0,11.0,,,,,,,90.0,30.0,6.3,9.0,0,Dylan,10.0,,15.0,3.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,Mottley Henry,3.0,1.0,,,1.0,,,,,,,
