match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_expectedGoals,stat_shotValueNormalized,stat_aerialWon,stat_shotOffTarget,stat_wonTackle,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_accurateCross,stat_dispossessed,stat_fouls,stat_keyPass,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_wasFouled,stat_totalOffside,stat_punches,stat_outfielderBlock,stat_lastManTackle
14566664,home,Manchester City,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,70015,M,donnarumma,824509,EUR,919900800,G,25,25,False,19.0,16.0,3.0,0.0,16.0,16.0,3.0,9.0,1.0,1.0,1.0,90.0,25.0,7.3,3.0,7.194e-05,20.916,4.72775,0.0,0.4002,0,0.7295,0.0,0.0,0.18,0.36,3.43,1.19,0.09,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566664,home,Manchester City,Abdukodir Khusanov,abdukodir-khusanov,A. Khusanov,D,45,186,86376,M,abdukodir_khusanov,1194333,EUR,1078012800,D,45,45,False,79.0,78.0,2.0,0.0,12.0,12.0,67.0,,,,,90.0,93.0,6.9,3.0,0.0690287,29.52,10.23644,11.0,,1,,-0.11,0.14,0.0,,3.11,4.93,1.44,0.51,0.24,2.0,66.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0124,-0.07,,,,,,,,,,,,,,,,,,,,,,,
14566664,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40381,M,RúbenD,318941,EUR,863568000,D,3,3,False,96.0,88.0,2.0,0.0,15.0,18.0,78.0,2.0,,,,90.0,103.0,7.1,10.0,0.0763585,26.928,10.43912,3.0,,2,,0.23,0.32,0.18,,2.92,5.53,1.42,0.5,0.08,2.0,73.0,2.0,4.0,4.0,4.0,,1.0,1.0,,1.0,0.0965,-0.36,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14566664,home,Manchester City,Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50024,M,JGvardiol,964994,EUR,1011744000,D,24,24,False,80.0,76.0,3.0,0.0,18.0,18.0,62.0,8.0,,,,80.0,89.0,8.0,5.0,0.0967881,29.196,9.15595,6.0,,3,,0.43,0.42,0.16,,2.55,4.47,1.44,0.56,0.14,2.0,58.0,,1.0,1.0,2.0,,1.0,1.0,3.0,,0.1013,0.21,1.0,1.0,,1.0,1.0,1.0,1.0,0.5458,,,,,,,,,,,,,,,
14566664,home,Manchester City,Nico O'Reilly,nico-o-reilly,N. O’Reilly,D,33,193,16113,M,,1142703,EUR,1111363200,D,33,33,False,70.0,63.0,2.0,0.0,8.0,10.0,60.0,2.0,,,,90.0,89.0,7.2,12.0,0.145131,29.448,10.65821,10.0,,2,,0.13,0.38,0.2,,2.97,5.55,1.4,0.5,0.23,,55.0,2.0,,2.0,3.0,,1.0,,,1.0,0.1076,0.11,2.0,,1.0,,,1.0,2.0,0.5368,Nico,O’Reilly,1.0,1.0,1.0,,,,,,,,,,
14566664,home,Manchester City,Rodri,rodri,Rodri,M,16,191,87652,M,Rodri,827606,EUR,835401600,M,16,16,False,95.0,87.0,7.0,0.0,19.0,21.0,74.0,6.0,,,,60.0,109.0,8.3,11.0,0.202331,27.144,7.47268,2.0,,1,,0.57,0.27,0.21,,1.74,3.99,1.37,0.32,0.04,5.0,68.0,,,,6.0,,,3.0,1.0,2.0,0.0414,0.13,4.0,,2.0,,,1.0,2.0,0.1652,,,,,,3.0,,,,,,,,,
14566664,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62462,M,BSilva,331209,EUR,776476800,M,20,20,False,66.0,64.0,5.0,0.0,8.0,8.0,58.0,2.0,,,,90.0,76.0,7.1,4.0,0.312694,25.884,11.17239,2.0,,0,,0.25,0.13,0.19,,3.04,5.49,1.96,0.63,0.05,4.0,56.0,2.0,1.0,2.0,3.0,,,1.0,,3.0,,,,,2.0,1.0,,,,,,,1.0,,,2.0,True,,,,,,,,
14566664,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,173851,M,Foden,859765,EUR,959472000,M,47,47,False,65.0,56.0,3.0,1.0,9.0,10.0,55.0,1.0,,,,90.0,82.0,7.6,17.0,1.5531,28.764,11.57492,7.0,,2,,0.66,0.35,-0.02,,2.8,6.29,1.71,0.6,0.18,2.0,47.0,11.0,,1.0,,,,1.0,,,0.0908,-0.53,,1.0,,,,1.0,1.0,0.0265,,,5.0,1.0,,8.0,,1.0,,,,,,,
14566664,home,Manchester City,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38547,M,tijjanireijnders,893549,EUR,901670400,M,4,4,False,44.0,41.0,1.0,1.0,7.0,7.0,37.0,5.0,,,,80.0,59.0,6.6,8.0,0.32925,27.936,9.50609,4.0,,5,,0.04,0.32,-0.1,,2.54,4.87,1.48,0.51,0.11,1.0,34.0,2.0,,6.0,,2.0,1.0,,,,0.5784,0.04,,2.0,,1.0,,2.0,1.0,0.3881,,,1.0,2.0,1.0,2.0,,1.0,1.0,,,,,,
14566664,home,Manchester City,Jérémy Doku,jeremy-doku,J. Doku,M,11,173,71179,M,Dokss,934386,EUR,1022457600,M,11,11,False,49.0,42.0,,0.0,3.0,3.0,46.0,3.0,,,,69.0,65.0,8.4,13.0,0.177857,28.656,7.68732,5.0,,2,,0.0,0.82,0.14,,2.42,3.66,1.03,0.47,0.11,,39.0,2.0,,5.0,5.0,,1.0,,1.0,,0.3489,0.49,,,,3.0,2.0,1.0,1.0,0.6088,,,1.0,3.0,1.0,4.0,,1.0,,1.0,3.0,1.0,,,
