match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,player_jerseyNumber,stat_aerialWon,stat_challengeLost,stat_wasFouled,stat_accurateCross,stat_wonContest,stat_unsuccessfulTouch,stat_totalOffside,stat_aerialLost,stat_dispossessed,stat_onTargetScoringAttempt,captain,stat_bigChanceCreated,stat_shotOffTarget,player_sofascoreId,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goodHighClaim,stat_goalAssist,stat_goals
11453104,home,Abha,Ciprian Tătărușanu,ciprian-tatarusanu,C. Tătărușanu,G,198.0,624,M,44453,EUR,508291200,G,16,16,False,26.0,23.0,5.0,2.0,22.0,24.0,1.0,2.0,7.0,2.0,4.0,2.0,1.0,90.0,35.0,6.2,3.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453104,home,Abha,Saleh Al Qumayzi,saleh-al-qumayzi,S. Al Qumayzi,D,180.0,9,M,160891,EUR,688780800,D,17,17,False,35.0,29.0,5.0,1.0,24.0,25.0,5.0,12.0,3.0,,,,,90.0,49.0,5.7,10.0,,0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11453104,home,Abha,Saad Natiq,saad-natiq,S. Natiq,D,188.0,510,M,836756,EUR,764035200,D,4,4,False,20.0,19.0,5.0,4.0,15.0,15.0,4.0,5.0,1.0,,,,,45.0,24.0,5.9,1.0,,0,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11453104,home,Abha,Fabián Noguera,fabian-noguera,F. Noguera,D,192.0,73,M,581620,EUR,732585600,D,18,18,False,17.0,13.0,2.0,,11.0,11.0,2.0,6.0,3.0,,,,,86.0,23.0,5.9,5.0,,0,,1.0,2.0,,,,2.0,1.0,1.0,,,,29,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11453104,home,Abha,Fahad Bin Jumayah,fahad-bin-jumayah,F. B. Jumayah,D,170.0,22,M,893514,EUR,800064000,M,14,14,False,32.0,28.0,2.0,1.0,11.0,13.0,18.0,23.0,3.0,,,,,90.0,61.0,6.6,11.0,,0,4.0,5.0,6.0,2.0,3.0,,2.0,1.0,1.0,,,,14,,4.0,4.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,
11453104,home,Abha,Zakaria Al-Sudani,zakaria-al-sudani,Z. Al-Sudani,M,183.0,5,M,328851,EUR,712195200,M,21,21,False,28.0,26.0,1.0,1.0,7.0,7.0,19.0,21.0,2.0,,,,,86.0,43.0,6.6,8.0,,1,,4.0,6.0,1.0,,,1.0,4.0,3.0,2.0,,,,,1.0,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,
11453104,home,Abha,Grzegorz Krychowiak,grzegorz-krychowiak,G. Krychowiak,M,187.0,2715,M,76227,EUR,633571200,M,5,5,False,49.0,41.0,5.0,4.0,21.0,24.0,20.0,25.0,5.0,,,,,90.0,58.0,6.3,11.0,,0,,2.0,1.0,,1.0,,,1.0,,,Grzegorz,Krychowiak,4,,1.0,,,,1.0,,,1.0,,,,,,,,,,
11453104,home,Abha,Mohammed Al Oufi,mohammed-al-oufi,M. A. Oufi,D,168.0,14,M,1050350,EUR,1028764800,M,24,24,False,12.0,10.0,1.0,1.0,3.0,4.0,7.0,10.0,1.0,,,,,45.0,21.0,6.2,8.0,,0,2.0,2.0,1.0,1.0,,,,,,,Mohammed Al Oufi,,23,,1.0,1.0,,,2.0,,,,,,,,,,,,,
11453104,home,Abha,Saad Bguir,bguir-saad,S. Bguir,M,178.0,637,M,563030,EUR,764294400,F,10,10,False,32.0,23.0,4.0,1.0,8.0,10.0,19.0,30.0,1.0,,,,,90.0,54.0,7.3,17.0,2.0,1,8.0,3.0,7.0,2.0,,,,1.0,1.0,2.0,Saad,Bguir,18,,,4.0,4.0,2.0,2.0,,,1.0,,True,1.0,1.0,,,,,,
11453104,home,Abha,Ahmed Abdu,ahmed-abdoh-jaber,A. Abdu,F,183.0,56,M,873363,EUR,822528000,F,71,71,False,13.0,9.0,1.0,,5.0,5.0,4.0,8.0,3.0,,,,,73.0,19.0,6.3,7.0,,1,,7.0,2.0,,,,,,,3.0,,,71,,1.0,2.0,,,1.0,1.0,1.0,2.0,,,,1.0,,,,,,
11453104,home,Abha,Karl Toko Ekambi,karl-toko-ekambi,K. Toko Ekambi,F,183.0,3818,M,842931,EUR,716428800,F,7,7,False,20.0,19.0,,,6.0,6.0,13.0,14.0,3.0,,,,,90.0,34.0,6.7,4.0,,4,,2.0,5.0,2.0,1.0,,1.0,,,,,,9,1.0,,2.0,,2.0,1.0,,,2.0,,,,3.0,karltokoekambi,1.0,1.0,,,
11453104,home,Abha,Mohammed Al-Konaideri,mohammed-al-konaideri,M. Al-Konaideri,D,175.0,21,M,1019340,EUR,971222400,D,13,13,True,14.0,8.0,,,1.0,3.0,7.0,13.0,2.0,,,,,45.0,22.0,6.7,8.0,,0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,12,,1.0,,,,,,1.0,,,,,,,,,,,
11453104,home,Abha,François Kamano,francois-kamano,F. Kamano,M,182.0,1456,M,580800,EUR,830995200,F,11,11,True,11.0,11.0,,,2.0,2.0,10.0,11.0,1.0,,,,,45.0,18.0,6.9,2.0,3.0,2,2.0,1.0,1.0,,,,,,,,,,45,,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,
11453104,home,Abha,Hassan Hashim Al-Ali,hassan-hashim-al-ali,H. H. A. Ali,F,175.0,30,M,1066734,EUR,1013299200,F,9,9,True,2.0,2.0,1.0,1.0,,,2.0,2.0,,,,,,17.0,7.0,6.5,2.0,,1,,4.0,1.0,1.0,,,,,,,Hassan Hashim Al Ali,,11,,2.0,1.0,,,,,,1.0,,,,1.0,,,,,,
11453104,home,Abha,Ziyad Al-Sahafi,ziyad-al-sahafi,Z. Al-Sahafi,D,182.0,36,M,831259,EUR,782352000,D,30,30,True,4.0,2.0,1.0,,2.0,3.0,,1.0,,,,,,8.0,4.0,6.4,2.0,,0,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,
