match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_wonContest,stat_fouls,stat_shotOffTarget,stat_penaltyWon,captain,stat_interceptionWon,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_goodHighClaim,stat_penaltyFaced,stat_bigChanceCreated,stat_outfielderBlock,stat_penaltyConceded,stat_bigChanceMissed
11143413,home,Manchester City,Stefan Ortega,stefan-ortega,S. Ortega,G,27,186,11780,M,stefan.ortega1,125274,EUR,721008000,G,18,18,False,48.0,44.0,12.0,8.0,43.0,46.0,1.0,2.0,5.0,1.0,1.0,90.0,52.0,7.2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11143413,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26433,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,88.0,77.0,3.0,2.0,38.0,39.0,40.0,52.0,6.0,,,90.0,107.0,7.1,17.0,1,,,3.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
11143413,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22626,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,99.0,92.0,5.0,3.0,59.0,60.0,33.0,39.0,7.0,,,90.0,107.0,7.0,9.0,0,,,,,1.0,4.0,4.0,6.0,1.0,,2.0,,3.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
11143413,home,Manchester City,Aymeric Laporte,aymeric-laporte,A. Laporte,D,14,191,10350,M,laporte27,149734,EUR,769996800,D,14,14,False,95.0,86.0,4.0,3.0,49.0,56.0,37.0,39.0,6.0,,,90.0,103.0,7.4,11.0,0,,,,,2.0,2.0,5.0,6.0,,2.0,,,,4.0,1.0,,,,,1.0,,,,,,,,,,,,,,
11143413,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62462,M,BSilva,331209,EUR,776476800,M,20,20,False,57.0,53.0,4.0,4.0,20.0,21.0,33.0,38.0,3.0,,,81.0,75.0,7.0,10.0,1,,,2.0,,1.0,,6.0,5.0,2.0,2.0,2.0,,,2.0,2.0,1.0,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,
11143413,home,Manchester City,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,50691,M,IGunny,45853,EUR,656726400,M,8,8,False,82.0,76.0,5.0,3.0,31.0,34.0,45.0,49.0,7.0,,,75.0,89.0,7.1,8.0,1,,,1.0,,2.0,2.0,4.0,3.0,,,2.0,,,,,,,,1.0,1.0,1.0,,True,1.0,3.0,,,,,,,,,
11143413,home,Manchester City,Sergio Gómez,sergio-gomez,S. Gómez,M,17,171,4433,M,sergiogm_10,855835,EUR,968025600,M,21,21,False,101.0,92.0,7.0,2.0,31.0,36.0,61.0,69.0,7.0,,,90.0,122.0,7.0,13.0,2,,,4.0,,3.0,1.0,4.0,7.0,1.0,,2.0,2.0,1.0,,,,4.0,,2.0,,,,,1.0,1.0,,,,,,,,,
11143413,home,Manchester City,Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,225448,M,LaAraña,944656,EUR,949276800,M,19,19,False,24.0,20.0,,,5.0,6.0,16.0,20.0,2.0,,,90.0,43.0,6.5,14.0,3,,,2.0,1.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,,,,,6.0,1.0,,,,2.0,,,,,1.0,,,,,,,,
11143413,home,Manchester City,Riyad Mahrez,riyad-mahrez,R. Mahrez,M,7,179,70718,M,RMahrez,158213,EUR,667094400,F,26,26,False,58.0,52.0,1.0,1.0,11.0,12.0,43.0,56.0,3.0,,,90.0,85.0,9.9,19.0,4,,,10.0,2.0,,1.0,1.0,8.0,,,3.0,,,3.0,2.0,3.0,2.0,,2.0,,1.0,,,,2.0,3.0,3.0,,,,,,,
11143413,home,Manchester City,Erling Haaland,erling-haaland,E. Haaland,F,9,194,849024,M,EHaaland,839956,EUR,964137600,F,9,9,False,9.0,8.0,,,1.0,1.0,7.0,8.0,,,,68.0,12.0,6.6,2.0,1,,,,,1.0,,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
11143413,home,Manchester City,Jack Grealish,jack-grealish,J. Grealish,M,18,180,57959,M,JGrealish,189061,EUR,810691200,F,10,10,False,37.0,36.0,,,5.0,5.0,31.0,32.0,2.0,,,67.0,44.0,7.1,3.0,0,,,,,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,3.0,,,1.0,,,,,,
11143413,home,Manchester City,Cole Palmer,cole-palmer,C. Palmer,M,10,185,364912,M,ColdPalmer,982780,EUR,1020643200,M,80,80,True,8.0,7.0,1.0,1.0,2.0,2.0,5.0,6.0,1.0,,,23.0,13.0,6.6,2.0,1,,,,,,,2.0,2.0,,,2.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
11143413,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,173851,M,Foden,859765,EUR,959472000,M,47,47,True,17.0,15.0,1.0,1.0,5.0,6.0,10.0,11.0,2.0,,,22.0,23.0,6.9,3.0,0,,,,,,1.0,1.0,5.0,,,1.0,,,1.0,,,3.0,,,,,,,,1.0,,,,,,,,,
11143413,home,Manchester City,Kalvin Phillips,kalvin-phillips,K. Phillips,M,27,177,9230,M,kalvinphillips,786028,EUR,817862400,M,4,4,True,17.0,17.0,,,9.0,9.0,8.0,8.0,,,,15.0,18.0,6.5,1.0,0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
