match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_challengeLost,stat_interceptionWon,stat_fouls,stat_onTargetScoringAttempt,stat_wasFouled,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,captain,stat_goals,stat_totalOffside,stat_ownGoals,stat_errorLeadToAGoal,stat_hitWoodwork
10408544,home,Celta Vigo,Iván Villar,ivan-villar,I. Villar,G,1,183,223,M,848980,EUR,868406400,G,13,13,False,23.0,13.0,16.0,6.0,8.0,9.0,5.0,14.0,1.0,1.0,1.0,7.0,1.0,1.0,3.0,1.0,90.0,32.0,7.2,10.0,0.0,0.0,0.00107816,0,0.3324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408544,home,Celta Vigo,Kevin Vázquez,kevin-vazquez,K. Vázquez,D,20,173,142,M,795257,EUR,732844800,D,20,20,False,31.0,22.0,7.0,1.0,10.0,14.0,12.0,17.0,2.0,2.0,2.0,7.0,,,,,90.0,45.0,7.0,10.0,0.0,0.0,0.00780427,0,,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10408544,home,Celta Vigo,Joseph Aidoo,joseph-aidoo,J. Aidoo,D,4,184,857,M,796320,EUR,812332800,D,15,15,False,20.0,18.0,2.0,2.0,15.0,17.0,3.0,3.0,,3.0,5.0,4.0,,,,,90.0,32.0,7.0,2.0,0.0,0.0,0.00104108,0,,2.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10408544,home,Celta Vigo,Unai Núñez,unai-nunez,U. Núñez,D,4,186,733,M,892521,EUR,854582400,D,4,4,False,33.0,31.0,4.0,4.0,21.0,22.0,10.0,11.0,,2.0,1.0,4.0,,,,,90.0,40.0,7.2,2.0,0.1554,0.1476,0.00325964,1,,3.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10408544,home,Celta Vigo,Javi Galán,javi-galan,J. Galán,D,20,172,2472,M,825133,EUR,785203200,D,17,17,False,44.0,31.0,10.0,8.0,11.0,19.0,23.0,31.0,1.0,6.0,3.0,4.0,,,,,90.0,86.0,8.1,19.0,0.0,0.0,0.398856,0,,13.0,7.0,6.0,,2.0,2.0,2.0,2.0,,2.0,,3.0,1.0,6.0,3.0,1.0,3.0,,,,,,,,,,,,,,
10408544,home,Celta Vigo,Carles Pérez,carles-perez,C. Pérez,M,7,172,1038,M,794950,EUR,887587200,M,7,7,False,25.0,22.0,4.0,3.0,10.0,11.0,12.0,16.0,,6.0,1.0,7.0,,,,,84.0,40.0,6.9,10.0,0.0491,0.2916,0.127602,2,,2.0,2.0,2.0,,,,,3.0,,2.0,1.0,,,2.0,,3.0,3.0,,,2.0,1.0,1.0,,,,,,,,,
10408544,home,Celta Vigo,Fran Beltrán,fran-beltran,F. Beltrán,M,8,170,770,M,835484,EUR,918000000,M,8,8,False,32.0,26.0,4.0,3.0,16.0,18.0,10.0,14.0,1.0,6.0,,3.0,,,,,90.0,47.0,6.7,7.0,0.0673,0.0,0.00972367,2,,8.0,5.0,4.0,,2.0,1.0,,1.0,,3.0,,2.0,,,,,,,,,,2.0,,,,,,,,,
10408544,home,Celta Vigo,Gabri Veiga,gabri-veiga,G. Veiga,M,10,184,5203,M,1010505,EUR,1022457600,M,24,24,False,19.0,14.0,3.0,3.0,3.0,5.0,11.0,15.0,1.0,4.0,,4.0,,,,,72.0,40.0,7.9,11.0,0.0913,0.1678,0.299992,1,,9.0,3.0,3.0,,3.0,1.0,,2.0,1.0,,1.0,3.0,,1.0,,4.0,3.0,,,1.0,1.0,,,,,,,,,,
10408544,home,Celta Vigo,Luca De La Torre,luca-de-la-torre,L. D. L. Torre,M,14,178,551,M,846492,EUR,895881600,M,23,23,False,26.0,20.0,1.0,,11.0,13.0,9.0,13.0,1.0,2.0,,4.0,,,,,72.0,39.0,7.0,9.0,0.0142,0.0,0.0143652,1,,4.0,1.0,1.0,,3.0,3.0,,,2.0,1.0,,,,,,3.0,,,,,,1.0,,,,,,,,,
10408544,home,Celta Vigo,Haris Seferović,haris-seferovic,H. Seferović,F,9,189,1003,M,50899,EUR,698716800,F,22,22,False,16.0,13.0,2.0,2.0,7.0,9.0,7.0,8.0,1.0,3.0,,3.0,,,,,71.0,23.0,6.5,5.0,0.4077,0.1682,0.0121701,2,,2.0,3.0,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,
