match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_challengeLost,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_totalContest,stat_totalCross,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_wasFouled,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,stat_penaltyConceded,stat_totalOffside,player_sofascoreId,stat_goodHighClaim,stat_bigChanceCreated,stat_goals
14566883,home,SK Slavia Praha,Jakub Markovič,jakub-markovic,J. Markovič,G,35,187,112,M,907172,EUR,994982400,G,35,35,False,32.0,22.0,18.0,8.0,0.0,16.0,19.0,6.0,13.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,90.0,40.0,6.7,10.0,0.00138667,19.98,5.43261,0.0,0.7912,0,-0.4773,0.03,-0.04,-0.74,0.51,3.69,1.55,0.17,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566883,home,SK Slavia Praha,Tomáš Vlček,tomas-vlcek,T. Vlček,D,27,181,106,M,907174,EUR,983318400,D,27,27,False,17.0,10.0,3.0,1.0,0.0,6.0,8.0,4.0,9.0,1.0,,3.0,1.0,1.0,2.0,,,,,,,,70.0,31.0,5.9,10.0,0.156047,29.916,7.36681,6.0,,0,,0.22,,-0.52,,2.3,3.49,1.04,0.4,0.14,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14566883,home,SK Slavia Praha,Štěpán Chaloupek,stepan-chaloupek,S. Chaloupek,D,2,190,185,M,1144329,EUR,1047081600,D,2,2,False,27.0,19.0,6.0,1.0,0.0,19.0,21.0,,6.0,1.0,2.0,3.0,4.0,10.0,4.0,,,,,,,,90.0,52.0,6.1,13.0,0.0003928,27.108,9.47752,4.0,,0,,0.02,0.0,-0.41,,2.83,4.56,1.49,0.5,0.1,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14566883,home,SK Slavia Praha,David Zima,zima-david,D. Zima,D,4,190,299,M,963084,EUR,973641600,D,4,4,False,27.0,24.0,2.0,2.0,0.0,16.0,18.0,8.0,9.0,3.0,5.0,3.0,5.0,3.0,3.0,,,,,,,,90.0,35.0,6.1,4.0,0.0599827,27.684,10.11776,8.0,,0,,0.02,0.4,-0.37,,2.77,4.78,1.67,0.73,0.17,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
14566883,home,SK Slavia Praha,David Moses,moses-david,D. Moses,M,16,171,529,M,1435367,EUR,1074556800,M,16,16,False,13.0,9.0,2.0,1.0,0.0,2.0,3.0,7.0,10.0,,,4.0,2.0,2.0,2.0,,,,,,,,74.0,21.0,6.2,7.0,0.00450252,30.924,8.32186,16.0,,0,,0.11,0.03,-0.16,,2.41,3.67,1.27,0.64,0.34,,2.0,2.0,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,
14566883,home,SK Slavia Praha,Christos Zafeiris,christos-zafeiris,C. Zafeiris,M,20,172,2144,M,1026524,EUR,1045958400,M,10,10,False,11.0,9.0,4.0,2.0,0.0,2.0,2.0,7.0,9.0,,,5.0,2.0,3.0,1.0,,,,,,,,70.0,24.0,6.3,5.0,0.0159639,27.792,8.47146,7.0,,3,,0.17,0.03,-0.11,,2.03,4.07,1.56,0.66,0.15,,2.0,2.0,1.0,,2.0,,,,,1.0,1.0,1.0,3.0,0.1294,-0.52,,,,,,,,,,,,,
14566883,home,SK Slavia Praha,Michal Sadílek,michal-sadilek,M. Sadílek,M,23,168,329,M,825731,EUR,928108800,M,23,23,False,23.0,21.0,1.0,1.0,0.0,12.0,12.0,9.0,11.0,,2.0,2.0,6.0,,6.0,,,,,,,,90.0,35.0,6.9,4.0,0.0212587,28.512,10.78906,12.0,,0,,0.12,0.04,-0.13,,2.26,4.86,2.41,1.0,0.26,1.0,2.0,1.0,1.0,,2.0,,3.0,,,,3.0,,,,,2.0,3.0,,,,,,,,,,,
14566883,home,SK Slavia Praha,Youssoupha Mbodji,youssoupha-mbodji,Y. Mbodji,D,12,190,2196,M,2186126,EUR,1073606400,M,12,12,False,13.0,11.0,,,0.0,4.0,5.0,7.0,8.0,,2.0,4.0,6.0,6.0,3.0,,,,,,,,90.0,43.0,6.8,10.0,0.125732,30.78,10.19786,17.0,,2,,0.22,-0.35,-0.06,,3.04,4.32,1.62,0.85,0.37,1.0,3.0,3.0,,,1.0,4.0,1.0,,,1.0,4.0,1.0,1.0,0.055,-0.1,1.0,,1.0,1.0,0.1209,,,,,,,,
14566883,home,SK Slavia Praha,Lukáš Provod,lukas-provod,L. Provod,F,17,189,537,M,846122,EUR,846028800,F,17,17,False,31.0,21.0,7.0,4.0,0.0,8.0,9.0,13.0,22.0,2.0,2.0,6.0,5.0,,2.0,,,,,,,,90.0,49.0,7.4,19.0,0.0652193,30.312,10.69202,14.0,,2,,0.28,0.23,-0.01,,2.67,4.78,2.11,0.81,0.33,,,3.0,1.0,1.0,,4.0,,,,,3.0,1.0,1.0,0.0925,-0.21,,3.0,,,,True,1.0,1.0,1.0,,,,
14566883,home,SK Slavia Praha,Tomáš Chorý,tomas-chory,T. Chorý,F,25,199,1042,M,188307,EUR,791078400,F,25,25,False,7.0,4.0,,,0.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,,2.0,,,,,,,,49.0,13.0,6.2,7.0,0.00533694,27.36,4.94949,3.0,,0,,-0.01,0.03,-0.02,,1.54,2.32,0.65,0.35,0.09,,,4.0,,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,2.0,,,,
