match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,injury
14787860,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
14787860,,,,,90,0.0,,1,,,injuryTime,5.0,,,,,,,,,
14787860,,2.0,1.0,,89,,,2,,,goal,,331163932.0,True,regular,1116577.0,Santiago Castro,,,,
14787860,,,,,87,,,4,,,card,,124410007.0,True,yellow,928796.0,Tommaso Pobega,Tommaso Pobega,Foul,False,
14787860,,,,,86,,,5,,,card,,124410003.0,False,yellow,156019.0,Hernani,Hernani,Foul,False,
14787860,,,,,86,,,5,,,substitution,,125221683.0,False,regular,,,,,,False
14787860,,,,,86,,,5,,,substitution,,125221680.0,False,regular,,,,,,False
14787860,,,,,80,,,11,,,substitution,,125221672.0,True,regular,,,,,,False
14787860,,,,,80,,,11,,,substitution,,125221669.0,True,regular,,,,,,False
14787860,,,,,72,,,19,,,card,,124409955.0,False,yellow,1459459.0,Benjamin Cremaschi,Benjamin Cremaschi,Foul,False,
14787860,,,,,70,,,21,,,substitution,,125221655.0,True,regular,,,,,,False
14787860,,,,,70,,,21,,,substitution,,125221653.0,True,regular,,,,,,False
14787860,,,,,70,,,21,,,substitution,,125221654.0,True,regular,,,,,,False
14787860,,,,,65,,,26,,,substitution,,125221646.0,False,injury,,,,,,True
14787860,,,,,55,,,36,,,substitution,,125221630.0,False,regular,,,,,,False
14787860,,,,,46,,,45,,,substitution,,125221616.0,False,regular,,,,,,False
14787860,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
14787860,,,,,45,0.0,,1,,,injuryTime,2.0,,,,,,,,,
14787860,,1.0,1.0,,38,,,8,,,goal,,331157377.0,True,regular,1065261.0,Jonathan Rowe,,,,
14787860,,0.0,1.0,,13,,,33,,,goal,,331154972.0,False,regular,928295.0,Adrian Benedyczak,,,,
