match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_outfielderBlock,stat_errorLeadToAShot,stat_goalAssist,stat_totalCross,stat_bigChanceCreated,stat_shotOffTarget,stat_keyPass,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,captain,stat_accurateCross,stat_totalOffside,stat_bigChanceMissed
10382233,home,FC Volendam,Barry Lauwers,Barry,Lauwers,barry-lauwers,B. Lauwers,G,187.0,20,M,959060,EUR,943833600,G,22,22,False,32.0,16.0,31.0,15.0,4.0,4.0,12.0,28.0,10.0,1.0,1.0,1.0,90.0,38.0,7.3,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382233,home,FC Volendam,Brian Plat,,,brian-plat,B. Plat,D,191.0,60,M,980673,EUR,954892800,D,3,3,False,12.0,7.0,2.0,1.0,4.0,7.0,3.0,5.0,4.0,,,,90.0,35.0,7.3,10.0,0,4,1.0,1.0,4.0,6.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,
10382233,home,FC Volendam,Xavier Mbuyamba,,,xavier-mbuyamba,X. Mbuyamba,D,195.0,632,M,974020,EUR,1009756800,D,31,31,False,20.0,10.0,7.0,1.0,6.0,8.0,4.0,12.0,2.0,,,,90.0,36.0,7.0,10.0,0,3,2.0,5.0,3.0,6.0,10.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10382233,home,FC Volendam,Benaissa Benamar,,,benaissa-benamar,B. Benamar,D,191.0,226,M,970791,EUR,860457600,D,6,6,False,16.0,11.0,3.0,1.0,8.0,11.0,3.0,5.0,3.0,,,,90.0,33.0,7.4,5.0,0,5,2.0,4.0,3.0,6.0,9.0,2.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10382233,home,FC Volendam,Josh Flint,,,josh-flint,J. Flint,D,186.0,47,M,966460,EUR,971395200,D,28,28,False,24.0,15.0,4.0,1.0,3.0,5.0,12.0,20.0,2.0,,,,90.0,42.0,7.8,12.0,1,28,,5.0,3.0,7.0,5.0,2.0,2.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10382233,home,FC Volendam,Derry Murkin,,,derry-murkin,D. Murkin,D,183.0,178,M,946561,EUR,933033600,D,5,5,False,37.0,19.0,4.0,,7.0,16.0,12.0,22.0,9.0,,,,90.0,66.0,6.9,29.0,0,2,1.0,3.0,8.0,9.0,5.0,2.0,5.0,3.0,1.0,,3.0,2.0,,,,1.0,,,,1.0,2.0,1.0,,,,,,,
10382233,home,FC Volendam,Daryl van Mieghem,,,daryl-van-mieghem,D. v. Mieghem,M,175.0,120,M,163539,EUR,628819200,M,7,7,False,14.0,6.0,2.0,,2.0,3.0,4.0,11.0,4.0,,,,90.0,26.0,8.1,12.0,3,7,1.0,,4.0,2.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,,1.0,2.0,,,2.0,1.0,2.0,,,,
10382233,home,FC Volendam,Carel Eiting,,,carel-eiting,C. Eiting,M,178.0,347,M,803025,EUR,887155200,M,8,8,False,27.0,20.0,2.0,,8.0,12.0,14.0,21.0,10.0,,,,90.0,47.0,7.4,12.0,0,6,,,2.0,4.0,,1.0,1.0,,,2.0,,1.0,,,,6.0,1.0,,4.0,,2.0,1.0,,,,True,2.0,,
10382233,home,FC Volendam,Calvin Twigt,Calvin Twigt,,calvin-twigt,C. Twigt,M,183.0,95,M,1084944,EUR,1043884800,M,17,17,False,19.0,16.0,1.0,,7.0,8.0,9.0,11.0,6.0,,,,90.0,34.0,6.6,4.0,0,8,2.0,1.0,10.0,4.0,3.0,2.0,2.0,2.0,,1.0,3.0,4.0,1.0,,,,,,1.0,,1.0,,,,,,,,
10382233,home,FC Volendam,Francesco Antonucci,,,francesco-antonucci,F. Antonucci,M,171.0,173,M,826175,EUR,929836800,M,19,19,False,25.0,15.0,4.0,1.0,5.0,6.0,11.0,20.0,6.0,,,,79.0,34.0,6.3,15.0,1,10,,,5.0,1.0,,,,,2.0,,,2.0,,,1.0,1.0,,,1.0,2.0,2.0,1.0,,1.0,,,1.0,,
