match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_totalContest,stat_challengeLost,stat_wonContest,stat_onTargetScoringAttempt,player_sofascoreId,stat_accurateCross,stat_shotOffTarget,stat_goals,captain,stat_goalAssist,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock
12116985,home,Atlético Mineiro,Everson,everson,Everson,G,22,193,2202,M,870748,EUR,648604800,G,22,22,False,28.0,26.0,7.0,5.0,26.0,27.0,1.0,1.0,1.0,5.0,1.0,90.0,32.0,6.5,2.0,0.00015433,0,-0.9207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12116985,home,Atlético Mineiro,Renzo Saravia,renzo-saravia,R. Saravia,D,26,178,1136,M,315916,EUR,740188800,D,26,26,False,90.0,78.0,7.0,5.0,33.0,36.0,56.0,,6.0,9.0,,90.0,109.0,7.4,16.0,0.0286699,1,,,,45.0,2.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,0.0208,2.0,,,,,,,,,,,,,,,,,,,,,,
12116985,home,Atlético Mineiro,Igor Rabello,igor-rabello,I. Rabello,D,21,190,883,M,753662,EUR,799027200,D,16,16,False,73.0,70.0,4.0,2.0,45.0,45.0,28.0,3.0,9.0,6.0,,90.0,88.0,7.4,3.0,0.0860946,0,,,,25.0,,4.0,4.0,,,6.0,3.0,,,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12116985,home,Atlético Mineiro,Mauricio Lemos,mauricio-lemos,M. Lemos,D,4,186,1260,M,385916,EUR,820108800,D,4,4,False,84.0,74.0,11.0,9.0,47.0,48.0,36.0,2.0,3.0,5.0,,90.0,95.0,7.0,13.0,0.0158467,0,,,,27.0,,1.0,6.0,1.0,,1.0,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,
12116985,home,Atlético Mineiro,Rubens,rubens,Rubens,M,44,178,1492,M,1093196,EUR,993081600,D,44,44,False,8.0,6.0,1.0,,2.0,2.0,6.0,,1.0,,,10.0,11.0,6.6,2.0,0.00373368,0,,Rubens,,4.0,,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
12116985,home,Atlético Mineiro,Alan Franco,alan-franco,A. Franco,M,21,174,3281,M,822729,EUR,903657600,M,23,23,False,42.0,39.0,1.0,1.0,13.0,13.0,29.0,1.0,6.0,2.0,1.0,90.0,55.0,7.1,6.0,0.148691,0,,,,26.0,,,4.0,1.0,,3.0,3.0,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12116985,home,Atlético Mineiro,Otávio,otavio,Otávio,M,94,173,1027,M,552686,EUR,768009600,M,5,5,False,90.0,86.0,5.0,2.0,42.0,44.0,47.0,1.0,6.0,7.0,,90.0,106.0,7.7,5.0,0.0195352,2,,,,44.0,1.0,3.0,3.0,,1.0,3.0,3.0,,0.0318,,2.0,2.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,,
12116985,home,Atlético Mineiro,Gustavo Scarpa,gustavo-scarpa,G. Scarpa,M,10,177,5525,M,559036,EUR,757728000,M,6,6,False,49.0,44.0,5.0,4.0,12.0,12.0,45.0,,1.0,1.0,1.0,80.0,69.0,8.3,11.0,0.168218,5,,,,34.0,8.0,1.0,1.0,,1.0,,,,0.2131,3.0,,,,,,,2.0,gustavoscarpa10,2.0,2.0,1.0,,,,,,,,,,,
12116985,home,Atlético Mineiro,Igor Gomes,igor-gomes,I. Gomes,M,17,182,1159,M,913598,EUR,921628800,M,17,17,False,47.0,40.0,3.0,1.0,13.0,16.0,31.0,,7.0,3.0,1.0,66.0,58.0,7.4,8.0,0.0246668,1,,,,27.0,,,1.0,,1.0,3.0,2.0,,0.02,1.0,,1.0,,4.0,,3.0,,,,,,,,,,,,,,,,
12116985,home,Atlético Mineiro,Hulk,hulk,Hulk,F,7,180,24458,M,34705,EUR,522633600,M,7,7,False,35.0,30.0,2.0,2.0,5.0,5.0,32.0,1.0,4.0,2.0,1.0,80.0,53.0,7.3,12.0,0.057121,4,,,,26.0,2.0,,4.0,,2.0,1.0,,3.0,0.0949,3.0,,,2.0,4.0,,1.0,,Hulk,1.0,2.0,,True,1.0,2.0,,,,,,,,
