match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_wasFouled,stat_keyPass,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_bigChanceCreated,stat_outfielderBlock,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_bigChanceMissed,captain,stat_totalOffside
12450998,home,Angers,Yahia Fofana,yahia-fofana,Y. Fofana,G,75,194,3568,M,yahia.fofana_,877977,EUR,966816000,G,30,30,False,18.0,15.0,5.0,2.0,0.0,14.0,14.0,1.0,4.0,5.0,1.0,3.0,4.0,90.0,26.0,7.2,3.0,0.00240137,0,0.9357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450998,home,Angers,Lilian Raolisoa,lilian-raolisoa,L. Raolisoa,D,27,178,247,M,,1462778,EUR,961113600,D,27,27,False,1.0,1.0,,,0.0,1.0,1.0,,,,,,,10.0,3.0,3.0,,3.31e-06,1,,Lilian Raolisoa,,1.0,1.0,1.0,0.0129,,,,,,,,,,,,,,,,,,,,,,,,,
12450998,home,Angers,Emmanuel Biumla,emmanuel-biumla,E. Biumla,D,24,185,111,M,,1442036,EUR,1115510400,D,24,24,False,64.0,61.0,4.0,2.0,0.0,29.0,30.0,32.0,34.0,6.0,,,,90.0,78.0,7.1,4.0,0.0467124,1,,,,1.0,1.0,,0.0144,3.0,1.0,1.0,1.0,8.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12450998,home,Angers,Jordan Lefort,jordan-lefort,J. Lefort,D,21,184,183,M,,363042,EUR,741225600,D,21,21,False,74.0,66.0,10.0,5.0,0.0,27.0,28.0,40.0,47.0,2.0,,,,90.0,88.0,7.8,9.0,0.211735,1,,,,2.0,1.0,,0.0437,1.0,,,,4.0,,2.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,
12450998,home,Angers,Florent Hanin,florent-hanin,F. Hanin,D,26,177,69,M,,170129,EUR,634089600,D,26,26,False,62.0,57.0,1.0,,0.0,11.0,11.0,46.0,57.0,1.0,,,,90.0,92.0,8.2,15.0,0.0484436,4,,,,2.0,2.0,,0.7082,3.0,,,,3.0,2.0,,6.0,,1.0,,,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,0.9386,,,
12450998,home,Angers,Jean-Eudes Aholou,jean-eudes-aholou,J. Aholou,M,6,187,438,M,,156004,EUR,764121600,M,6,6,False,60.0,58.0,2.0,1.0,0.0,17.0,17.0,41.0,43.0,4.0,,,,79.0,74.0,6.6,5.0,0.0404135,2,,,,6.0,1.0,1.0,0.1887,4.0,1.0,1.0,,4.0,2.0,1.0,,,1.0,2.0,,,2.0,,1.0,,,1.0,1.0,1.0,,1.0,,
12450998,home,Angers,Haris Belkebla,haris-belkebla,H. Belkebla,M,93,177,1877,M,,580642,EUR,759715200,M,93,93,False,69.0,65.0,2.0,1.0,0.0,21.0,23.0,44.0,46.0,8.0,,,,90.0,88.0,7.8,6.0,0.049921,0,,,,2.0,,2.0,,8.0,,2.0,2.0,2.0,2.0,1.0,,,,1.0,,1.0,,,,,2.0,4.0,4.0,2.0,,,,
12450998,home,Angers,Jim Allevinah,jim-allevinah,J. Allevinah,M,18,172,920,M,,988632,EUR,793843200,M,18,18,False,17.0,16.0,2.0,2.0,0.0,5.0,5.0,11.0,14.0,2.0,,,,45.0,24.0,6.8,4.0,0.0733064,0,,,,2.0,,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,,,,2.0,,,,,,,,,,,
12450998,home,Angers,Himad Abdelli,himad-abdelli,H. Abdelli,M,8,185,7344,M,,945830,EUR,942796800,M,10,10,False,74.0,66.0,2.0,1.0,0.0,18.0,18.0,49.0,59.0,7.0,,,,90.0,85.0,7.6,12.0,0.277217,0,,,,3.0,,1.0,,4.0,1.0,1.0,1.0,,3.0,2.0,3.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,True,
12450998,home,Angers,Farid El Melali,farid-el-melali,F. El Melali,M,28,173,1171,M,,930584,EUR,862790400,M,28,28,False,17.0,13.0,,,0.0,2.0,2.0,13.0,21.0,2.0,,,,74.0,41.0,6.9,15.0,0.0635792,3,,,,6.0,1.0,1.0,0.099,5.0,2.0,4.0,1.0,,3.0,2.0,6.0,2.0,,1.0,,,,,2.0,,1.0,,,2.0,,,,
12450998,home,Angers,Esteban Lepaul,lepaul-esteban,E. Lepaul,F,9,177,1997,M,,966621,EUR,956016000,F,19,19,False,8.0,4.0,,,0.0,2.0,3.0,2.0,6.0,1.0,,,,74.0,17.0,6.3,8.0,0.00363534,2,,,,3.0,,,0.1942,4.0,,1.0,,,2.0,,1.0,,2.0,1.0,,,,1.0,1.0,,,1.0,,2.0,0.1735,1.0,,
