match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_wasFouled,captain,stat_blockedScoringAttempt,stat_hitWoodwork,stat_accurateCross,stat_bigChanceMissed,stat_bigChanceCreated,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_outfielderBlock
10406953,home,KAA Gent,Paul Nardi,,,paul-nardi,P. Nardi,G,16,187,112,M,155717,EUR,769219200,G,1,1,False,18.0,18.0,1.0,1.0,18.0,18.0,1.0,8.0,1.0,1.0,90.0,26.0,6.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406953,home,KAA Gent,Joseph Okumu,,,joseph-okumu,J. Okumu,D,2,193,662,M,985933,EUR,864604800,D,2,2,False,86.0,76.0,16.0,13.0,43.0,45.0,,8.0,,,90.0,100.0,7.6,3,33.0,42.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,16.0,1.0,,,,,,,,,,,,,,,,
10406953,home,KAA Gent,Michael Ngadeu,,,michael-ngadeu,M. Ngadeu,D,5,190,812,M,245705,EUR,659318400,D,5,5,False,76.0,68.0,13.0,9.0,48.0,51.0,2.0,5.0,,,90.0,90.0,7.6,3,20.0,25.0,,1.0,4.0,2.0,1.0,2.0,1.0,6.0,1.0,1.0,,1.0,9.0,,2.0,,,,,,,,,,,,,,,
10406953,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189,608,M,801003,EUR,870912000,D,23,23,False,60.0,50.0,3.0,1.0,30.0,32.0,2.0,8.0,,,90.0,84.0,7.0,1,20.0,28.0,,2.0,6.0,8.0,2.0,1.0,,1.0,3.0,2.0,2.0,1.0,18.0,1.0,,1.0,3.0,1.0,2.0,,,,,,,,,,,
10406953,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,M,18,18,False,42.0,34.0,1.0,1.0,16.0,18.0,,6.0,,,75.0,68.0,7.4,1,18.0,30.0,6.0,,4.0,10.0,,,1.0,,6.0,6.0,1.0,2.0,16.0,,1.0,1.0,,,4.0,,,,,,,,,,,
10406953,home,KAA Gent,Elisha Owusu,,,elisha-owusu,E. Owusu,M,42,179,1299,M,904424,EUR,878860800,M,6,6,False,41.0,37.0,3.0,2.0,22.0,24.0,,9.0,,,75.0,57.0,6.7,1,15.0,18.0,1.0,1.0,6.0,4.0,3.0,1.0,,2.0,,,1.0,2.0,9.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,,
10406953,home,KAA Gent,Vadis Odjidja-Ofoe,Vadis,Odjidja-Ofoe,vadis-odjidja-ofoe,V. Odjidja-Ofoe,M,8,185,357,M,17806,EUR,604022400,M,8,8,False,83.0,71.0,11.0,10.0,22.0,23.0,,12.0,,,90.0,106.0,8.1,5,49.0,63.0,3.0,,2.0,4.0,1.0,3.0,,3.0,4.0,4.0,2.0,1.0,18.0,1.0,,,,,,True,2.0,1.0,,,,,,,,
10406953,home,KAA Gent,Jens Petter Hauge,,,jens-petter-hauge,J. P. Hauge,F,10,184,3970,M,838805,EUR,939686400,M,10,10,False,30.0,24.0,1.0,1.0,13.0,14.0,,3.0,,,59.0,37.0,6.4,0,11.0,16.0,,,6.0,1.0,1.0,,,,,,,1.0,8.0,3.0,,3.0,1.0,,1.0,,,,,,,,,,,
10406953,home,KAA Gent,Hyun-Seok Hong,,,hyun-seok-hong,H. Hong,M,24,177,1224,M,942937,EUR,929491200,F,7,7,False,41.0,33.0,1.0,,12.0,16.0,,3.0,,,90.0,65.0,6.8,1,23.0,34.0,9.0,,6.0,3.0,2.0,1.0,,1.0,3.0,3.0,4.0,,21.0,2.0,3.0,1.0,,,,,,,2.0,1.0,,,,,,
10406953,home,KAA Gent,Andrew Hjulsager,,,andrew-hjulsager,A. Hjulsager,M,17,177,166,M,186807,EUR,790128000,F,17,17,False,42.0,30.0,2.0,1.0,4.0,6.0,,7.0,,,83.0,70.0,7.3,1,27.0,49.0,13.0,,7.0,4.0,1.0,1.0,,,2.0,1.0,3.0,2.0,30.0,3.0,,2.0,2.0,,2.0,,,1.0,1.0,,1.0,,,,,
10406953,home,KAA Gent,Hugo Cuypers,,,hugo-cuypers,H. Cuypers,F,9,185,1408,M,836289,EUR,855273600,F,11,11,False,19.0,15.0,1.0,1.0,9.0,10.0,1.0,,,,90.0,32.0,6.4,3,6.0,10.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,,3.0,1.0,9.0,1.0,,,,,1.0,,2.0,,,1.0,,,,,,
10406953,home,KAA Gent,Malick Fofana,Malick Fofana,,malick-fofana,M. Fofana,F,11,169,6184,M,1195784,EUR,1112227200,F,19,19,True,18.0,12.0,1.0,1.0,1.0,1.0,,2.0,,,31.0,26.0,6.8,1,11.0,18.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,8.0,,,,,,1.0,,,,,,,,,,,
