match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_outfielderBlock,stat_totalOffside,stat_penaltyConceded,stat_bigChanceMissed,stat_interceptionWon,stat_keyPass,stat_shotOffTarget,stat_goalAssist,stat_bigChanceCreated,stat_accurateCross,stat_savedShotsFromInsideTheBox,stat_blockedScoringAttempt,stat_penaltyWon,player_sofascoreId
11067423,home,Goiás,Marcelo Rangel,marcelo-rangel,M. Rangel,G,88,186,371,M,870902,EUR,579830400,G,88,88,False,28.0,19.0,12.0,3.0,16.0,18.0,3.0,10.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,35.0,6.6,9.0,0.0,0.0,0.00027329,0,0.3328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067423,home,Goiás,Maguinho,maguinho,Maguinho,D,26,175,81,M,871209,EUR,694656000,D,2,2,False,25.0,19.0,2.0,2.0,7.0,9.0,12.0,18.0,4.0,3.0,,,,,84.0,47.0,7.3,15.0,0.9598,0.985,0.0105718,1,,,,2.0,3.0,3.0,8.0,8.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
11067423,home,Goiás,Lucas Halter,lucas-halter,L. Halter,D,5,187,777,M,905450,EUR,957225600,D,3,3,False,42.0,36.0,7.0,2.0,30.0,31.0,6.0,11.0,4.0,5.0,,,,,90.0,53.0,6.9,7.0,0.0,0.0,0.00231738,0,,,,,,2.0,1.0,4.0,1.0,,,,,,2.0,1.0,1.0,,,True,2.0,1.0,,,,,,,,,,,,
11067423,home,Goiás,Bruno Melo,bruno-melo,Bruno Melo,D,26,183,189,M,870851,EUR,720057600,D,19,19,False,50.0,41.0,11.0,6.0,30.0,35.0,11.0,15.0,2.0,4.0,,,,,90.0,62.0,7.1,10.0,0.5169,0.6561,0.00420548,1,,,,,5.0,2.0,6.0,5.0,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,
11067423,home,Goiás,Sander,sander,Sander,D,6,177,84,M,795014,EUR,654912000,D,6,6,False,34.0,26.0,2.0,,12.0,15.0,14.0,24.0,2.0,6.0,,,,,90.0,66.0,6.7,18.0,0.2366,0.4393,0.132182,1,,,,5.0,,2.0,6.0,5.0,1.0,,2.0,,1.0,,3.0,2.0,3.0,,3.0,,,,,1.0,2.0,1.0,,,,,,,,
11067423,home,Goiás,Dieguinho,dieguinho,Dieguinho,M,20,175,466,M,1016930,EUR,815097600,M,20,20,False,31.0,26.0,1.0,1.0,13.0,13.0,13.0,19.0,2.0,7.0,,,,,88.0,48.0,6.7,9.0,0.0378,0.0,0.00661343,1,,,,1.0,2.0,,5.0,7.0,1.0,1.0,,,,,2.0,2.0,1.0,5.0,1.0,,,,,,,,1.0,,,,,,,
11067423,home,Goiás,Willian Oliveira,willian-oliveira,W. Oliveira,M,29,179,410,M,295167,EUR,737510400,M,12,12,False,28.0,25.0,3.0,1.0,18.0,18.0,7.0,10.0,2.0,6.0,,,,,45.0,33.0,6.5,3.0,0.0,0.0,0.00843165,0,,,,,1.0,,6.0,1.0,1.0,,,,,,1.0,1.0,,,4.0,,1.0,,,,1.0,,,,,,,,,
11067423,home,Goiás,Zé Ricardo,ze-ricardo,Zé Ricardo,M,55,180,162,M,943044,EUR,918000000,M,5,5,False,42.0,34.0,5.0,4.0,16.0,20.0,18.0,22.0,2.0,5.0,,,,,90.0,63.0,6.8,17.0,0.0213,0.0563,0.0946981,1,,,,,,3.0,10.0,7.0,2.0,2.0,4.0,1.0,1.0,,,,4.0,3.0,4.0,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,
11067423,home,Goiás,Julián Palacios,julian-palacios,J. Palacios,M,20,172,145,M,1005177,EUR,918086400,F,10,10,False,17.0,12.0,,,2.0,3.0,11.0,21.0,,2.0,,,,,84.0,43.0,7.4,15.0,0.0,0.0,0.0962706,0,,,,7.0,3.0,1.0,6.0,11.0,,2.0,5.0,5.0,,,3.0,1.0,,2.0,1.0,,,,,,2.0,1.0,,,,1.0,,,,
11067423,home,Goiás,Matheus Peixoto,matheus-peixoto,Matheus Peixoto,F,11,190,214,M,880169,EUR,816480000,F,17,17,False,14.0,9.0,,,2.0,3.0,7.0,13.0,2.0,,,,,,90.0,34.0,7.3,13.0,0.144,0.0,0.00805443,2,,,,2.0,,4.0,2.0,9.0,,,,,1.0,,3.0,2.0,6.0,2.0,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
